Architecture,Application,N,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time,Maximum resident set size (kbytes)
bare_metal,pi,5000,4.206,0.004,99.0%,0:00:04.022000,10054.4
bare_metal,pi,10000,31.229999999999997,0.008,99.0%,0:00:30.847400,10045.6
bare_metal,pi,15000,83.26,0.008,99.0%,0:01:23.035200,10217.6
bare_metal,pi,20000,185.43,0.48600000000000004,99.0%,0:03:05.826200,10128.0
bare_metal,pi,25000,288.172,0.992,99.0%,0:04:49.040200,10240.0
bare_metal,mm,500,0.358,0.06000000000000001,99.2%,0:00:00.042000,35848.0
bare_metal,mm,1000,3.2660000000000005,0.04,99.0%,0:00:02.671800,53448.8
bare_metal,mm,1500,56.36800000000001,0.06200000000000001,99.0%,0:00:56.047800,82660.0
bare_metal,mm,2000,148.96599999999998,0.08800000000000001,99.0%,0:02:28.839400,123784.0
bare_metal,mm,2500,299.694,0.11000000000000001,99.0%,0:04:59.641600,176390.4
docker,pi,5000,6.558,0.01,99.0%,0:00:06.058200,10548.8
docker,pi,10000,45.95399999999999,0.022,99.0%,0:00:45.462400,10539.2
docker,pi,15000,122.042,0.032,99.0%,0:02:01.659200,10556.8
docker,pi,20000,272.73799999999994,0.374,99.0%,0:04:32.854000,10551.2
docker,pi,25000,426.06399999999996,0.82,99.0%,0:07:06.846200,10595.2
docker,mm,500,0.40800000000000003,0.034,99.2%,0:00:00.044800,33992.8
docker,mm,1000,3.55,0.048,99.0%,0:00:03.061200,51737.6
docker,mm,1500,54.36600000000001,0.072,99.0%,0:00:54.050800,80852.8
docker,mm,2000,135.844,0.09200000000000001,99.0%,0:02:15.648000,121933.6
docker,mm,2500,289.65999999999997,0.154,99.0%,0:04:49.831600,174508.0
