type,host,time,type_instance,instance,value
cpu,VM10-1-9-207,00:15:41.829144,steal,2,216.0
cpu,VM10-1-9-207,00:15:41.829159,steal,3,135.0
cpu,VM10-1-9-207,00:15:41.829179,idle,0,5625926.0
cpu,VM10-1-9-207,00:15:41.829186,idle,1,5609420.0
cpu,VM10-1-9-207,00:15:41.829264,idle,2,5598503.0
cpu,VM10-1-9-207,00:15:41.829286,idle,3,5613102.0
cpu,VM10-1-9-207,00:15:54.218399,user,0,24784.0
cpu,VM10-1-9-207,00:15:54.218488,user,1,38131.0
cpu,VM10-1-9-207,00:15:54.218521,user,2,37938.0
cpu,VM10-1-9-207,00:15:54.218552,user,3,35017.0
cpu,VM10-1-9-207,00:15:54.218581,system,0,5638.0
cpu,VM10-1-9-207,00:15:54.218631,system,1,7272.0
cpu,VM10-1-9-207,00:15:54.218653,system,2,6998.0
cpu,VM10-1-9-207,00:15:54.218734,system,3,6666.0
cpu,VM10-1-9-207,00:15:54.218761,wait,0,3318.0
cpu,VM10-1-9-207,00:15:54.218784,wait,1,4366.0
cpu,VM10-1-9-207,00:15:54.218806,wait,2,3993.0
cpu,VM10-1-9-207,00:15:54.218827,wait,3,3559.0
cpu,VM10-1-9-207,00:15:54.218848,nice,0,32.0
cpu,VM10-1-9-207,00:15:54.218869,nice,1,0.0
cpu,VM10-1-9-207,00:15:54.218890,nice,2,7516.0
cpu,VM10-1-9-207,00:15:54.218911,nice,3,0.0
cpu,VM10-1-9-207,00:15:54.218937,interrupt,0,0.0
cpu,VM10-1-9-207,00:15:54.218963,interrupt,1,0.0
cpu,VM10-1-9-207,00:15:54.218989,interrupt,2,0.0
cpu,VM10-1-9-207,00:15:54.219035,interrupt,3,0.0
cpu,VM10-1-9-207,00:15:54.219067,softirq,0,192.0
cpu,VM10-1-9-207,00:15:54.219111,softirq,1,107.0
cpu,VM10-1-9-207,00:15:54.219134,softirq,2,217.0
cpu,VM10-1-9-207,00:15:54.219156,softirq,3,177.0
cpu,VM10-1-9-207,00:15:54.219180,steal,0,37.0
cpu,VM10-1-9-207,00:15:54.219207,steal,1,54.0
cpu,VM10-1-9-207,00:15:54.219264,steal,2,216.0
cpu,VM10-1-9-207,00:15:54.219293,steal,3,135.0
cpu,VM10-1-9-207,00:15:54.220289,idle,0,5627153.0
cpu,VM10-1-9-207,00:15:54.220314,idle,1,5610650.0
cpu,VM10-1-9-207,00:15:54.220336,idle,2,5599735.0
cpu,VM10-1-9-207,00:15:54.220377,idle,3,5613933.0
cpu,VM10-1-9-207,00:16:04.218376,user,0,24784.0
cpu,VM10-1-9-207,00:16:04.218445,user,1,38378.0
cpu,VM10-1-9-207,00:16:04.218471,user,2,37939.0
cpu,VM10-1-9-207,00:16:04.218511,user,3,35772.0
cpu,VM10-1-9-207,00:16:04.218535,system,0,5638.0
cpu,VM10-1-9-207,00:16:04.218559,system,1,7273.0
cpu,VM10-1-9-207,00:16:04.218578,system,2,7000.0
cpu,VM10-1-9-207,00:16:04.218579,system,3,6666.0
cpu,VM10-1-9-207,00:16:04.218580,wait,0,3319.0
cpu,VM10-1-9-207,00:16:04.218585,wait,1,4366.0
cpu,VM10-1-9-207,00:16:04.218586,wait,2,3993.0
cpu,VM10-1-9-207,00:16:04.218586,wait,3,3559.0
cpu,VM10-1-9-207,00:16:04.218587,nice,0,32.0
cpu,VM10-1-9-207,00:16:04.218588,nice,1,0.0
cpu,VM10-1-9-207,00:16:04.218592,nice,2,7516.0
cpu,VM10-1-9-207,00:16:04.218593,nice,3,0.0
cpu,VM10-1-9-207,00:16:04.218594,interrupt,0,0.0
cpu,VM10-1-9-207,00:16:04.218594,interrupt,1,0.0
cpu,VM10-1-9-207,00:16:04.218595,interrupt,2,0.0
cpu,VM10-1-9-207,00:16:04.218599,interrupt,3,0.0
cpu,VM10-1-9-207,00:16:04.218600,softirq,0,192.0
cpu,VM10-1-9-207,00:16:04.218601,softirq,1,107.0
