type,type_instance,host,time,value
memory,buffered,VM10-1-9-207,00:15:41.827532,141553664.0
memory,cached,VM10-1-9-207,00:15:41.827532,3713216512.0
memory,free,VM10-1-9-207,00:15:41.827532,3943694336.0
memory,slab_recl,VM10-1-9-207,00:15:41.827532,317788160.0
memory,slab_unrecl,VM10-1-9-207,00:15:41.827532,32108544.0
memory,used,VM10-1-9-207,00:15:41.827532,227295232.0
memory,buffered,VM10-1-9-207,00:15:44.232864,141578240.0
memory,cached,VM10-1-9-207,00:15:44.232864,3713150976.0
memory,free,VM10-1-9-207,00:15:44.232864,3943604224.0
memory,slab_recl,VM10-1-9-207,00:15:44.232864,317800448.0
memory,slab_unrecl,VM10-1-9-207,00:15:44.232864,32862208.0
memory,used,VM10-1-9-207,00:15:44.232864,226660352.0
memory,buffered,VM10-1-9-207,00:15:54.219828,141631488.0
memory,cached,VM10-1-9-207,00:15:54.219828,3713228800.0
memory,free,VM10-1-9-207,00:15:54.219828,3861778432.0
memory,slab_recl,VM10-1-9-207,00:15:54.219828,317849600.0
memory,slab_unrecl,VM10-1-9-207,00:15:54.219828,32686080.0
memory,used,VM10-1-9-207,00:15:54.219828,308482048.0
memory,buffered,VM10-1-9-207,00:16:04.219700,141639680.0
memory,cached,VM10-1-9-207,00:16:04.219700,3713236992.0
memory,free,VM10-1-9-207,00:16:04.219700,3859431424.0
memory,slab_recl,VM10-1-9-207,00:16:04.219700,317816832.0
memory,slab_unrecl,VM10-1-9-207,00:16:04.219700,32337920.0
memory,used,VM10-1-9-207,00:16:04.219700,311193600.0
memory,buffered,VM10-1-9-207,00:16:14.219840,141643776.0
memory,cached,VM10-1-9-207,00:16:14.219840,3713241088.0
memory,free,VM10-1-9-207,00:16:14.219840,3855044608.0
memory,slab_recl,VM10-1-9-207,00:16:14.219840,317808640.0
memory,slab_unrecl,VM10-1-9-207,00:16:14.219840,32153600.0
memory,used,VM10-1-9-207,00:16:14.219840,315764736.0
memory,buffered,VM10-1-9-207,00:16:24.219874,141647872.0
memory,cached,VM10-1-9-207,00:16:24.219874,3713249280.0
memory,free,VM10-1-9-207,00:16:24.219874,3852951552.0
memory,slab_recl,VM10-1-9-207,00:16:24.219874,317812736.0
memory,slab_unrecl,VM10-1-9-207,00:16:24.219874,32608256.0
memory,used,VM10-1-9-207,00:16:24.219874,317386752.0
memory,buffered,VM10-1-9-207,00:16:34.219752,141651968.0
memory,cached,VM10-1-9-207,00:16:34.219752,3713257472.0
memory,free,VM10-1-9-207,00:16:34.219752,3850596352.0
