type,host,time,type_instance,instance,value
cpu,VM10-1-9-207,00:04:34.377676,user,0,16232.0
cpu,VM10-1-9-207,00:04:34.377688,user,1,17751.0
cpu,VM10-1-9-207,00:04:34.377697,user,2,17174.0
cpu,VM10-1-9-207,00:04:34.377715,user,3,24027.0
cpu,VM10-1-9-207,00:04:34.377718,system,0,5540.0
cpu,VM10-1-9-207,00:04:34.377721,system,1,7148.0
cpu,VM10-1-9-207,00:04:34.377721,system,2,6888.0
cpu,VM10-1-9-207,00:04:34.377722,system,3,6535.0
cpu,VM10-1-9-207,00:04:34.377723,wait,0,3250.0
cpu,VM10-1-9-207,00:04:34.377723,wait,1,4365.0
cpu,VM10-1-9-207,00:04:34.377724,wait,2,3978.0
cpu,VM10-1-9-207,00:04:34.377728,wait,3,3549.0
cpu,VM10-1-9-207,00:04:34.377729,nice,0,32.0
cpu,VM10-1-9-207,00:04:34.377730,nice,1,0.0
cpu,VM10-1-9-207,00:04:34.377734,nice,2,7516.0
cpu,VM10-1-9-207,00:04:34.377735,nice,3,0.0
cpu,VM10-1-9-207,00:04:34.377751,interrupt,0,0.0
cpu,VM10-1-9-207,00:04:34.377753,interrupt,1,0.0
cpu,VM10-1-9-207,00:04:34.377753,interrupt,2,0.0
cpu,VM10-1-9-207,00:04:34.377754,interrupt,3,0.0
cpu,VM10-1-9-207,00:04:34.377755,softirq,0,182.0
cpu,VM10-1-9-207,00:04:34.377755,softirq,1,101.0
cpu,VM10-1-9-207,00:04:34.377763,softirq,2,213.0
cpu,VM10-1-9-207,00:04:34.377765,softirq,3,171.0
cpu,VM10-1-9-207,00:04:34.377766,steal,0,35.0
cpu,VM10-1-9-207,00:04:34.377766,steal,1,49.0
cpu,VM10-1-9-207,00:04:34.377767,steal,2,213.0
cpu,VM10-1-9-207,00:04:34.377845,steal,3,130.0
cpu,VM10-1-9-207,00:04:34.378173,idle,0,5567933.0
cpu,VM10-1-9-207,00:04:34.378568,idle,1,5563204.0
cpu,VM10-1-9-207,00:04:34.379019,idle,2,5552703.0
cpu,VM10-1-9-207,00:04:34.379020,idle,3,5557139.0
cpu,VM10-1-9-207,00:04:44.377746,user,0,16232.0
cpu,VM10-1-9-207,00:04:44.385691,user,1,18750.0
cpu,VM10-1-9-207,00:04:44.385698,user,2,17175.0
cpu,VM10-1-9-207,00:04:44.385705,user,3,24028.0
cpu,VM10-1-9-207,00:04:44.385743,system,0,5540.0
cpu,VM10-1-9-207,00:04:44.385809,system,1,7149.0
cpu,VM10-1-9-207,00:04:44.385816,system,2,6889.0
cpu,VM10-1-9-207,00:04:44.385822,system,3,6536.0
cpu,VM10-1-9-207,00:04:44.385855,wait,0,3252.0
cpu,VM10-1-9-207,00:04:44.390013,wait,1,4365.0
cpu,VM10-1-9-207,00:04:44.390074,wait,2,3978.0
cpu,VM10-1-9-207,00:04:44.390098,wait,3,3549.0
cpu,VM10-1-9-207,00:04:44.390105,nice,0,32.0
cpu,VM10-1-9-207,00:04:44.390108,nice,1,0.0
cpu,VM10-1-9-207,00:04:44.390114,nice,2,7516.0
cpu,VM10-1-9-207,00:04:44.390509,nice,3,0.0
cpu,VM10-1-9-207,00:04:44.390571,interrupt,0,0.0
cpu,VM10-1-9-207,00:04:44.390574,interrupt,1,0.0
cpu,VM10-1-9-207,00:04:44.390605,interrupt,2,0.0
cpu,VM10-1-9-207,00:04:44.390669,interrupt,3,0.0
cpu,VM10-1-9-207,00:04:44.390694,softirq,0,182.0
cpu,VM10-1-9-207,00:04:44.390697,softirq,1,101.0
cpu,VM10-1-9-207,00:04:44.390765,softirq,2,213.0
cpu,VM10-1-9-207,00:04:44.390788,softirq,3,171.0
cpu,VM10-1-9-207,00:04:44.390812,steal,0,35.0
cpu,VM10-1-9-207,00:04:44.390818,steal,1,49.0
cpu,VM10-1-9-207,00:04:44.390819,steal,2,213.0
cpu,VM10-1-9-207,00:04:44.390820,steal,3,130.0
cpu,VM10-1-9-207,00:04:44.390820,idle,0,5568930.0
cpu,VM10-1-9-207,00:04:44.390821,idle,1,5563204.0
cpu,VM10-1-9-207,00:04:44.390821,idle,2,5553700.0
cpu,VM10-1-9-207,00:04:44.390822,idle,3,5558136.0
cpu,VM10-1-9-207,00:04:54.377656,user,0,16232.0
cpu,VM10-1-9-207,00:04:54.377738,user,1,19748.0
cpu,VM10-1-9-207,00:04:54.377753,user,2,17176.0
cpu,VM10-1-9-207,00:04:54.377808,user,3,24028.0
cpu,VM10-1-9-207,00:04:54.377836,system,0,5540.0
cpu,VM10-1-9-207,00:04:54.377844,system,1,7151.0
cpu,VM10-1-9-207,00:04:54.377886,system,2,6890.0
cpu,VM10-1-9-207,00:04:54.377902,system,3,6536.0
cpu,VM10-1-9-207,00:04:54.377914,wait,0,3252.0
cpu,VM10-1-9-207,00:04:54.377942,wait,1,4365.0
cpu,VM10-1-9-207,00:04:54.377968,wait,2,3978.0
cpu,VM10-1-9-207,00:04:54.377977,wait,3,3549.0
cpu,VM10-1-9-207,00:04:54.377990,nice,0,32.0
cpu,VM10-1-9-207,00:04:54.378004,nice,1,0.0
cpu,VM10-1-9-207,00:04:54.378013,nice,2,7516.0
cpu,VM10-1-9-207,00:04:54.378165,nice,3,0.0
cpu,VM10-1-9-207,00:04:54.378167,interrupt,0,0.0
cpu,VM10-1-9-207,00:04:54.378168,interrupt,1,0.0
cpu,VM10-1-9-207,00:04:54.378168,interrupt,2,0.0
cpu,VM10-1-9-207,00:04:54.378169,interrupt,3,0.0
cpu,VM10-1-9-207,00:04:54.378170,softirq,0,182.0
cpu,VM10-1-9-207,00:04:54.378170,softirq,1,101.0
cpu,VM10-1-9-207,00:04:54.378171,softirq,2,213.0
cpu,VM10-1-9-207,00:04:54.378172,softirq,3,171.0
cpu,VM10-1-9-207,00:04:54.378173,steal,0,35.0
cpu,VM10-1-9-207,00:04:54.378173,steal,1,49.0
cpu,VM10-1-9-207,00:04:54.378175,steal,2,213.0
cpu,VM10-1-9-207,00:04:54.378175,steal,3,130.0
cpu,VM10-1-9-207,00:04:54.378176,idle,0,5569929.0
cpu,VM10-1-9-207,00:04:54.378177,idle,1,5563204.0
cpu,VM10-1-9-207,00:04:54.378178,idle,2,5554696.0
cpu,VM10-1-9-207,00:04:54.378179,idle,3,5559134.0
cpu,VM10-1-9-207,00:05:04.377690,user,0,16232.0
cpu,VM10-1-9-207,00:05:04.377703,user,1,20746.0
cpu,VM10-1-9-207,00:05:04.377707,user,2,17177.0
cpu,VM10-1-9-207,00:05:04.377724,user,3,24028.0
cpu,VM10-1-9-207,00:05:04.377727,system,0,5540.0
cpu,VM10-1-9-207,00:05:04.377742,system,1,7153.0
cpu,VM10-1-9-207,00:05:04.377743,system,2,6891.0
cpu,VM10-1-9-207,00:05:04.377744,system,3,6538.0
cpu,VM10-1-9-207,00:05:04.377744,wait,0,3254.0
cpu,VM10-1-9-207,00:05:04.377745,wait,1,4365.0
cpu,VM10-1-9-207,00:05:04.377746,wait,2,3979.0
cpu,VM10-1-9-207,00:05:04.377746,wait,3,3549.0
cpu,VM10-1-9-207,00:05:04.377747,nice,0,32.0
cpu,VM10-1-9-207,00:05:04.377748,nice,1,0.0
cpu,VM10-1-9-207,00:05:04.377748,nice,2,7516.0
cpu,VM10-1-9-207,00:05:04.377749,nice,3,0.0
cpu,VM10-1-9-207,00:05:04.377750,interrupt,0,0.0
cpu,VM10-1-9-207,00:05:04.377751,interrupt,1,0.0
cpu,VM10-1-9-207,00:05:04.377751,interrupt,2,0.0
cpu,VM10-1-9-207,00:05:04.377752,interrupt,3,0.0
cpu,VM10-1-9-207,00:05:04.377752,softirq,0,182.0
cpu,VM10-1-9-207,00:05:04.377753,softirq,1,101.0
cpu,VM10-1-9-207,00:05:04.377754,softirq,2,213.0
cpu,VM10-1-9-207,00:05:04.377755,softirq,3,171.0
cpu,VM10-1-9-207,00:05:04.377756,steal,0,35.0
cpu,VM10-1-9-207,00:05:04.377756,steal,1,49.0
