type,type_instance,host,time,value
memory,buffered,VM10-1-9-207,00:09:16.257944,140935168.0
memory,cached,VM10-1-9-207,00:09:16.257944,3712888832.0
memory,free,VM10-1-9-207,00:09:16.257944,3945512960.0
memory,slab_recl,VM10-1-9-207,00:09:16.257944,317747200.0
memory,slab_unrecl,VM10-1-9-207,00:09:16.257944,32526336.0
memory,used,VM10-1-9-207,00:09:16.257944,226045952.0
memory,buffered,VM10-1-9-207,00:09:26.244424,141000704.0
memory,cached,VM10-1-9-207,00:09:26.244424,3712929792.0
memory,free,VM10-1-9-207,00:09:26.244424,3941367808.0
memory,slab_recl,VM10-1-9-207,00:09:26.244424,317759488.0
memory,slab_unrecl,VM10-1-9-207,00:09:26.244424,32387072.0
memory,used,VM10-1-9-207,00:09:26.244424,230211584.0
memory,buffered,VM10-1-9-207,00:09:36.245655,141021184.0
memory,cached,VM10-1-9-207,00:09:36.245655,3712937984.0
memory,free,VM10-1-9-207,00:09:36.245655,3940966400.0
memory,slab_recl,VM10-1-9-207,00:09:36.245655,317714432.0
memory,slab_unrecl,VM10-1-9-207,00:09:36.245655,32501760.0
memory,used,VM10-1-9-207,00:09:36.245655,230514688.0
memory,buffered,VM10-1-9-207,00:09:46.244419,141025280.0
memory,cached,VM10-1-9-207,00:09:46.244419,3712942080.0
memory,free,VM10-1-9-207,00:09:46.244419,3940868096.0
memory,slab_recl,VM10-1-9-207,00:09:46.244419,317702144.0
memory,slab_unrecl,VM10-1-9-207,00:09:46.244419,32321536.0
memory,used,VM10-1-9-207,00:09:46.244419,230797312.0
memory,buffered,VM10-1-9-207,00:09:56.244435,141029376.0
memory,cached,VM10-1-9-207,00:09:56.244435,3712950272.0
memory,free,VM10-1-9-207,00:09:56.244435,3940999168.0
memory,slab_recl,VM10-1-9-207,00:09:56.244435,317710336.0
memory,slab_unrecl,VM10-1-9-207,00:09:56.244435,32190464.0
memory,used,VM10-1-9-207,00:09:56.244435,230776832.0
memory,buffered,VM10-1-9-207,00:10:06.244426,141033472.0
memory,cached,VM10-1-9-207,00:10:06.244426,3712958464.0
memory,free,VM10-1-9-207,00:10:06.244426,3940933632.0
memory,slab_recl,VM10-1-9-207,00:10:06.244426,317710336.0
memory,slab_unrecl,VM10-1-9-207,00:10:06.244426,32108544.0
memory,used,VM10-1-9-207,00:10:06.244426,230912000.0
memory,buffered,VM10-1-9-207,00:10:16.244420,141049856.0
memory,cached,VM10-1-9-207,00:10:16.244420,3712962560.0
memory,free,VM10-1-9-207,00:10:16.244420,3940421632.0
memory,slab_recl,VM10-1-9-207,00:10:16.244420,317718528.0
memory,slab_unrecl,VM10-1-9-207,00:10:16.244420,32428032.0
memory,used,VM10-1-9-207,00:10:16.244420,231075840.0
memory,buffered,VM10-1-9-207,00:10:26.244758,141058048.0
memory,cached,VM10-1-9-207,00:10:26.244758,3712966656.0
memory,free,VM10-1-9-207,00:10:26.244758,3940646912.0
memory,slab_recl,VM10-1-9-207,00:10:26.244758,317714432.0
memory,slab_unrecl,VM10-1-9-207,00:10:26.244758,32186368.0
memory,used,VM10-1-9-207,00:10:26.244758,231084032.0
memory,buffered,VM10-1-9-207,00:10:36.244451,141062144.0
memory,cached,VM10-1-9-207,00:10:36.244451,3712974848.0
memory,free,VM10-1-9-207,00:10:36.244451,3940548608.0
memory,slab_recl,VM10-1-9-207,00:10:36.244451,317706240.0
memory,slab_unrecl,VM10-1-9-207,00:10:36.244451,32112640.0
memory,used,VM10-1-9-207,00:10:36.244451,231251968.0
memory,buffered,VM10-1-9-207,00:10:46.253293,141070336.0
memory,cached,VM10-1-9-207,00:10:46.253293,3712978944.0
memory,free,VM10-1-9-207,00:10:46.253293,3940646912.0
memory,slab_recl,VM10-1-9-207,00:10:46.253293,317702144.0
memory,slab_unrecl,VM10-1-9-207,00:10:46.253293,31985664.0
memory,used,VM10-1-9-207,00:10:46.253293,231272448.0
memory,buffered,VM10-1-9-207,00:10:56.244349,141078528.0
memory,cached,VM10-1-9-207,00:10:56.244349,3712987136.0
memory,free,VM10-1-9-207,00:10:56.244349,3940294656.0
memory,slab_recl,VM10-1-9-207,00:10:56.244349,317706240.0
memory,slab_unrecl,VM10-1-9-207,00:10:56.244349,32456704.0
memory,used,VM10-1-9-207,00:10:56.244349,231133184.0
memory,buffered,VM10-1-9-207,00:11:06.244439,141086720.0
memory,cached,VM10-1-9-207,00:11:06.244439,3712995328.0
memory,free,VM10-1-9-207,00:11:06.244439,3940552704.0
memory,slab_recl,VM10-1-9-207,00:11:06.244439,317706240.0
memory,slab_unrecl,VM10-1-9-207,00:11:06.244439,32415744.0
memory,used,VM10-1-9-207,00:11:06.244439,230899712.0
memory,buffered,VM10-1-9-207,00:11:16.244429,141094912.0
memory,cached,VM10-1-9-207,00:11:16.244429,3712999424.0
memory,free,VM10-1-9-207,00:11:16.244429,3940741120.0
memory,slab_recl,VM10-1-9-207,00:11:16.244429,317702144.0
memory,slab_unrecl,VM10-1-9-207,00:11:16.244429,32165888.0
memory,used,VM10-1-9-207,00:11:16.244429,230952960.0
memory,buffered,VM10-1-9-207,00:11:26.244447,141107200.0
memory,cached,VM10-1-9-207,00:11:26.244447,3713007616.0
memory,free,VM10-1-9-207,00:11:26.244447,3940872192.0
memory,slab_recl,VM10-1-9-207,00:11:26.244447,317718528.0
memory,slab_unrecl,VM10-1-9-207,00:11:26.244447,32088064.0
memory,used,VM10-1-9-207,00:11:26.244447,230862848.0
memory,buffered,VM10-1-9-207,00:11:36.244355,141115392.0
memory,cached,VM10-1-9-207,00:11:36.244355,3713007616.0
memory,free,VM10-1-9-207,00:11:36.244355,3940519936.0
memory,slab_recl,VM10-1-9-207,00:11:36.244355,317710336.0
memory,slab_unrecl,VM10-1-9-207,00:11:36.244355,32464896.0
memory,used,VM10-1-9-207,00:11:36.244355,230838272.0
memory,buffered,VM10-1-9-207,00:11:46.244417,141123584.0
memory,cached,VM10-1-9-207,00:11:46.244417,3713019904.0
memory,free,VM10-1-9-207,00:11:46.244417,3940454400.0
memory,slab_recl,VM10-1-9-207,00:11:46.244417,317698048.0
memory,slab_unrecl,VM10-1-9-207,00:11:46.244417,32288768.0
memory,used,VM10-1-9-207,00:11:46.244417,231071744.0
memory,buffered,VM10-1-9-207,00:11:56.244422,141123584.0
memory,cached,VM10-1-9-207,00:11:56.244422,3713028096.0
memory,free,VM10-1-9-207,00:11:56.244422,3940646912.0
memory,slab_recl,VM10-1-9-207,00:11:56.244422,317702144.0
memory,slab_unrecl,VM10-1-9-207,00:11:56.244422,32157696.0
memory,used,VM10-1-9-207,00:11:56.244422,230998016.0
memory,buffered,VM10-1-9-207,00:12:06.244447,141123584.0
memory,cached,VM10-1-9-207,00:12:06.244447,3713036288.0
memory,free,VM10-1-9-207,00:12:06.244447,3940708352.0
memory,slab_recl,VM10-1-9-207,00:12:06.244447,317698048.0
memory,slab_unrecl,VM10-1-9-207,00:12:06.244447,32030720.0
memory,used,VM10-1-9-207,00:12:06.244447,231059456.0
memory,buffered,VM10-1-9-207,00:12:16.244348,141127680.0
memory,cached,VM10-1-9-207,00:12:16.244348,3713044480.0
memory,free,VM10-1-9-207,00:12:16.244348,3940458496.0
memory,slab_recl,VM10-1-9-207,00:12:16.244348,317714432.0
memory,slab_unrecl,VM10-1-9-207,00:12:16.244348,32399360.0
memory,used,VM10-1-9-207,00:12:16.244348,230912000.0
memory,buffered,VM10-1-9-207,00:12:26.244435,141139968.0
memory,cached,VM10-1-9-207,00:12:26.244435,3713048576.0
memory,free,VM10-1-9-207,00:12:26.244435,3940454400.0
memory,slab_recl,VM10-1-9-207,00:12:26.244435,317714432.0
memory,slab_unrecl,VM10-1-9-207,00:12:26.244435,32251904.0
memory,used,VM10-1-9-207,00:12:26.244435,231047168.0
memory,buffered,VM10-1-9-207,00:12:36.244447,141152256.0
memory,cached,VM10-1-9-207,00:12:36.244447,3713056768.0
memory,free,VM10-1-9-207,00:12:36.244447,3940544512.0
memory,slab_recl,VM10-1-9-207,00:12:36.244447,317702144.0
memory,slab_unrecl,VM10-1-9-207,00:12:36.244447,32108544.0
memory,used,VM10-1-9-207,00:12:36.244447,231092224.0
memory,buffered,VM10-1-9-207,00:12:46.244468,141156352.0
memory,cached,VM10-1-9-207,00:12:46.244468,3713064960.0
memory,free,VM10-1-9-207,00:12:46.244468,3940454400.0
memory,slab_recl,VM10-1-9-207,00:12:46.244468,317698048.0
memory,slab_unrecl,VM10-1-9-207,00:12:46.244468,32030720.0
memory,used,VM10-1-9-207,00:12:46.244468,231251968.0
memory,buffered,VM10-1-9-207,00:12:56.245083,141168640.0
memory,cached,VM10-1-9-207,00:12:56.245083,3713064960.0
memory,free,VM10-1-9-207,00:12:56.245083,3940265984.0
memory,slab_recl,VM10-1-9-207,00:12:56.245083,317693952.0
memory,slab_unrecl,VM10-1-9-207,00:12:56.245083,32346112.0
memory,used,VM10-1-9-207,00:12:56.245083,231116800.0
memory,buffered,VM10-1-9-207,00:13:06.244464,141180928.0
memory,cached,VM10-1-9-207,00:13:06.244464,3713073152.0
memory,free,VM10-1-9-207,00:13:06.244464,3940454400.0
memory,slab_recl,VM10-1-9-207,00:13:06.244464,317706240.0
memory,slab_unrecl,VM10-1-9-207,00:13:06.244464,32186368.0
memory,used,VM10-1-9-207,00:13:06.244464,231055360.0
memory,buffered,VM10-1-9-207,00:13:16.244431,141185024.0
memory,cached,VM10-1-9-207,00:13:16.244431,3713081344.0
memory,free,VM10-1-9-207,00:13:16.244431,3940679680.0
memory,slab_recl,VM10-1-9-207,00:13:16.244431,317706240.0
memory,slab_unrecl,VM10-1-9-207,00:13:16.244431,32014336.0
memory,used,VM10-1-9-207,00:13:16.244431,230989824.0
memory,buffered,VM10-1-9-207,00:13:26.244707,141193216.0
memory,cached,VM10-1-9-207,00:13:26.244707,3713093632.0
memory,free,VM10-1-9-207,00:13:26.244707,3940614144.0
memory,slab_recl,VM10-1-9-207,00:13:26.244707,317706240.0
memory,slab_unrecl,VM10-1-9-207,00:13:26.244707,32002048.0
memory,used,VM10-1-9-207,00:13:26.244707,231047168.0
memory,buffered,VM10-1-9-207,00:13:36.244409,141201408.0
memory,cached,VM10-1-9-207,00:13:36.244409,3713101824.0
memory,free,VM10-1-9-207,00:13:36.244409,3940237312.0
memory,slab_recl,VM10-1-9-207,00:13:36.244409,317710336.0
memory,slab_unrecl,VM10-1-9-207,00:13:36.244409,32415744.0
memory,used,VM10-1-9-207,00:13:36.244409,230989824.0
memory,buffered,VM10-1-9-207,00:13:46.244431,141217792.0
memory,cached,VM10-1-9-207,00:13:46.244431,3713110016.0
memory,free,VM10-1-9-207,00:13:46.244431,3940265984.0
memory,slab_recl,VM10-1-9-207,00:13:46.244431,317714432.0
memory,slab_unrecl,VM10-1-9-207,00:13:46.244431,32288768.0
memory,used,VM10-1-9-207,00:13:46.244431,231059456.0
memory,buffered,VM10-1-9-207,00:13:56.244412,141230080.0
memory,cached,VM10-1-9-207,00:13:56.244412,3713114112.0
memory,free,VM10-1-9-207,00:13:56.244412,3940491264.0
memory,slab_recl,VM10-1-9-207,00:13:56.244412,317718528.0
memory,slab_unrecl,VM10-1-9-207,00:13:56.244412,32149504.0
memory,used,VM10-1-9-207,00:13:56.244412,230952960.0
memory,buffered,VM10-1-9-207,00:14:06.244438,141230080.0
memory,cached,VM10-1-9-207,00:14:06.244438,3713122304.0
memory,free,VM10-1-9-207,00:14:06.244438,3940458496.0
memory,slab_recl,VM10-1-9-207,00:14:06.244438,317718528.0
memory,slab_unrecl,VM10-1-9-207,00:14:06.244438,32030720.0
memory,used,VM10-1-9-207,00:14:06.244438,231096320.0
