type,host,time,type_instance,instance,value
cpu,VM10-1-9-207,00:39:32.002388,user,0,74749.0
cpu,VM10-1-9-207,00:39:32.002403,user,1,77474.0
cpu,VM10-1-9-207,00:39:32.002424,user,2,73056.0
cpu,VM10-1-9-207,00:39:32.002429,user,3,42432.0
cpu,VM10-1-9-207,00:39:32.002433,system,0,5867.0
cpu,VM10-1-9-207,00:39:32.002436,system,1,7468.0
cpu,VM10-1-9-207,00:39:32.002437,system,2,7301.0
cpu,VM10-1-9-207,00:39:32.002440,system,3,6882.0
cpu,VM10-1-9-207,00:39:32.002441,wait,0,3364.0
cpu,VM10-1-9-207,00:39:32.002442,wait,1,4383.0
cpu,VM10-1-9-207,00:39:32.002442,wait,2,4028.0
cpu,VM10-1-9-207,00:39:32.002443,wait,3,3653.0
cpu,VM10-1-9-207,00:39:32.002443,nice,0,32.0
cpu,VM10-1-9-207,00:39:32.002447,nice,1,0.0
cpu,VM10-1-9-207,00:39:32.002448,nice,2,7516.0
cpu,VM10-1-9-207,00:39:32.002448,nice,3,0.0
cpu,VM10-1-9-207,00:39:32.002449,interrupt,0,0.0
cpu,VM10-1-9-207,00:39:32.002450,interrupt,1,0.0
cpu,VM10-1-9-207,00:39:32.002463,interrupt,2,0.0
cpu,VM10-1-9-207,00:39:32.002464,interrupt,3,0.0
cpu,VM10-1-9-207,00:39:32.002464,softirq,0,210.0
cpu,VM10-1-9-207,00:39:32.002465,softirq,1,115.0
cpu,VM10-1-9-207,00:39:32.002465,softirq,2,221.0
cpu,VM10-1-9-207,00:39:32.002469,softirq,3,192.0
cpu,VM10-1-9-207,00:39:32.002470,steal,0,56.0
cpu,VM10-1-9-207,00:39:32.002470,steal,1,62.0
cpu,VM10-1-9-207,00:39:32.002471,steal,2,224.0
cpu,VM10-1-9-207,00:39:32.002471,steal,3,146.0
cpu,VM10-1-9-207,00:39:32.002472,idle,0,5718584.0
cpu,VM10-1-9-207,00:39:32.002478,idle,1,5712782.0
cpu,VM10-1-9-207,00:39:32.002479,idle,2,5705908.0
cpu,VM10-1-9-207,00:39:32.002479,idle,3,5747826.0
