type,type_instance,host,time,value
memory,buffered,VM10-1-9-207,00:39:38.628379,143847424.0
memory,cached,VM10-1-9-207,00:39:38.628379,3726131200.0
memory,free,VM10-1-9-207,00:39:38.628379,3921190912.0
memory,slab_recl,VM10-1-9-207,00:39:38.628379,320335872.0
memory,slab_unrecl,VM10-1-9-207,00:39:38.628379,35151872.0
memory,used,VM10-1-9-207,00:39:38.628379,228999168.0
memory,buffered,VM10-1-9-207,00:39:48.614453,143958016.0
memory,cached,VM10-1-9-207,00:39:48.614453,3726344192.0
memory,free,VM10-1-9-207,00:39:48.614453,3840548864.0
memory,slab_recl,VM10-1-9-207,00:39:48.614453,320765952.0
memory,slab_unrecl,VM10-1-9-207,00:39:48.614453,35500032.0
memory,used,VM10-1-9-207,00:39:48.614453,308539392.0
memory,buffered,VM10-1-9-207,00:39:58.614370,143982592.0
memory,cached,VM10-1-9-207,00:39:58.614370,3728003072.0
memory,free,VM10-1-9-207,00:39:58.614370,3834269696.0
memory,slab_recl,VM10-1-9-207,00:39:58.614370,320622592.0
memory,slab_unrecl,VM10-1-9-207,00:39:58.614370,34631680.0
memory,used,VM10-1-9-207,00:39:58.614370,314146816.0
memory,buffered,VM10-1-9-207,00:40:08.614417,143990784.0
memory,cached,VM10-1-9-207,00:40:08.614417,3728011264.0
memory,free,VM10-1-9-207,00:40:08.614417,3832500224.0
memory,slab_recl,VM10-1-9-207,00:40:08.614417,320557056.0
memory,slab_unrecl,VM10-1-9-207,00:40:08.614417,34402304.0
memory,used,VM10-1-9-207,00:40:08.614417,316194816.0
memory,buffered,VM10-1-9-207,00:40:18.614378,144007168.0
memory,cached,VM10-1-9-207,00:40:18.614378,3728015360.0
memory,free,VM10-1-9-207,00:40:18.614378,3828248576.0
memory,slab_recl,VM10-1-9-207,00:40:18.614378,320552960.0
memory,slab_unrecl,VM10-1-9-207,00:40:18.614378,34172928.0
memory,used,VM10-1-9-207,00:40:18.614378,320659456.0
memory,buffered,VM10-1-9-207,00:40:28.614397,144027648.0
memory,cached,VM10-1-9-207,00:40:28.614397,3728023552.0
memory,free,VM10-1-9-207,00:40:28.614397,3826122752.0
memory,slab_recl,VM10-1-9-207,00:40:28.614397,320548864.0
memory,slab_unrecl,VM10-1-9-207,00:40:28.614397,34074624.0
memory,used,VM10-1-9-207,00:40:28.614397,322859008.0
memory,buffered,VM10-1-9-207,00:40:38.614434,144048128.0
memory,cached,VM10-1-9-207,00:40:38.614434,3728031744.0
memory,free,VM10-1-9-207,00:40:38.614434,3823292416.0
memory,slab_recl,VM10-1-9-207,00:40:38.614434,320524288.0
