type,host,time,type_instance,instance,value
cpu,VM10-1-9-207,00:27:10.104463,user,0,49787.0
cpu,VM10-1-9-207,00:27:10.104478,user,1,63812.0
cpu,VM10-1-9-207,00:27:10.104486,user,2,44299.0
cpu,VM10-1-9-207,00:27:10.104496,user,3,39409.0
cpu,VM10-1-9-207,00:27:10.104505,system,0,5742.0
cpu,VM10-1-9-207,00:27:10.104514,system,1,7352.0
cpu,VM10-1-9-207,00:27:10.104515,system,2,7125.0
cpu,VM10-1-9-207,00:27:10.104516,system,3,6762.0
cpu,VM10-1-9-207,00:27:10.104517,wait,0,3326.0
cpu,VM10-1-9-207,00:27:10.104518,wait,1,4379.0
cpu,VM10-1-9-207,00:27:10.104519,wait,2,4022.0
cpu,VM10-1-9-207,00:27:10.104520,wait,3,3616.0
cpu,VM10-1-9-207,00:27:10.104521,nice,0,32.0
cpu,VM10-1-9-207,00:27:10.104522,nice,1,0.0
cpu,VM10-1-9-207,00:27:10.104522,nice,2,7516.0
cpu,VM10-1-9-207,00:27:10.104523,nice,3,0.0
cpu,VM10-1-9-207,00:27:10.104524,interrupt,0,0.0
cpu,VM10-1-9-207,00:27:10.104525,interrupt,1,0.0
cpu,VM10-1-9-207,00:27:10.104526,interrupt,2,0.0
cpu,VM10-1-9-207,00:27:10.104527,interrupt,3,0.0
cpu,VM10-1-9-207,00:27:10.104528,softirq,0,203.0
cpu,VM10-1-9-207,00:27:10.104529,softirq,1,112.0
cpu,VM10-1-9-207,00:27:10.104530,softirq,2,220.0
cpu,VM10-1-9-207,00:27:10.104531,softirq,3,186.0
cpu,VM10-1-9-207,00:27:10.104532,steal,0,49.0
cpu,VM10-1-9-207,00:27:10.104534,steal,1,60.0
cpu,VM10-1-9-207,00:27:10.104535,steal,2,219.0
cpu,VM10-1-9-207,00:27:10.104536,steal,3,139.0
cpu,VM10-1-9-207,00:27:10.104537,idle,0,5669571.0
cpu,VM10-1-9-207,00:27:10.104537,idle,1,5652415.0
cpu,VM10-1-9-207,00:27:10.104538,idle,2,5660713.0
cpu,VM10-1-9-207,00:27:10.104539,idle,3,5676886.0
cpu,VM10-1-9-207,00:27:20.104397,user,0,49787.0
cpu,VM10-1-9-207,00:27:20.104409,user,1,63813.0
cpu,VM10-1-9-207,00:27:20.104413,user,2,45298.0
cpu,VM10-1-9-207,00:27:20.104430,user,3,39410.0
cpu,VM10-1-9-207,00:27:20.104433,system,0,5744.0
cpu,VM10-1-9-207,00:27:20.104436,system,1,7352.0
cpu,VM10-1-9-207,00:27:20.104436,system,2,7126.0
cpu,VM10-1-9-207,00:27:20.104437,system,3,6762.0
cpu,VM10-1-9-207,00:27:20.104438,wait,0,3326.0
cpu,VM10-1-9-207,00:27:20.104438,wait,1,4379.0
cpu,VM10-1-9-207,00:27:20.104438,wait,2,4022.0
cpu,VM10-1-9-207,00:27:20.104439,wait,3,3616.0
cpu,VM10-1-9-207,00:27:20.104439,nice,0,32.0
cpu,VM10-1-9-207,00:27:20.104440,nice,1,0.0
cpu,VM10-1-9-207,00:27:20.104441,nice,2,7516.0
cpu,VM10-1-9-207,00:27:20.104441,nice,3,0.0
cpu,VM10-1-9-207,00:27:20.104442,interrupt,0,0.0
cpu,VM10-1-9-207,00:27:20.104443,interrupt,1,0.0
cpu,VM10-1-9-207,00:27:20.104443,interrupt,2,0.0
cpu,VM10-1-9-207,00:27:20.104444,interrupt,3,0.0
cpu,VM10-1-9-207,00:27:20.104445,softirq,0,203.0
cpu,VM10-1-9-207,00:27:20.104445,softirq,1,112.0
cpu,VM10-1-9-207,00:27:20.104445,softirq,2,220.0
cpu,VM10-1-9-207,00:27:20.104446,softirq,3,186.0
cpu,VM10-1-9-207,00:27:20.104457,steal,0,49.0
cpu,VM10-1-9-207,00:27:20.104459,steal,1,60.0
cpu,VM10-1-9-207,00:27:20.104460,steal,2,219.0
cpu,VM10-1-9-207,00:27:20.104461,steal,3,139.0
cpu,VM10-1-9-207,00:27:20.104470,idle,0,5670568.0
cpu,VM10-1-9-207,00:27:20.104493,idle,1,5653413.0
cpu,VM10-1-9-207,00:27:20.104495,idle,2,5660713.0
cpu,VM10-1-9-207,00:27:20.104496,idle,3,5677884.0
cpu,VM10-1-9-207,00:27:30.104535,user,0,49787.0
cpu,VM10-1-9-207,00:27:30.104612,user,1,63814.0
cpu,VM10-1-9-207,00:27:30.104650,user,2,46298.0
cpu,VM10-1-9-207,00:27:30.104685,user,3,39412.0
cpu,VM10-1-9-207,00:27:30.104713,system,0,5745.0
cpu,VM10-1-9-207,00:27:30.104721,system,1,7354.0
cpu,VM10-1-9-207,00:27:30.104767,system,2,7126.0
cpu,VM10-1-9-207,00:27:30.104790,system,3,6762.0
cpu,VM10-1-9-207,00:27:30.104812,wait,0,3328.0
cpu,VM10-1-9-207,00:27:30.104836,wait,1,4379.0
cpu,VM10-1-9-207,00:27:30.104859,wait,2,4022.0
cpu,VM10-1-9-207,00:27:30.105319,wait,3,3616.0
cpu,VM10-1-9-207,00:27:30.105342,nice,0,32.0
cpu,VM10-1-9-207,00:27:30.105365,nice,1,0.0
cpu,VM10-1-9-207,00:27:30.105388,nice,2,7516.0
cpu,VM10-1-9-207,00:27:30.105411,nice,3,0.0
cpu,VM10-1-9-207,00:27:30.105435,interrupt,0,0.0
cpu,VM10-1-9-207,00:27:30.105458,interrupt,1,0.0
cpu,VM10-1-9-207,00:27:30.105481,interrupt,2,0.0
cpu,VM10-1-9-207,00:27:30.105504,interrupt,3,0.0
cpu,VM10-1-9-207,00:27:30.105526,softirq,0,203.0
cpu,VM10-1-9-207,00:27:30.105550,softirq,1,112.0
cpu,VM10-1-9-207,00:27:30.105573,softirq,2,220.0
cpu,VM10-1-9-207,00:27:30.105603,softirq,3,186.0
cpu,VM10-1-9-207,00:27:30.105634,steal,0,49.0
cpu,VM10-1-9-207,00:27:30.105670,steal,1,60.0
cpu,VM10-1-9-207,00:27:30.105693,steal,2,219.0
cpu,VM10-1-9-207,00:27:30.105928,steal,3,139.0
cpu,VM10-1-9-207,00:27:30.105953,idle,0,5671564.0
cpu,VM10-1-9-207,00:27:30.105982,idle,1,5654410.0
cpu,VM10-1-9-207,00:27:30.106005,idle,2,5660713.0
cpu,VM10-1-9-207,00:27:30.106035,idle,3,5678882.0
cpu,VM10-1-9-207,00:27:40.104375,user,0,49788.0
cpu,VM10-1-9-207,00:27:40.104388,user,1,63814.0
cpu,VM10-1-9-207,00:27:40.104403,user,2,47297.0
cpu,VM10-1-9-207,00:27:40.104405,user,3,39412.0
cpu,VM10-1-9-207,00:27:40.104411,system,0,5746.0
cpu,VM10-1-9-207,00:27:40.104414,system,1,7356.0
cpu,VM10-1-9-207,00:27:40.104414,system,2,7126.0
cpu,VM10-1-9-207,00:27:40.104415,system,3,6763.0
