type,type_instance,host,time,value
memory,buffered,VM10-1-9-207,00:23:46.391942,142163968.0
memory,cached,VM10-1-9-207,00:23:46.391942,3715510272.0
memory,free,VM10-1-9-207,00:23:46.391942,3937521664.0
memory,slab_recl,VM10-1-9-207,00:23:46.391942,318328832.0
memory,slab_unrecl,VM10-1-9-207,00:23:46.391942,33882112.0
memory,used,VM10-1-9-207,00:23:46.391942,228249600.0
memory,buffered,VM10-1-9-207,00:23:56.377393,142286848.0
memory,cached,VM10-1-9-207,00:23:56.377393,3716034560.0
memory,free,VM10-1-9-207,00:23:56.377393,3902976000.0
memory,slab_recl,VM10-1-9-207,00:23:56.377393,318640128.0
memory,slab_unrecl,VM10-1-9-207,00:23:56.377393,34377728.0
memory,used,VM10-1-9-207,00:23:56.377393,261341184.0
memory,buffered,VM10-1-9-207,00:24:06.377730,142319616.0
memory,cached,VM10-1-9-207,00:24:06.377730,3717693440.0
memory,free,VM10-1-9-207,00:24:06.377730,3901116416.0
memory,slab_recl,VM10-1-9-207,00:24:06.377730,318656512.0
memory,slab_unrecl,VM10-1-9-207,00:24:06.377730,33767424.0
memory,used,VM10-1-9-207,00:24:06.377730,262103040.0
memory,buffered,VM10-1-9-207,00:24:16.377387,142331904.0
memory,cached,VM10-1-9-207,00:24:16.377387,3717701632.0
memory,free,VM10-1-9-207,00:24:16.377387,3901534208.0
memory,slab_recl,VM10-1-9-207,00:24:16.377387,318603264.0
memory,slab_unrecl,VM10-1-9-207,00:24:16.377387,33460224.0
memory,used,VM10-1-9-207,00:24:16.377387,262025216.0
memory,buffered,VM10-1-9-207,00:24:26.377892,142344192.0
memory,cached,VM10-1-9-207,00:24:26.377892,3717705728.0
memory,free,VM10-1-9-207,00:24:26.377892,3901632512.0
memory,slab_recl,VM10-1-9-207,00:24:26.377892,318603264.0
memory,slab_unrecl,VM10-1-9-207,00:24:26.377892,33288192.0
memory,used,VM10-1-9-207,00:24:26.377892,262082560.0
memory,buffered,VM10-1-9-207,00:24:36.377583,142356480.0
memory,cached,VM10-1-9-207,00:24:36.377583,3717713920.0
memory,free,VM10-1-9-207,00:24:36.377583,3901820928.0
memory,slab_recl,VM10-1-9-207,00:24:36.377583,318582784.0
memory,slab_unrecl,VM10-1-9-207,00:24:36.377583,33116160.0
memory,used,VM10-1-9-207,00:24:36.377583,262066176.0
