type_instance,value,type,host,instance,time
user,103632.0,cpu,VM10-1-9-207,0,01:00:59.866001
user,114539.0,cpu,VM10-1-9-207,1,01:00:59.866502
user,98474.0,cpu,VM10-1-9-207,2,01:00:59.867347
user,64799.0,cpu,VM10-1-9-207,3,01:00:59.879913
system,6027.0,cpu,VM10-1-9-207,0,01:00:59.879962
system,7760.0,cpu,VM10-1-9-207,1,01:00:59.879987
system,7549.0,cpu,VM10-1-9-207,2,01:00:59.880046
system,7019.0,cpu,VM10-1-9-207,3,01:00:59.880084
wait,3418.0,cpu,VM10-1-9-207,0,01:00:59.880091
wait,4392.0,cpu,VM10-1-9-207,1,01:00:59.880137
wait,4123.0,cpu,VM10-1-9-207,2,01:00:59.880172
wait,3688.0,cpu,VM10-1-9-207,3,01:00:59.880193
nice,32.0,cpu,VM10-1-9-207,0,01:00:59.880214
nice,0.0,cpu,VM10-1-9-207,1,01:00:59.880242
nice,7516.0,cpu,VM10-1-9-207,2,01:00:59.880248
nice,0.0,cpu,VM10-1-9-207,3,01:00:59.880272
interrupt,0.0,cpu,VM10-1-9-207,0,01:00:59.880307
interrupt,0.0,cpu,VM10-1-9-207,1,01:00:59.880337
interrupt,0.0,cpu,VM10-1-9-207,2,01:00:59.880358
interrupt,0.0,cpu,VM10-1-9-207,3,01:00:59.880363
softirq,226.0,cpu,VM10-1-9-207,0,01:00:59.880398
softirq,118.0,cpu,VM10-1-9-207,1,01:00:59.880423
softirq,224.0,cpu,VM10-1-9-207,2,01:00:59.880464
softirq,217.0,cpu,VM10-1-9-207,3,01:00:59.880495
steal,61.0,cpu,VM10-1-9-207,0,01:00:59.880538
steal,66.0,cpu,VM10-1-9-207,1,01:00:59.880654
steal,231.0,cpu,VM10-1-9-207,2,01:00:59.880703
steal,158.0,cpu,VM10-1-9-207,3,01:00:59.880856
idle,5818174.0,cpu,VM10-1-9-207,0,01:00:59.880882
idle,5804099.0,cpu,VM10-1-9-207,1,01:00:59.880930
idle,5808750.0,cpu,VM10-1-9-207,2,01:00:59.881012
idle,5853920.0,cpu,VM10-1-9-207,3,01:00:59.881036
user,104632.0,cpu,VM10-1-9-207,0,01:01:09.866056
user,114540.0,cpu,VM10-1-9-207,1,01:01:09.866070
user,98475.0,cpu,VM10-1-9-207,2,01:01:09.866080
user,64799.0,cpu,VM10-1-9-207,3,01:01:09.866093
system,6028.0,cpu,VM10-1-9-207,0,01:01:09.866103
system,7762.0,cpu,VM10-1-9-207,1,01:01:09.866112
system,7550.0,cpu,VM10-1-9-207,2,01:01:09.866126
system,7019.0,cpu,VM10-1-9-207,3,01:01:09.866127
wait,3418.0,cpu,VM10-1-9-207,0,01:01:09.866128
wait,4392.0,cpu,VM10-1-9-207,1,01:01:09.866129
wait,4124.0,cpu,VM10-1-9-207,2,01:01:09.866129
wait,3688.0,cpu,VM10-1-9-207,3,01:01:09.866130
nice,32.0,cpu,VM10-1-9-207,0,01:01:09.866132
nice,0.0,cpu,VM10-1-9-207,1,01:01:09.866133
nice,7516.0,cpu,VM10-1-9-207,2,01:01:09.866134
nice,0.0,cpu,VM10-1-9-207,3,01:01:09.866135
interrupt,0.0,cpu,VM10-1-9-207,0,01:01:09.866136
interrupt,0.0,cpu,VM10-1-9-207,1,01:01:09.866137
interrupt,0.0,cpu,VM10-1-9-207,2,01:01:09.866138
interrupt,0.0,cpu,VM10-1-9-207,3,01:01:09.866138
softirq,226.0,cpu,VM10-1-9-207,0,01:01:09.866139
softirq,118.0,cpu,VM10-1-9-207,1,01:01:09.866140
softirq,226.0,cpu,VM10-1-9-207,2,01:01:09.866140
softirq,217.0,cpu,VM10-1-9-207,3,01:01:09.866142
steal,61.0,cpu,VM10-1-9-207,0,01:01:09.866142
