type,host,value,type_instance,time
memory,VM10-1-9-207,146178048.0,buffered,00:59:42.299379
memory,VM10-1-9-207,3743219712.0,cached,00:59:42.299379
memory,VM10-1-9-207,3901706240.0,free,00:59:42.299379
memory,VM10-1-9-207,320868352.0,slab_recl,00:59:42.299379
memory,VM10-1-9-207,34013184.0,slab_unrecl,00:59:42.299379
memory,VM10-1-9-207,229670912.0,used,00:59:42.299379
memory,VM10-1-9-207,146243584.0,buffered,00:59:52.287505
memory,VM10-1-9-207,3743223808.0,cached,00:59:52.287505
memory,VM10-1-9-207,3847643136.0,free,00:59:52.287505
memory,VM10-1-9-207,320925696.0,slab_recl,00:59:52.287505
memory,VM10-1-9-207,33964032.0,slab_unrecl,00:59:52.287505
memory,VM10-1-9-207,283656192.0,used,00:59:52.287505
memory,VM10-1-9-207,146276352.0,buffered,01:00:02.287613
memory,VM10-1-9-207,3743236096.0,cached,01:00:02.287613
memory,VM10-1-9-207,3843104768.0,free,01:00:02.287613
memory,VM10-1-9-207,320868352.0,slab_recl,01:00:02.287613
memory,VM10-1-9-207,33701888.0,slab_unrecl,01:00:02.287613
memory,VM10-1-9-207,288468992.0,used,01:00:02.287613
memory,VM10-1-9-207,146292736.0,buffered,01:00:12.287416
memory,VM10-1-9-207,3743244288.0,cached,01:00:12.287416
memory,VM10-1-9-207,3840528384.0,free,01:00:12.287416
memory,VM10-1-9-207,320876544.0,slab_recl,01:00:12.287416
memory,VM10-1-9-207,34111488.0,slab_unrecl,01:00:12.287416
memory,VM10-1-9-207,290603008.0,used,01:00:12.287416
memory,VM10-1-9-207,146300928.0,buffered,01:00:22.287238
memory,VM10-1-9-207,3743252480.0,cached,01:00:22.287238
memory,VM10-1-9-207,3836432384.0,free,01:00:22.287238
memory,VM10-1-9-207,320872448.0,slab_recl,01:00:22.287238
memory,VM10-1-9-207,34004992.0,slab_unrecl,01:00:22.287238
memory,VM10-1-9-207,294793216.0,used,01:00:22.287238
memory,VM10-1-9-207,146309120.0,buffered,01:00:32.287530
memory,VM10-1-9-207,3743260672.0,cached,01:00:32.287530
memory,VM10-1-9-207,3834236928.0,free,01:00:32.287530
memory,VM10-1-9-207,320868352.0,slab_recl,01:00:32.287530
memory,VM10-1-9-207,33742848.0,slab_unrecl,01:00:32.287530
memory,VM10-1-9-207,297238528.0,used,01:00:32.287530
memory,VM10-1-9-207,146325504.0,buffered,01:00:42.287415
memory,VM10-1-9-207,3743264768.0,cached,01:00:42.287415
memory,VM10-1-9-207,3831349248.0,free,01:00:42.287415
memory,VM10-1-9-207,320880640.0,slab_recl,01:00:42.287415
memory,VM10-1-9-207,33701888.0,slab_unrecl,01:00:42.287415
memory,VM10-1-9-207,300134400.0,used,01:00:42.287415
