type_instance,value,type,host,instance,time
user,90367.0,cpu,VM10-1-9-207,0,00:48:28.820456
user,77938.0,cpu,VM10-1-9-207,1,00:48:28.820564
user,91168.0,cpu,VM10-1-9-207,2,00:48:28.820567
user,56551.0,cpu,VM10-1-9-207,3,00:48:28.820597
system,5931.0,cpu,VM10-1-9-207,0,00:48:28.820603
system,7569.0,cpu,VM10-1-9-207,1,00:48:28.820610
system,7437.0,cpu,VM10-1-9-207,2,00:48:28.820633
system,6970.0,cpu,VM10-1-9-207,3,00:48:28.820673
wait,3370.0,cpu,VM10-1-9-207,0,00:48:28.820696
wait,4390.0,cpu,VM10-1-9-207,1,00:48:28.820703
wait,4059.0,cpu,VM10-1-9-207,2,00:48:28.820713
wait,3685.0,cpu,VM10-1-9-207,3,00:48:28.820724
nice,32.0,cpu,VM10-1-9-207,0,00:48:28.820880
nice,0.0,cpu,VM10-1-9-207,1,00:48:28.820906
nice,7516.0,cpu,VM10-1-9-207,2,00:48:28.820914
nice,0.0,cpu,VM10-1-9-207,3,00:48:28.820923
interrupt,0.0,cpu,VM10-1-9-207,0,00:48:28.820942
interrupt,0.0,cpu,VM10-1-9-207,1,00:48:28.820966
interrupt,0.0,cpu,VM10-1-9-207,2,00:48:28.820986
interrupt,0.0,cpu,VM10-1-9-207,3,00:48:28.820986
softirq,218.0,cpu,VM10-1-9-207,0,00:48:28.820987
softirq,116.0,cpu,VM10-1-9-207,1,00:48:28.820988
softirq,223.0,cpu,VM10-1-9-207,2,00:48:28.820989
softirq,205.0,cpu,VM10-1-9-207,3,00:48:28.820990
steal,57.0,cpu,VM10-1-9-207,0,00:48:28.820991
steal,63.0,cpu,VM10-1-9-207,1,00:48:28.820992
steal,227.0,cpu,VM10-1-9-207,2,00:48:28.820992
steal,151.0,cpu,VM10-1-9-207,3,00:48:28.820993
idle,5756540.0,cpu,VM10-1-9-207,0,00:48:28.821009
idle,5765816.0,cpu,VM10-1-9-207,1,00:48:28.821010
idle,5741256.0,cpu,VM10-1-9-207,2,00:48:28.821021
idle,5787194.0,cpu,VM10-1-9-207,3,00:48:28.821022
