type,host,value,type_instance,time
memory,VM10-1-9-207,145035264.0,buffered,00:48:18.833933
memory,VM10-1-9-207,3734454272.0,cached,00:48:18.833933
memory,VM10-1-9-207,3916316672.0,free,00:48:18.833933
memory,VM10-1-9-207,321056768.0,slab_recl,00:48:18.833933
memory,VM10-1-9-207,34430976.0,slab_unrecl,00:48:18.833933
memory,VM10-1-9-207,224362496.0,used,00:48:18.833933
memory,VM10-1-9-207,145113088.0,buffered,00:48:28.821579
memory,VM10-1-9-207,3734487040.0,cached,00:48:28.821579
memory,VM10-1-9-207,3911680000.0,free,00:48:28.821579
memory,VM10-1-9-207,320880640.0,slab_recl,00:48:28.821579
memory,VM10-1-9-207,34291712.0,slab_unrecl,00:48:28.821579
memory,VM10-1-9-207,229203968.0,used,00:48:28.821579
