type_instance,value,type,host,instance,time
user,128127.0,cpu,VM10-1-9-207,0,01:24:38.138075
user,135650.0,cpu,VM10-1-9-207,1,01:24:38.138091
user,116052.0,cpu,VM10-1-9-207,2,01:24:38.138155
user,133594.0,cpu,VM10-1-9-207,3,01:24:38.138191
system,6169.0,cpu,VM10-1-9-207,0,01:24:38.138208
system,7984.0,cpu,VM10-1-9-207,1,01:24:38.138277
system,7826.0,cpu,VM10-1-9-207,2,01:24:38.138305
system,7232.0,cpu,VM10-1-9-207,3,01:24:38.138312
wait,3458.0,cpu,VM10-1-9-207,0,01:24:38.138342
wait,4446.0,cpu,VM10-1-9-207,1,01:24:38.138368
wait,4229.0,cpu,VM10-1-9-207,2,01:24:38.138391
wait,3704.0,cpu,VM10-1-9-207,3,01:24:38.138415
nice,32.0,cpu,VM10-1-9-207,0,01:24:38.138437
nice,0.0,cpu,VM10-1-9-207,1,01:24:38.138443
nice,7516.0,cpu,VM10-1-9-207,2,01:24:38.138473
nice,0.0,cpu,VM10-1-9-207,3,01:24:38.138506
interrupt,0.0,cpu,VM10-1-9-207,0,01:24:38.138534
interrupt,0.0,cpu,VM10-1-9-207,1,01:24:38.138549
interrupt,0.0,cpu,VM10-1-9-207,2,01:24:38.138562
interrupt,0.0,cpu,VM10-1-9-207,3,01:24:38.138732
softirq,242.0,cpu,VM10-1-9-207,0,01:24:38.138760
softirq,121.0,cpu,VM10-1-9-207,1,01:24:38.138767
softirq,238.0,cpu,VM10-1-9-207,2,01:24:38.138801
softirq,232.0,cpu,VM10-1-9-207,3,01:24:38.138827
steal,68.0,cpu,VM10-1-9-207,0,01:24:38.138849
steal,71.0,cpu,VM10-1-9-207,1,01:24:38.138877
steal,237.0,cpu,VM10-1-9-207,2,01:24:38.138906
steal,174.0,cpu,VM10-1-9-207,3,01:24:38.138913
idle,5935170.0,cpu,VM10-1-9-207,0,01:24:38.138925
idle,5924442.0,cpu,VM10-1-9-207,1,01:24:38.138937
idle,5932368.0,cpu,VM10-1-9-207,2,01:24:38.139009
idle,5926583.0,cpu,VM10-1-9-207,3,01:24:38.142840
