type,host,value,type_instance,time
memory,VM10-1-9-207,148996096.0,buffered,01:24:24.725500
memory,VM10-1-9-207,3747565568.0,cached,01:24:24.725500
memory,VM10-1-9-207,3884331008.0,free,01:24:24.725500
memory,VM10-1-9-207,322977792.0,slab_recl,01:24:24.725500
memory,VM10-1-9-207,36294656.0,slab_unrecl,01:24:24.725500
memory,VM10-1-9-207,235491328.0,used,01:24:24.725500
memory,VM10-1-9-207,149004288.0,buffered,01:24:28.151492
memory,VM10-1-9-207,3747565568.0,cached,01:24:28.151492
memory,VM10-1-9-207,3885322240.0,free,01:24:28.151492
memory,VM10-1-9-207,322912256.0,slab_recl,01:24:28.151492
memory,VM10-1-9-207,36208640.0,slab_unrecl,01:24:28.151492
memory,VM10-1-9-207,234643456.0,used,01:24:28.151492
memory,VM10-1-9-207,149184512.0,buffered,01:24:38.142777
memory,VM10-1-9-207,3748265984.0,cached,01:24:38.142777
memory,VM10-1-9-207,3818536960.0,free,01:24:38.142777
memory,VM10-1-9-207,323399680.0,slab_recl,01:24:38.142777
memory,VM10-1-9-207,37068800.0,slab_unrecl,01:24:38.142777
memory,VM10-1-9-207,299200512.0,used,01:24:38.142777
