type_instance,value,type,host,instance,time
user,117662.0,cpu,VM10-1-9-207,0,01:08:44.453152
user,114927.0,cpu,VM10-1-9-207,1,01:08:44.453409
user,98537.0,cpu,VM10-1-9-207,2,01:08:44.453543
user,94408.0,cpu,VM10-1-9-207,3,01:08:44.454000
system,6048.0,cpu,VM10-1-9-207,0,01:08:44.454226
system,7819.0,cpu,VM10-1-9-207,1,01:08:44.454314
system,7628.0,cpu,VM10-1-9-207,2,01:08:44.454546
system,7047.0,cpu,VM10-1-9-207,3,01:08:44.454653
wait,3422.0,cpu,VM10-1-9-207,0,01:08:44.454736
wait,4404.0,cpu,VM10-1-9-207,1,01:08:44.454831
wait,4159.0,cpu,VM10-1-9-207,2,01:08:44.455417
wait,3690.0,cpu,VM10-1-9-207,3,01:08:44.456610
nice,32.0,cpu,VM10-1-9-207,0,01:08:44.456612
nice,0.0,cpu,VM10-1-9-207,1,01:08:44.456800
nice,7516.0,cpu,VM10-1-9-207,2,01:08:44.456809
nice,0.0,cpu,VM10-1-9-207,3,01:08:44.456810
interrupt,0.0,cpu,VM10-1-9-207,0,01:08:44.456811
interrupt,0.0,cpu,VM10-1-9-207,1,01:08:44.456812
interrupt,0.0,cpu,VM10-1-9-207,2,01:08:44.457549
interrupt,0.0,cpu,VM10-1-9-207,3,01:08:44.457554
softirq,228.0,cpu,VM10-1-9-207,0,01:08:44.457556
softirq,119.0,cpu,VM10-1-9-207,1,01:08:44.457557
softirq,230.0,cpu,VM10-1-9-207,2,01:08:44.457558
softirq,225.0,cpu,VM10-1-9-207,3,01:08:44.457559
steal,65.0,cpu,VM10-1-9-207,0,01:08:44.457560
steal,68.0,cpu,VM10-1-9-207,1,01:08:44.457733
steal,232.0,cpu,VM10-1-9-207,2,01:08:44.457737
steal,164.0,cpu,VM10-1-9-207,3,01:08:44.457738
idle,5850549.0,cpu,VM10-1-9-207,0,01:08:44.457739
idle,5850074.0,cpu,VM10-1-9-207,1,01:08:44.457740
idle,5854939.0,cpu,VM10-1-9-207,2,01:08:44.458076
idle,5870695.0,cpu,VM10-1-9-207,3,01:08:44.458080
