type,host,value,type_instance,time
memory,VM10-1-9-207,147759104.0,buffered,01:12:08.332950
memory,VM10-1-9-207,3742957568.0,cached,01:12:08.332950
memory,VM10-1-9-207,3894325248.0,free,01:12:08.332950
memory,VM10-1-9-207,321998848.0,slab_recl,01:12:08.332950
memory,VM10-1-9-207,34922496.0,slab_unrecl,01:12:08.332950
memory,VM10-1-9-207,233693184.0,used,01:12:08.332950
memory,VM10-1-9-207,147980288.0,buffered,01:12:18.316118
memory,VM10-1-9-207,3743457280.0,cached,01:12:18.316118
memory,VM10-1-9-207,3858948096.0,free,01:12:18.316118
memory,VM10-1-9-207,322277376.0,slab_recl,01:12:18.316118
memory,VM10-1-9-207,36536320.0,slab_unrecl,01:12:18.316118
memory,VM10-1-9-207,266457088.0,used,01:12:18.316118
memory,VM10-1-9-207,148004864.0,buffered,01:12:28.316108
memory,VM10-1-9-207,3745116160.0,cached,01:12:28.316108
memory,VM10-1-9-207,3856863232.0,free,01:12:28.316108
memory,VM10-1-9-207,322248704.0,slab_recl,01:12:28.316108
memory,VM10-1-9-207,35540992.0,slab_unrecl,01:12:28.316108
memory,VM10-1-9-207,267882496.0,used,01:12:28.316108
memory,VM10-1-9-207,148013056.0,buffered,01:12:38.316105
memory,VM10-1-9-207,3745120256.0,cached,01:12:38.316105
memory,VM10-1-9-207,3857035264.0,free,01:12:38.316105
memory,VM10-1-9-207,322215936.0,slab_recl,01:12:38.316105
memory,VM10-1-9-207,35438592.0,slab_unrecl,01:12:38.316105
memory,VM10-1-9-207,267833344.0,used,01:12:38.316105
memory,VM10-1-9-207,148025344.0,buffered,01:12:48.316135
memory,VM10-1-9-207,3745128448.0,cached,01:12:48.316135
memory,VM10-1-9-207,3857141760.0,free,01:12:48.316135
memory,VM10-1-9-207,322199552.0,slab_recl,01:12:48.316135
memory,VM10-1-9-207,35205120.0,slab_unrecl,01:12:48.316135
memory,VM10-1-9-207,267956224.0,used,01:12:48.316135
memory,VM10-1-9-207,148033536.0,buffered,01:12:58.316105
memory,VM10-1-9-207,3745140736.0,cached,01:12:58.316105
memory,VM10-1-9-207,3857203200.0,free,01:12:58.316105
memory,VM10-1-9-207,322195456.0,slab_recl,01:12:58.316105
memory,VM10-1-9-207,35069952.0,slab_unrecl,01:12:58.316105
memory,VM10-1-9-207,268013568.0,used,01:12:58.316105
memory,VM10-1-9-207,148037632.0,buffered,01:13:08.316128
memory,VM10-1-9-207,3745148928.0,cached,01:13:08.316128
memory,VM10-1-9-207,3857301504.0,free,01:13:08.316128
memory,VM10-1-9-207,322195456.0,slab_recl,01:13:08.316128
memory,VM10-1-9-207,35295232.0,slab_unrecl,01:13:08.316128
memory,VM10-1-9-207,267677696.0,used,01:13:08.316128
memory,VM10-1-9-207,148045824.0,buffered,01:13:18.316120
memory,VM10-1-9-207,3745157120.0,cached,01:13:18.316120
memory,VM10-1-9-207,3857489920.0,free,01:13:18.316120
memory,VM10-1-9-207,322191360.0,slab_recl,01:13:18.316120
memory,VM10-1-9-207,35008512.0,slab_unrecl,01:13:18.316120
memory,VM10-1-9-207,267763712.0,used,01:13:18.316120
memory,VM10-1-9-207,148045824.0,buffered,01:13:28.316267
memory,VM10-1-9-207,3745161216.0,cached,01:13:28.316267
memory,VM10-1-9-207,3857588224.0,free,01:13:28.316267
memory,VM10-1-9-207,322195456.0,slab_recl,01:13:28.316267
memory,VM10-1-9-207,34926592.0,slab_unrecl,01:13:28.316267
memory,VM10-1-9-207,267739136.0,used,01:13:28.316267
memory,VM10-1-9-207,148054016.0,buffered,01:13:38.316342
memory,VM10-1-9-207,3745173504.0,cached,01:13:38.316342
memory,VM10-1-9-207,3857649664.0,free,01:13:38.316342
memory,VM10-1-9-207,322195456.0,slab_recl,01:13:38.316342
memory,VM10-1-9-207,34848768.0,slab_unrecl,01:13:38.316342
memory,VM10-1-9-207,267735040.0,used,01:13:38.316342
memory,VM10-1-9-207,148066304.0,buffered,01:13:48.316110
memory,VM10-1-9-207,3745181696.0,cached,01:13:48.316110
memory,VM10-1-9-207,3857502208.0,free,01:13:48.316110
memory,VM10-1-9-207,322191360.0,slab_recl,01:13:48.316110
memory,VM10-1-9-207,35241984.0,slab_unrecl,01:13:48.316110
memory,VM10-1-9-207,267472896.0,used,01:13:48.316110
memory,VM10-1-9-207,148074496.0,buffered,01:13:58.316697
memory,VM10-1-9-207,3745185792.0,cached,01:13:58.316697
memory,VM10-1-9-207,3857625088.0,free,01:13:58.316697
memory,VM10-1-9-207,322179072.0,slab_recl,01:13:58.316697
memory,VM10-1-9-207,34959360.0,slab_unrecl,01:13:58.316697
memory,VM10-1-9-207,267632640.0,used,01:13:58.316697
memory,VM10-1-9-207,148082688.0,buffered,01:14:08.316120
memory,VM10-1-9-207,3745193984.0,cached,01:14:08.316120
memory,VM10-1-9-207,3857858560.0,free,01:14:08.316120
memory,VM10-1-9-207,322158592.0,slab_recl,01:14:08.316120
memory,VM10-1-9-207,34869248.0,slab_unrecl,01:14:08.316120
memory,VM10-1-9-207,267493376.0,used,01:14:08.316120
memory,VM10-1-9-207,148086784.0,buffered,01:14:18.316124
memory,VM10-1-9-207,3745202176.0,cached,01:14:18.316124
memory,VM10-1-9-207,3857666048.0,free,01:14:18.316124
memory,VM10-1-9-207,322166784.0,slab_recl,01:14:18.316124
memory,VM10-1-9-207,34787328.0,slab_unrecl,01:14:18.316124
memory,VM10-1-9-207,267747328.0,used,01:14:18.316124
