instance,time,value,host,type_instance,type
0,01:45:11.850459,158400.0,VM10-1-9-207,user,cpu
1,01:45:11.850472,181985.0,VM10-1-9-207,user,cpu
2,01:45:11.850478,127633.0,VM10-1-9-207,user,cpu
3,01:45:11.850484,153120.0,VM10-1-9-207,user,cpu
0,01:45:11.850497,6329.0,VM10-1-9-207,system,cpu
1,01:45:11.850501,8266.0,VM10-1-9-207,system,cpu
2,01:45:11.850502,8049.0,VM10-1-9-207,system,cpu
3,01:45:11.850502,7408.0,VM10-1-9-207,system,cpu
0,01:45:11.850503,3499.0,VM10-1-9-207,wait,cpu
1,01:45:11.850503,4461.0,VM10-1-9-207,wait,cpu
2,01:45:11.850504,4346.0,VM10-1-9-207,wait,cpu
3,01:45:11.850504,3728.0,VM10-1-9-207,wait,cpu
0,01:45:11.850504,32.0,VM10-1-9-207,nice,cpu
1,01:45:11.850505,0.0,VM10-1-9-207,nice,cpu
2,01:45:11.850506,7516.0,VM10-1-9-207,nice,cpu
3,01:45:11.850506,0.0,VM10-1-9-207,nice,cpu
0,01:45:11.850507,0.0,VM10-1-9-207,interrupt,cpu
1,01:45:11.850507,0.0,VM10-1-9-207,interrupt,cpu
2,01:45:11.850508,0.0,VM10-1-9-207,interrupt,cpu
3,01:45:11.850509,0.0,VM10-1-9-207,interrupt,cpu
0,01:45:11.850509,256.0,VM10-1-9-207,softirq,cpu
1,01:45:11.850510,128.0,VM10-1-9-207,softirq,cpu
2,01:45:11.850511,242.0,VM10-1-9-207,softirq,cpu
3,01:45:11.850511,241.0,VM10-1-9-207,softirq,cpu
0,01:45:11.850512,74.0,VM10-1-9-207,steal,cpu
1,01:45:11.850512,79.0,VM10-1-9-207,steal,cpu
2,01:45:11.850513,244.0,VM10-1-9-207,steal,cpu
3,01:45:11.850513,184.0,VM10-1-9-207,steal,cpu
0,01:45:11.850514,6027976.0,VM10-1-9-207,idle,cpu
1,01:45:11.850514,6001151.0,VM10-1-9-207,idle,cpu
2,01:45:11.850515,6043690.0,VM10-1-9-207,idle,cpu
3,01:45:11.850515,6030119.0,VM10-1-9-207,idle,cpu
