host,time,type_instance,value,type
VM10-1-9-207,01:46:27.503543,buffered,151515136.0,memory
VM10-1-9-207,01:46:27.503543,cached,3755995136.0,memory
VM10-1-9-207,01:46:27.503543,free,3903987712.0,memory
VM10-1-9-207,01:46:27.503543,slab_recl,323792896.0,memory
VM10-1-9-207,01:46:27.503543,slab_unrecl,35893248.0,memory
VM10-1-9-207,01:46:27.503543,used,204472320.0,memory
VM10-1-9-207,01:46:37.488863,buffered,151568384.0,memory
VM10-1-9-207,01:46:37.488863,cached,3756036096.0,memory
VM10-1-9-207,01:46:37.488863,free,3820818432.0,memory
VM10-1-9-207,01:46:37.488863,slab_recl,323805184.0,memory
VM10-1-9-207,01:46:37.488863,slab_unrecl,35586048.0,memory
VM10-1-9-207,01:46:37.488863,used,287842304.0,memory
VM10-1-9-207,01:46:47.488801,buffered,151584768.0,memory
VM10-1-9-207,01:46:47.488801,cached,3756044288.0,memory
VM10-1-9-207,01:46:47.488801,free,3818020864.0,memory
VM10-1-9-207,01:46:47.488801,slab_recl,323768320.0,memory
VM10-1-9-207,01:46:47.488801,slab_unrecl,35721216.0,memory
VM10-1-9-207,01:46:47.488801,used,290516992.0,memory
VM10-1-9-207,01:46:57.491195,buffered,151592960.0,memory
VM10-1-9-207,01:46:57.491195,cached,3756048384.0,memory
VM10-1-9-207,01:46:57.491195,free,3815260160.0,memory
VM10-1-9-207,01:46:57.491195,slab_recl,323764224.0,memory
VM10-1-9-207,01:46:57.491195,slab_unrecl,35569664.0,memory
VM10-1-9-207,01:46:57.491195,used,293421056.0,memory
VM10-1-9-207,01:47:07.488779,buffered,151597056.0,memory
VM10-1-9-207,01:47:07.488779,cached,3756060672.0,memory
VM10-1-9-207,01:47:07.488779,free,3812810752.0,memory
VM10-1-9-207,01:47:07.488779,slab_recl,323756032.0,memory
VM10-1-9-207,01:47:07.488779,slab_unrecl,35762176.0,memory
VM10-1-9-207,01:47:07.488779,used,295669760.0,memory
VM10-1-9-207,01:47:17.488814,buffered,151601152.0,memory
VM10-1-9-207,01:47:17.488814,cached,3756068864.0,memory
VM10-1-9-207,01:47:17.488814,free,3810811904.0,memory
VM10-1-9-207,01:47:17.488814,slab_recl,323764224.0,memory
