instance,time,value,host,type_instance,type
3,01:39:41.003810,0.0,VM10-1-9-207,nice,cpu
0,01:39:41.003819,0.0,VM10-1-9-207,interrupt,cpu
1,01:39:41.003870,0.0,VM10-1-9-207,interrupt,cpu
2,01:39:41.003880,0.0,VM10-1-9-207,interrupt,cpu
3,01:39:41.003946,0.0,VM10-1-9-207,interrupt,cpu
0,01:39:41.003966,249.0,VM10-1-9-207,softirq,cpu
1,01:39:41.004029,128.0,VM10-1-9-207,softirq,cpu
2,01:39:41.004051,241.0,VM10-1-9-207,softirq,cpu
3,01:39:41.004073,239.0,VM10-1-9-207,softirq,cpu
0,01:39:41.004084,73.0,VM10-1-9-207,steal,cpu
1,01:39:41.004089,75.0,VM10-1-9-207,steal,cpu
2,01:39:41.004119,243.0,VM10-1-9-207,steal,cpu
3,01:39:41.004149,182.0,VM10-1-9-207,steal,cpu
0,01:39:41.004183,5995578.0,VM10-1-9-207,idle,cpu
1,01:39:41.004198,5995733.0,VM10-1-9-207,idle,cpu
2,01:39:41.004229,6010962.0,VM10-1-9-207,idle,cpu
3,01:39:41.004274,5998134.0,VM10-1-9-207,idle,cpu
0,01:39:58.595581,158164.0,VM10-1-9-207,user,cpu
1,01:39:58.595594,154591.0,VM10-1-9-207,user,cpu
2,01:39:58.595603,127418.0,VM10-1-9-207,user,cpu
3,01:39:58.595606,152096.0,VM10-1-9-207,user,cpu
0,01:39:58.595613,6304.0,VM10-1-9-207,system,cpu
1,01:39:58.595615,8157.0,VM10-1-9-207,system,cpu
2,01:39:58.595616,7986.0,VM10-1-9-207,system,cpu
3,01:39:58.595620,7374.0,VM10-1-9-207,system,cpu
0,01:39:58.595621,3494.0,VM10-1-9-207,wait,cpu
1,01:39:58.595621,4461.0,VM10-1-9-207,wait,cpu
2,01:39:58.595622,4314.0,VM10-1-9-207,wait,cpu
3,01:39:58.595707,3718.0,VM10-1-9-207,wait,cpu
0,01:39:58.595708,32.0,VM10-1-9-207,nice,cpu
1,01:39:58.595709,0.0,VM10-1-9-207,nice,cpu
2,01:39:58.595709,7516.0,VM10-1-9-207,nice,cpu
3,01:39:58.595714,0.0,VM10-1-9-207,nice,cpu
0,01:39:58.595715,0.0,VM10-1-9-207,interrupt,cpu
