host,time,type_instance,value,type
VM10-1-9-207,01:36:31.012772,buffered,150585344.0,memory
VM10-1-9-207,01:36:31.012772,cached,3755642880.0,memory
VM10-1-9-207,01:36:31.012772,free,3908087808.0,memory
VM10-1-9-207,01:36:31.012772,slab_recl,323629056.0,memory
VM10-1-9-207,01:36:31.012772,slab_unrecl,35274752.0,memory
VM10-1-9-207,01:36:31.012772,used,202436608.0,memory
VM10-1-9-207,01:36:41.002423,buffered,150667264.0,memory
VM10-1-9-207,01:36:41.002423,cached,3755630592.0,memory
VM10-1-9-207,01:36:41.002423,free,3903639552.0,memory
VM10-1-9-207,01:36:41.002423,slab_recl,323723264.0,memory
VM10-1-9-207,01:36:41.002423,slab_unrecl,35921920.0,memory
VM10-1-9-207,01:36:41.002423,used,206073856.0,memory
VM10-1-9-207,01:36:51.002546,buffered,150683648.0,memory
VM10-1-9-207,01:36:51.002546,cached,3755638784.0,memory
VM10-1-9-207,01:36:51.002546,free,3903492096.0,memory
VM10-1-9-207,01:36:51.002546,slab_recl,323719168.0,memory
VM10-1-9-207,01:36:51.002546,slab_unrecl,35688448.0,memory
VM10-1-9-207,01:36:51.002546,used,206434304.0,memory
VM10-1-9-207,01:37:01.002465,buffered,150687744.0,memory
VM10-1-9-207,01:37:01.002465,cached,3755642880.0,memory
VM10-1-9-207,01:37:01.002465,free,3903045632.0,memory
VM10-1-9-207,01:37:01.002465,slab_recl,323715072.0,memory
VM10-1-9-207,01:37:01.002465,slab_unrecl,35737600.0,memory
VM10-1-9-207,01:37:01.002465,used,206827520.0,memory
VM10-1-9-207,01:37:11.003187,buffered,150695936.0,memory
VM10-1-9-207,01:37:11.003187,cached,3755642880.0,memory
VM10-1-9-207,01:37:11.003187,free,3903143936.0,memory
VM10-1-9-207,01:37:11.003187,slab_recl,323710976.0,memory
VM10-1-9-207,01:37:11.003187,slab_unrecl,35618816.0,memory
VM10-1-9-207,01:37:11.003187,used,206843904.0,memory
VM10-1-9-207,01:37:21.002485,buffered,150708224.0,memory
VM10-1-9-207,01:37:21.002485,cached,3755663360.0,memory
VM10-1-9-207,01:37:21.002485,free,3902824448.0,memory
VM10-1-9-207,01:37:21.002485,slab_recl,323710976.0,memory
VM10-1-9-207,01:37:21.002485,slab_unrecl,35803136.0,memory
VM10-1-9-207,01:37:21.002485,used,206946304.0,memory
VM10-1-9-207,01:37:31.002683,buffered,150716416.0,memory
VM10-1-9-207,01:37:31.002683,cached,3755659264.0,memory
VM10-1-9-207,01:37:31.002683,free,3903082496.0,memory
VM10-1-9-207,01:37:31.002683,slab_recl,323702784.0,memory
VM10-1-9-207,01:37:31.002683,slab_unrecl,35569664.0,memory
VM10-1-9-207,01:37:31.002683,used,206925824.0,memory
VM10-1-9-207,01:37:41.002436,buffered,150720512.0,memory
VM10-1-9-207,01:37:41.002436,cached,3755671552.0,memory
VM10-1-9-207,01:37:41.002436,free,3903111168.0,memory
VM10-1-9-207,01:37:41.002436,slab_recl,323698688.0,memory
VM10-1-9-207,01:37:41.002436,slab_unrecl,35426304.0,memory
VM10-1-9-207,01:37:41.002436,used,207028224.0,memory
VM10-1-9-207,01:37:51.002438,buffered,150732800.0,memory
VM10-1-9-207,01:37:51.002438,cached,3755675648.0,memory
VM10-1-9-207,01:37:51.002438,free,3903045632.0,memory
VM10-1-9-207,01:37:51.002438,slab_recl,323690496.0,memory
VM10-1-9-207,01:37:51.002438,slab_unrecl,35295232.0,memory
VM10-1-9-207,01:37:51.002438,used,207216640.0,memory
VM10-1-9-207,01:38:01.002427,buffered,150745088.0,memory
VM10-1-9-207,01:38:01.002427,cached,3755679744.0,memory
VM10-1-9-207,01:38:01.002427,free,3902636032.0,memory
VM10-1-9-207,01:38:01.002427,slab_recl,323702784.0,memory
VM10-1-9-207,01:38:01.002427,slab_unrecl,35799040.0,memory
VM10-1-9-207,01:38:01.002427,used,207093760.0,memory
VM10-1-9-207,01:38:11.002447,buffered,150757376.0,memory
VM10-1-9-207,01:38:11.002447,cached,3755692032.0,memory
