instance,time,value,host,type_instance,type
0,02:11:55.118780,185462.0,VM10-1-9-207,user,cpu
1,02:11:55.118791,222753.0,VM10-1-9-207,user,cpu
2,02:11:55.118823,184764.0,VM10-1-9-207,user,cpu
3,02:11:55.118826,173653.0,VM10-1-9-207,user,cpu
0,02:11:55.118829,6602.0,VM10-1-9-207,system,cpu
1,02:11:55.118832,8494.0,VM10-1-9-207,system,cpu
2,02:11:55.118833,8338.0,VM10-1-9-207,system,cpu
3,02:11:55.118837,7681.0,VM10-1-9-207,system,cpu
0,02:11:55.118838,3596.0,VM10-1-9-207,wait,cpu
1,02:11:55.118838,4491.0,VM10-1-9-207,wait,cpu
2,02:11:55.118838,4380.0,VM10-1-9-207,wait,cpu
3,02:11:55.118839,3846.0,VM10-1-9-207,wait,cpu
0,02:11:55.118839,32.0,VM10-1-9-207,nice,cpu
1,02:11:55.118843,0.0,VM10-1-9-207,nice,cpu
2,02:11:55.118844,7516.0,VM10-1-9-207,nice,cpu
3,02:11:55.118845,0.0,VM10-1-9-207,nice,cpu
0,02:11:55.118845,0.0,VM10-1-9-207,interrupt,cpu
1,02:11:55.118845,0.0,VM10-1-9-207,interrupt,cpu
2,02:11:55.118850,0.0,VM10-1-9-207,interrupt,cpu
3,02:11:55.118850,0.0,VM10-1-9-207,interrupt,cpu
0,02:11:55.118851,268.0,VM10-1-9-207,softirq,cpu
1,02:11:55.118851,137.0,VM10-1-9-207,softirq,cpu
2,02:11:55.118852,251.0,VM10-1-9-207,softirq,cpu
3,02:11:55.118855,248.0,VM10-1-9-207,softirq,cpu
0,02:11:55.118856,79.0,VM10-1-9-207,steal,cpu
1,02:11:55.118857,89.0,VM10-1-9-207,steal,cpu
2,02:11:55.118857,255.0,VM10-1-9-207,steal,cpu
3,02:11:55.118858,197.0,VM10-1-9-207,steal,cpu
0,02:11:55.118858,6160719.0,VM10-1-9-207,idle,cpu
1,02:11:55.118872,6120320.0,VM10-1-9-207,idle,cpu
2,02:11:55.118873,6146394.0,VM10-1-9-207,idle,cpu
3,02:11:55.118874,6169335.0,VM10-1-9-207,idle,cpu
0,02:12:05.118637,186460.0,VM10-1-9-207,user,cpu
1,02:12:05.118652,222754.0,VM10-1-9-207,user,cpu
2,02:12:05.118667,184764.0,VM10-1-9-207,user,cpu
3,02:12:05.118670,173654.0,VM10-1-9-207,user,cpu
0,02:12:05.118682,6603.0,VM10-1-9-207,system,cpu
1,02:12:05.118697,8496.0,VM10-1-9-207,system,cpu
2,02:12:05.118698,8340.0,VM10-1-9-207,system,cpu
3,02:12:05.118699,7681.0,VM10-1-9-207,system,cpu
0,02:12:05.118700,3596.0,VM10-1-9-207,wait,cpu
1,02:12:05.118712,4491.0,VM10-1-9-207,wait,cpu
2,02:12:05.118713,4385.0,VM10-1-9-207,wait,cpu
3,02:12:05.118713,3846.0,VM10-1-9-207,wait,cpu
0,02:12:05.118714,32.0,VM10-1-9-207,nice,cpu
1,02:12:05.118715,0.0,VM10-1-9-207,nice,cpu
2,02:12:05.118715,7516.0,VM10-1-9-207,nice,cpu
3,02:12:05.118716,0.0,VM10-1-9-207,nice,cpu
0,02:12:05.118717,0.0,VM10-1-9-207,interrupt,cpu
1,02:12:05.118717,0.0,VM10-1-9-207,interrupt,cpu
2,02:12:05.118718,0.0,VM10-1-9-207,interrupt,cpu
3,02:12:05.118719,0.0,VM10-1-9-207,interrupt,cpu
0,02:12:05.118720,268.0,VM10-1-9-207,softirq,cpu
1,02:12:05.118720,137.0,VM10-1-9-207,softirq,cpu
2,02:12:05.118721,252.0,VM10-1-9-207,softirq,cpu
3,02:12:05.118732,248.0,VM10-1-9-207,softirq,cpu
0,02:12:05.118735,79.0,VM10-1-9-207,steal,cpu
1,02:12:05.118736,89.0,VM10-1-9-207,steal,cpu
2,02:12:05.118737,255.0,VM10-1-9-207,steal,cpu
3,02:12:05.118737,197.0,VM10-1-9-207,steal,cpu
0,02:12:05.118738,6160720.0,VM10-1-9-207,idle,cpu
1,02:12:05.118738,6121316.0,VM10-1-9-207,idle,cpu
2,02:12:05.118739,6147385.0,VM10-1-9-207,idle,cpu
3,02:12:05.118740,6170332.0,VM10-1-9-207,idle,cpu
0,02:12:15.118739,186461.0,VM10-1-9-207,user,cpu
1,02:12:15.118758,223753.0,VM10-1-9-207,user,cpu
2,02:12:15.118762,184764.0,VM10-1-9-207,user,cpu
3,02:12:15.118767,173654.0,VM10-1-9-207,user,cpu
0,02:12:15.118771,6603.0,VM10-1-9-207,system,cpu
1,02:12:15.118774,8496.0,VM10-1-9-207,system,cpu
2,02:12:15.118776,8341.0,VM10-1-9-207,system,cpu
3,02:12:15.118776,7682.0,VM10-1-9-207,system,cpu
0,02:12:15.118777,3596.0,VM10-1-9-207,wait,cpu
1,02:12:15.118777,4491.0,VM10-1-9-207,wait,cpu
