host,time,type_instance,value,type
VM10-1-9-207,02:10:35.433633,buffered,154214400.0,memory
VM10-1-9-207,02:10:35.433633,cached,3768811520.0,memory
VM10-1-9-207,02:10:35.433633,free,3879153664.0,memory
VM10-1-9-207,02:10:35.433633,slab_recl,326283264.0,memory
VM10-1-9-207,02:10:35.433633,slab_unrecl,37998592.0,memory
VM10-1-9-207,02:10:35.433633,used,209195008.0,memory
VM10-1-9-207,02:10:45.415383,buffered,154365952.0,memory
VM10-1-9-207,02:10:45.415383,cached,3769024512.0,memory
VM10-1-9-207,02:10:45.415383,free,3798990848.0,memory
VM10-1-9-207,02:10:45.415383,slab_recl,326742016.0,memory
VM10-1-9-207,02:10:45.415383,slab_unrecl,38551552.0,memory
VM10-1-9-207,02:10:45.415383,used,287981568.0,memory
VM10-1-9-207,02:10:55.415470,buffered,154398720.0,memory
VM10-1-9-207,02:10:55.415470,cached,3770683392.0,memory
VM10-1-9-207,02:10:55.415470,free,3792121856.0,memory
VM10-1-9-207,02:10:55.415470,slab_recl,326610944.0,memory
VM10-1-9-207,02:10:55.415470,slab_unrecl,37961728.0,memory
VM10-1-9-207,02:10:55.415470,used,293879808.0,memory
VM10-1-9-207,02:11:05.415316,buffered,154406912.0,memory
VM10-1-9-207,02:11:05.415316,cached,3770691584.0,memory
VM10-1-9-207,02:11:05.415316,free,3788759040.0,memory
VM10-1-9-207,02:11:05.415316,slab_recl,326504448.0,memory
VM10-1-9-207,02:11:05.415316,slab_unrecl,37253120.0,memory
VM10-1-9-207,02:11:05.415316,used,298041344.0,memory
VM10-1-9-207,02:11:15.415304,buffered,154411008.0,memory
VM10-1-9-207,02:11:15.415304,cached,3770695680.0,memory
VM10-1-9-207,02:11:15.415304,free,3786477568.0,memory
VM10-1-9-207,02:11:15.415304,slab_recl,326492160.0,memory
VM10-1-9-207,02:11:15.415304,slab_unrecl,37511168.0,memory
VM10-1-9-207,02:11:15.415304,used,300068864.0,memory
VM10-1-9-207,02:11:25.415394,buffered,154419200.0,memory
VM10-1-9-207,02:11:25.415394,cached,3770707968.0,memory
VM10-1-9-207,02:11:25.415394,free,3782348800.0,memory
VM10-1-9-207,02:11:25.415394,slab_recl,326475776.0,memory
VM10-1-9-207,02:11:25.415394,slab_unrecl,37560320.0,memory
VM10-1-9-207,02:11:25.415394,used,304144384.0,memory
