instance,time,value,host,type_instance,type
0,01:55:55.408547,171851.0,VM10-1-9-207,user,cpu
1,01:55:55.408579,194819.0,VM10-1-9-207,user,cpu
2,01:55:55.408584,142691.0,VM10-1-9-207,user,cpu
3,01:55:55.409244,168850.0,VM10-1-9-207,user,cpu
0,01:55:55.409392,6429.0,VM10-1-9-207,system,cpu
1,01:55:55.409407,8355.0,VM10-1-9-207,system,cpu
2,01:55:55.409408,8149.0,VM10-1-9-207,system,cpu
3,01:55:55.409409,7488.0,VM10-1-9-207,system,cpu
0,01:55:55.409409,3520.0,VM10-1-9-207,wait,cpu
1,01:55:55.409410,4480.0,VM10-1-9-207,wait,cpu
2,01:55:55.409410,4364.0,VM10-1-9-207,wait,cpu
3,01:55:55.409896,3782.0,VM10-1-9-207,wait,cpu
0,01:55:55.409898,32.0,VM10-1-9-207,nice,cpu
1,01:55:55.409898,0.0,VM10-1-9-207,nice,cpu
2,01:55:55.409899,7516.0,VM10-1-9-207,nice,cpu
3,01:55:55.409899,0.0,VM10-1-9-207,nice,cpu
0,01:55:55.409900,0.0,VM10-1-9-207,interrupt,cpu
1,01:55:55.409900,0.0,VM10-1-9-207,interrupt,cpu
2,01:55:55.409901,0.0,VM10-1-9-207,interrupt,cpu
3,01:55:55.410121,0.0,VM10-1-9-207,interrupt,cpu
0,01:55:55.410123,264.0,VM10-1-9-207,softirq,cpu
1,01:55:55.410124,131.0,VM10-1-9-207,softirq,cpu
2,01:55:55.410124,246.0,VM10-1-9-207,softirq,cpu
3,01:55:55.410125,243.0,VM10-1-9-207,softirq,cpu
0,01:55:55.410125,76.0,VM10-1-9-207,steal,cpu
1,01:55:55.410420,82.0,VM10-1-9-207,steal,cpu
2,01:55:55.410422,248.0,VM10-1-9-207,steal,cpu
3,01:55:55.410423,190.0,VM10-1-9-207,steal,cpu
0,01:55:55.410423,6078714.0,VM10-1-9-207,idle,cpu
1,01:55:55.410424,6052497.0,VM10-1-9-207,idle,cpu
2,01:55:55.410424,6092791.0,VM10-1-9-207,idle,cpu
3,01:55:55.410425,6078550.0,VM10-1-9-207,idle,cpu
0,01:56:05.408590,171852.0,VM10-1-9-207,user,cpu
1,01:56:05.408598,195279.0,VM10-1-9-207,user,cpu
2,01:56:05.408607,143230.0,VM10-1-9-207,user,cpu
3,01:56:05.408611,168851.0,VM10-1-9-207,user,cpu
0,01:56:05.408616,6430.0,VM10-1-9-207,system,cpu
1,01:56:05.408620,8355.0,VM10-1-9-207,system,cpu
