host,time,type_instance,value,type
VM10-1-9-207,01:54:46.652919,buffered,152182784.0,memory
VM10-1-9-207,01:54:46.652919,cached,3758354432.0,memory
VM10-1-9-207,01:54:46.652919,free,3896619008.0,memory
VM10-1-9-207,01:54:46.652919,slab_recl,324313088.0,memory
VM10-1-9-207,01:54:46.652919,slab_unrecl,37408768.0,memory
VM10-1-9-207,01:54:46.652919,used,206778368.0,memory
VM10-1-9-207,01:54:56.642063,buffered,152354816.0,memory
VM10-1-9-207,01:54:56.642063,cached,3758796800.0,memory
VM10-1-9-207,01:54:56.642063,free,3861790720.0,memory
VM10-1-9-207,01:54:56.642063,slab_recl,324640768.0,memory
VM10-1-9-207,01:54:56.642063,slab_unrecl,37810176.0,memory
VM10-1-9-207,01:54:56.642063,used,240263168.0,memory
VM10-1-9-207,01:55:06.643330,buffered,152391680.0,memory
VM10-1-9-207,01:55:06.643330,cached,3760455680.0,memory
VM10-1-9-207,01:55:06.643330,free,3860545536.0,memory
VM10-1-9-207,01:55:06.643330,slab_recl,324620288.0,memory
VM10-1-9-207,01:55:06.643330,slab_unrecl,37011456.0,memory
VM10-1-9-207,01:55:06.643330,used,240631808.0,memory
VM10-1-9-207,01:55:16.641982,buffered,152395776.0,memory
VM10-1-9-207,01:55:16.641982,cached,3760459776.0,memory
VM10-1-9-207,01:55:16.641982,free,3860779008.0,memory
VM10-1-9-207,01:55:16.641982,slab_recl,324591616.0,memory
VM10-1-9-207,01:55:16.641982,slab_unrecl,36720640.0,memory
VM10-1-9-207,01:55:16.641982,used,240709632.0,memory
VM10-1-9-207,01:55:26.642088,buffered,152403968.0,memory
VM10-1-9-207,01:55:26.642088,cached,3760467968.0,memory
VM10-1-9-207,01:55:26.642088,free,3860680704.0,memory
VM10-1-9-207,01:55:26.642088,slab_recl,324595712.0,memory
VM10-1-9-207,01:55:26.642088,slab_unrecl,36524032.0,memory
VM10-1-9-207,01:55:26.642088,used,240984064.0,memory
VM10-1-9-207,01:55:36.642379,buffered,152408064.0,memory
VM10-1-9-207,01:55:36.642379,cached,3760480256.0,memory
VM10-1-9-207,01:55:36.642379,free,3860746240.0,memory
VM10-1-9-207,01:55:36.642379,slab_recl,324599808.0,memory
VM10-1-9-207,01:55:36.642379,slab_unrecl,36401152.0,memory
VM10-1-9-207,01:55:36.642379,used,241020928.0,memory
