instance,value,host,time,type,type_instance
3,0.0,VM10-1-9-207,02:31:25.221626,cpu,interrupt
0,199314.0,VM10-1-9-207,02:31:40.944815,cpu,user
1,244234.0,VM10-1-9-207,02:31:40.944833,cpu,user
2,197886.0,VM10-1-9-207,02:31:40.944854,cpu,user
3,229642.0,VM10-1-9-207,02:31:40.944945,cpu,user
0,6786.0,VM10-1-9-207,02:31:40.944958,cpu,system
1,8660.0,VM10-1-9-207,02:31:40.945158,cpu,system
2,8593.0,VM10-1-9-207,02:31:40.945159,cpu,system
3,7877.0,VM10-1-9-207,02:31:40.945160,cpu,system
0,3702.0,VM10-1-9-207,02:31:40.945161,cpu,wait
1,4505.0,VM10-1-9-207,02:31:40.945162,cpu,wait
2,4467.0,VM10-1-9-207,02:31:40.945163,cpu,wait
3,3866.0,VM10-1-9-207,02:31:40.945163,cpu,wait
0,32.0,VM10-1-9-207,02:31:40.945164,cpu,nice
1,0.0,VM10-1-9-207,02:31:40.945165,cpu,nice
2,7516.0,VM10-1-9-207,02:31:40.945166,cpu,nice
3,0.0,VM10-1-9-207,02:31:40.945166,cpu,nice
0,0.0,VM10-1-9-207,02:31:40.945167,cpu,interrupt
1,0.0,VM10-1-9-207,02:31:40.946299,cpu,interrupt
2,0.0,VM10-1-9-207,02:31:40.946678,cpu,interrupt
3,0.0,VM10-1-9-207,02:31:40.946695,cpu,interrupt
0,276.0,VM10-1-9-207,02:31:40.946704,cpu,softirq
1,140.0,VM10-1-9-207,02:31:40.946806,cpu,softirq
2,254.0,VM10-1-9-207,02:31:40.946848,cpu,softirq
3,264.0,VM10-1-9-207,02:31:40.946888,cpu,softirq
0,82.0,VM10-1-9-207,02:31:40.946917,cpu,steal
1,94.0,VM10-1-9-207,02:31:40.946958,cpu,steal
2,260.0,VM10-1-9-207,02:31:40.947016,cpu,steal
3,210.0,VM10-1-9-207,02:31:40.947076,cpu,steal
0,6265095.0,VM10-1-9-207,02:31:40.947118,cpu,idle
1,6217151.0,VM10-1-9-207,02:31:40.947160,cpu,idle
2,6251333.0,VM10-1-9-207,02:31:40.947191,cpu,idle
3,6231617.0,VM10-1-9-207,02:31:40.947252,cpu,idle
0,200312.0,VM10-1-9-207,02:31:50.944799,cpu,user
1,244234.0,VM10-1-9-207,02:31:50.944865,cpu,user
2,197886.0,VM10-1-9-207,02:31:50.945172,cpu,user
3,229642.0,VM10-1-9-207,02:31:50.945173,cpu,user
0,6787.0,VM10-1-9-207,02:31:50.945174,cpu,system
1,8661.0,VM10-1-9-207,02:31:50.945174,cpu,system
2,8594.0,VM10-1-9-207,02:31:50.945175,cpu,system
3,7877.0,VM10-1-9-207,02:31:50.945175,cpu,system
0,3702.0,VM10-1-9-207,02:31:50.945176,cpu,wait
1,4508.0,VM10-1-9-207,02:31:50.945176,cpu,wait
2,4467.0,VM10-1-9-207,02:31:50.945177,cpu,wait
3,3866.0,VM10-1-9-207,02:31:50.945178,cpu,wait
0,32.0,VM10-1-9-207,02:31:50.945178,cpu,nice
1,0.0,VM10-1-9-207,02:31:50.945179,cpu,nice
2,7516.0,VM10-1-9-207,02:31:50.945179,cpu,nice
3,0.0,VM10-1-9-207,02:31:50.945180,cpu,nice
0,0.0,VM10-1-9-207,02:31:50.945181,cpu,interrupt
