host,time,type,value,type_instance
VM10-1-9-207,02:32:40.945822,memory,3775500288.0,cached
VM10-1-9-207,02:32:40.945822,memory,3862908928.0,free
VM10-1-9-207,02:32:40.945822,memory,326893568.0,slab_recl
VM10-1-9-207,02:32:44.575804,memory,157016064.0,buffered
VM10-1-9-207,02:32:44.575804,memory,3775508480.0,cached
VM10-1-9-207,02:32:44.575804,memory,3862708224.0,free
VM10-1-9-207,02:32:44.575804,memory,326881280.0,slab_recl
VM10-1-9-207,02:32:44.575804,memory,37220352.0,slab_unrecl
VM10-1-9-207,02:32:44.575804,memory,216322048.0,used
VM10-1-9-207,02:32:54.567652,memory,157048832.0,buffered
VM10-1-9-207,02:32:54.567652,memory,3775500288.0,cached
VM10-1-9-207,02:32:54.567652,memory,3779448832.0,free
VM10-1-9-207,02:32:54.567652,memory,326922240.0,slab_recl
VM10-1-9-207,02:32:54.567652,memory,37691392.0,slab_unrecl
VM10-1-9-207,02:32:54.567652,memory,299044864.0,used
VM10-1-9-207,02:33:04.565519,memory,157065216.0,buffered
VM10-1-9-207,02:33:04.565519,memory,3775508480.0,cached
VM10-1-9-207,02:33:04.565519,memory,3777183744.0,free
VM10-1-9-207,02:33:04.565519,memory,326877184.0,slab_recl
VM10-1-9-207,02:33:04.565519,memory,37437440.0,slab_unrecl
VM10-1-9-207,02:33:04.565519,memory,301584384.0,used
VM10-1-9-207,02:33:14.565421,memory,157073408.0,buffered
VM10-1-9-207,02:33:14.565421,memory,3775512576.0,cached
VM10-1-9-207,02:33:14.565421,memory,3775184896.0,free
VM10-1-9-207,02:33:14.565421,memory,326873088.0,slab_recl
VM10-1-9-207,02:33:14.565421,memory,37232640.0,slab_unrecl
VM10-1-9-207,02:33:14.565421,memory,303779840.0,used
VM10-1-9-207,02:33:24.569289,memory,157077504.0,buffered
VM10-1-9-207,02:33:24.569289,memory,3775520768.0,cached
VM10-1-9-207,02:33:24.569289,memory,3772989440.0,free
VM10-1-9-207,02:33:24.569289,memory,326852608.0,slab_recl
VM10-1-9-207,02:33:24.569289,memory,37003264.0,slab_unrecl
VM10-1-9-207,02:33:24.569289,memory,306212864.0,used
VM10-1-9-207,02:33:34.565420,memory,157085696.0,buffered
VM10-1-9-207,02:33:34.565420,memory,3775533056.0,cached
VM10-1-9-207,02:33:34.565420,memory,3770769408.0,free
VM10-1-9-207,02:33:34.565420,memory,326856704.0,slab_recl
VM10-1-9-207,02:33:34.565420,memory,37433344.0,slab_unrecl
VM10-1-9-207,02:33:34.565420,memory,307978240.0,used
VM10-1-9-207,02:33:44.565615,memory,157097984.0,buffered
VM10-1-9-207,02:33:44.565615,memory,3775541248.0,cached
VM10-1-9-207,02:33:44.565615,memory,3768639488.0,free
VM10-1-9-207,02:33:44.565615,memory,326848512.0,slab_recl
VM10-1-9-207,02:33:44.565615,memory,37265408.0,slab_unrecl
VM10-1-9-207,02:33:44.565615,memory,310263808.0,used
VM10-1-9-207,02:33:54.565490,memory,157106176.0,buffered
VM10-1-9-207,02:33:54.565490,memory,3775545344.0,cached
VM10-1-9-207,02:33:54.565490,memory,3766697984.0,free
VM10-1-9-207,02:33:54.565490,memory,326844416.0,slab_recl
VM10-1-9-207,02:33:54.565490,memory,37031936.0,slab_unrecl
VM10-1-9-207,02:33:54.565490,memory,312430592.0,used
VM10-1-9-207,02:34:04.565406,memory,157106176.0,buffered
VM10-1-9-207,02:34:04.565406,memory,3775553536.0,cached
VM10-1-9-207,02:34:04.565406,memory,3764633600.0,free
VM10-1-9-207,02:34:04.565406,memory,326848512.0,slab_recl
VM10-1-9-207,02:34:04.565406,memory,36990976.0,slab_unrecl
VM10-1-9-207,02:34:04.565406,memory,314523648.0,used
VM10-1-9-207,02:34:14.565351,memory,157122560.0,buffered
VM10-1-9-207,02:34:14.565351,memory,3775561728.0,cached
VM10-1-9-207,02:34:14.565351,memory,3762216960.0,free
VM10-1-9-207,02:34:14.565351,memory,326848512.0,slab_recl
VM10-1-9-207,02:34:14.565351,memory,37425152.0,slab_unrecl
VM10-1-9-207,02:34:14.565351,memory,316481536.0,used
VM10-1-9-207,02:34:24.565398,memory,157126656.0,buffered
VM10-1-9-207,02:34:24.565398,memory,3775569920.0,cached
VM10-1-9-207,02:34:24.565398,memory,3760345088.0,free
VM10-1-9-207,02:34:24.565398,memory,326852608.0,slab_recl
VM10-1-9-207,02:34:24.565398,memory,37330944.0,slab_unrecl
VM10-1-9-207,02:34:24.565398,memory,318431232.0,used
VM10-1-9-207,02:34:34.565397,memory,157134848.0,buffered
VM10-1-9-207,02:34:34.565397,memory,3775578112.0,cached
VM10-1-9-207,02:34:34.565397,memory,3757895680.0,free
VM10-1-9-207,02:34:34.565397,memory,326856704.0,slab_recl
VM10-1-9-207,02:34:34.565397,memory,37462016.0,slab_unrecl
VM10-1-9-207,02:34:34.565397,memory,320729088.0,used
VM10-1-9-207,02:34:44.565671,memory,157138944.0,buffered
VM10-1-9-207,02:34:44.565671,memory,3775586304.0,cached
VM10-1-9-207,02:34:44.565671,memory,3756150784.0,free
VM10-1-9-207,02:34:44.565671,memory,326860800.0,slab_recl
VM10-1-9-207,02:34:44.565671,memory,37302272.0,slab_unrecl
VM10-1-9-207,02:34:44.565671,memory,322617344.0,used
VM10-1-9-207,02:34:54.565790,memory,157155328.0,buffered
VM10-1-9-207,02:34:54.565790,memory,3775590400.0,cached
VM10-1-9-207,02:34:54.565790,memory,3754115072.0,free
VM10-1-9-207,02:34:54.565790,memory,326844416.0,slab_recl
VM10-1-9-207,02:34:54.565790,memory,37068800.0,slab_unrecl
VM10-1-9-207,02:34:54.565790,memory,324882432.0,used
VM10-1-9-207,02:35:04.565470,memory,157163520.0,buffered
VM10-1-9-207,02:35:04.565470,memory,3775598592.0,cached
VM10-1-9-207,02:35:04.565470,memory,3752148992.0,free
VM10-1-9-207,02:35:04.565470,memory,326848512.0,slab_recl
VM10-1-9-207,02:35:04.565470,memory,36982784.0,slab_unrecl
VM10-1-9-207,02:35:04.565470,memory,326914048.0,used
VM10-1-9-207,02:35:14.565398,memory,157171712.0,buffered
VM10-1-9-207,02:35:14.565398,memory,3775610880.0,cached
VM10-1-9-207,02:35:14.565398,memory,3749953536.0,free
VM10-1-9-207,02:35:14.565398,memory,326852608.0,slab_recl
VM10-1-9-207,02:35:14.565398,memory,37306368.0,slab_unrecl
VM10-1-9-207,02:35:14.565398,memory,328761344.0,used
VM10-1-9-207,02:35:24.565403,memory,157175808.0,buffered
VM10-1-9-207,02:35:24.565403,memory,3775619072.0,cached
VM10-1-9-207,02:35:24.565403,memory,3862847488.0,free
VM10-1-9-207,02:35:24.565403,memory,326856704.0,slab_recl
VM10-1-9-207,02:35:24.565403,memory,37183488.0,slab_unrecl
VM10-1-9-207,02:35:24.565403,memory,215973888.0,used
