instance,value,host,time,type,type_instance
0,198465.0,VM10-1-9-207,02:26:07.347208,cpu,user
1,241673.0,VM10-1-9-207,02:26:07.347234,cpu,user
2,195723.0,VM10-1-9-207,02:26:07.347244,cpu,user
3,205305.0,VM10-1-9-207,02:26:07.347253,cpu,user
0,6703.0,VM10-1-9-207,02:26:07.347276,cpu,system
1,8580.0,VM10-1-9-207,02:26:07.347279,cpu,system
2,8501.0,VM10-1-9-207,02:26:07.347280,cpu,system
3,7776.0,VM10-1-9-207,02:26:07.347284,cpu,system
0,3624.0,VM10-1-9-207,02:26:07.347285,cpu,wait
1,4496.0,VM10-1-9-207,02:26:07.347285,cpu,wait
2,4450.0,VM10-1-9-207,02:26:07.347286,cpu,wait
3,3866.0,VM10-1-9-207,02:26:07.347286,cpu,wait
0,32.0,VM10-1-9-207,02:26:07.347286,cpu,nice
1,0.0,VM10-1-9-207,02:26:07.347296,cpu,nice
2,7516.0,VM10-1-9-207,02:26:07.347297,cpu,nice
3,0.0,VM10-1-9-207,02:26:07.347297,cpu,nice
0,0.0,VM10-1-9-207,02:26:07.347298,cpu,interrupt
1,0.0,VM10-1-9-207,02:26:07.347299,cpu,interrupt
2,0.0,VM10-1-9-207,02:26:07.347303,cpu,interrupt
3,0.0,VM10-1-9-207,02:26:07.347304,cpu,interrupt
0,276.0,VM10-1-9-207,02:26:07.347304,cpu,softirq
1,140.0,VM10-1-9-207,02:26:07.347304,cpu,softirq
2,253.0,VM10-1-9-207,02:26:07.347305,cpu,softirq
3,260.0,VM10-1-9-207,02:26:07.347309,cpu,softirq
0,82.0,VM10-1-9-207,02:26:07.347310,cpu,steal
1,93.0,VM10-1-9-207,02:26:07.347310,cpu,steal
2,259.0,VM10-1-9-207,02:26:07.347310,cpu,steal
3,206.0,VM10-1-9-207,02:26:07.347311,cpu,steal
0,6232762.0,VM10-1-9-207,02:26:07.347311,cpu,idle
1,6186474.0,VM10-1-9-207,02:26:07.347318,cpu,idle
2,6220293.0,VM10-1-9-207,02:26:07.347319,cpu,idle
3,6222710.0,VM10-1-9-207,02:26:07.347320,cpu,idle
0,198465.0,VM10-1-9-207,02:26:17.347211,cpu,user
1,242672.0,VM10-1-9-207,02:26:17.347225,cpu,user
2,195724.0,VM10-1-9-207,02:26:17.347232,cpu,user
3,205306.0,VM10-1-9-207,02:26:17.347236,cpu,user
0,6705.0,VM10-1-9-207,02:26:17.347239,cpu,system
1,8581.0,VM10-1-9-207,02:26:17.347247,cpu,system
2,8502.0,VM10-1-9-207,02:26:17.347247,cpu,system
3,7777.0,VM10-1-9-207,02:26:17.347248,cpu,system
0,3625.0,VM10-1-9-207,02:26:17.347249,cpu,wait
1,4496.0,VM10-1-9-207,02:26:17.347250,cpu,wait
2,4450.0,VM10-1-9-207,02:26:17.347250,cpu,wait
3,3866.0,VM10-1-9-207,02:26:17.347251,cpu,wait
0,32.0,VM10-1-9-207,02:26:17.347251,cpu,nice
1,0.0,VM10-1-9-207,02:26:17.347252,cpu,nice
2,7516.0,VM10-1-9-207,02:26:17.347253,cpu,nice
3,0.0,VM10-1-9-207,02:26:17.347253,cpu,nice
0,0.0,VM10-1-9-207,02:26:17.347254,cpu,interrupt
1,0.0,VM10-1-9-207,02:26:17.347255,cpu,interrupt
2,0.0,VM10-1-9-207,02:26:17.347255,cpu,interrupt
3,0.0,VM10-1-9-207,02:26:17.347256,cpu,interrupt
0,276.0,VM10-1-9-207,02:26:17.347257,cpu,softirq
1,140.0,VM10-1-9-207,02:26:17.347258,cpu,softirq
2,253.0,VM10-1-9-207,02:26:17.347259,cpu,softirq
3,260.0,VM10-1-9-207,02:26:17.347259,cpu,softirq
0,82.0,VM10-1-9-207,02:26:17.347260,cpu,steal
1,93.0,VM10-1-9-207,02:26:17.347302,cpu,steal
2,259.0,VM10-1-9-207,02:26:17.347304,cpu,steal
3,206.0,VM10-1-9-207,02:26:17.347305,cpu,steal
0,6233758.0,VM10-1-9-207,02:26:17.347306,cpu,idle
1,6186474.0,VM10-1-9-207,02:26:17.347306,cpu,idle
2,6221290.0,VM10-1-9-207,02:26:17.347307,cpu,idle
3,6223706.0,VM10-1-9-207,02:26:17.347307,cpu,idle
0,198466.0,VM10-1-9-207,02:26:27.347225,cpu,user
1,243671.0,VM10-1-9-207,02:26:27.347243,cpu,user
2,195724.0,VM10-1-9-207,02:26:27.347405,cpu,user
3,205307.0,VM10-1-9-207,02:26:27.347418,cpu,user
0,6706.0,VM10-1-9-207,02:26:27.347443,cpu,system
1,8582.0,VM10-1-9-207,02:26:27.347455,cpu,system
2,8502.0,VM10-1-9-207,02:26:27.347494,cpu,system
3,7778.0,VM10-1-9-207,02:26:27.347496,cpu,system
0,3626.0,VM10-1-9-207,02:26:27.347497,cpu,wait
1,4496.0,VM10-1-9-207,02:26:27.347520,cpu,wait
2,4450.0,VM10-1-9-207,02:26:27.347522,cpu,wait
3,3866.0,VM10-1-9-207,02:26:27.347529,cpu,wait
0,32.0,VM10-1-9-207,02:26:27.347531,cpu,nice
1,0.0,VM10-1-9-207,02:26:27.347532,cpu,nice
2,7516.0,VM10-1-9-207,02:26:27.347533,cpu,nice
3,0.0,VM10-1-9-207,02:26:27.347533,cpu,nice
0,0.0,VM10-1-9-207,02:26:27.347594,cpu,interrupt
1,0.0,VM10-1-9-207,02:26:27.347596,cpu,interrupt
2,0.0,VM10-1-9-207,02:26:27.347597,cpu,interrupt
3,0.0,VM10-1-9-207,02:26:27.347598,cpu,interrupt
0,276.0,VM10-1-9-207,02:26:27.347599,cpu,softirq
1,140.0,VM10-1-9-207,02:26:27.347611,cpu,softirq
2,253.0,VM10-1-9-207,02:26:27.347613,cpu,softirq
3,260.0,VM10-1-9-207,02:26:27.347614,cpu,softirq
0,82.0,VM10-1-9-207,02:26:27.347615,cpu,steal
1,93.0,VM10-1-9-207,02:26:27.347615,cpu,steal
2,259.0,VM10-1-9-207,02:26:27.347616,cpu,steal
3,206.0,VM10-1-9-207,02:26:27.347624,cpu,steal
0,6234755.0,VM10-1-9-207,02:26:27.349461,cpu,idle
1,6186474.0,VM10-1-9-207,02:26:27.349482,cpu,idle
2,6222289.0,VM10-1-9-207,02:26:27.349511,cpu,idle
3,6224703.0,VM10-1-9-207,02:26:27.349533,cpu,idle
0,198501.0,VM10-1-9-207,02:26:37.347077,cpu,user
1,243691.0,VM10-1-9-207,02:26:37.347101,cpu,user
2,195832.0,VM10-1-9-207,02:26:37.347174,cpu,user
3,206305.0,VM10-1-9-207,02:26:37.347209,cpu,user
0,6739.0,VM10-1-9-207,02:26:37.347218,cpu,system
1,8596.0,VM10-1-9-207,02:26:37.347225,cpu,system
2,8543.0,VM10-1-9-207,02:26:37.347231,cpu,system
3,7779.0,VM10-1-9-207,02:26:37.373545,cpu,system
0,3628.0,VM10-1-9-207,02:26:37.373872,cpu,wait
1,4496.0,VM10-1-9-207,02:26:37.374022,cpu,wait
2,4450.0,VM10-1-9-207,02:26:37.374038,cpu,wait
3,3866.0,VM10-1-9-207,02:26:37.374045,cpu,wait
0,32.0,VM10-1-9-207,02:26:37.374061,cpu,nice
1,0.0,VM10-1-9-207,02:26:37.374062,cpu,nice
2,7516.0,VM10-1-9-207,02:26:37.374063,cpu,nice
3,0.0,VM10-1-9-207,02:26:37.374064,cpu,nice
0,0.0,VM10-1-9-207,02:26:37.374066,cpu,interrupt
1,0.0,VM10-1-9-207,02:26:37.374067,cpu,interrupt
2,0.0,VM10-1-9-207,02:26:37.374068,cpu,interrupt
3,0.0,VM10-1-9-207,02:26:37.374069,cpu,interrupt
0,276.0,VM10-1-9-207,02:26:37.374071,cpu,softirq
1,140.0,VM10-1-9-207,02:26:37.374072,cpu,softirq
2,253.0,VM10-1-9-207,02:26:37.374073,cpu,softirq
3,261.0,VM10-1-9-207,02:26:37.374073,cpu,softirq
0,82.0,VM10-1-9-207,02:26:37.374074,cpu,steal
1,94.0,VM10-1-9-207,02:26:37.374076,cpu,steal
2,259.0,VM10-1-9-207,02:26:37.374077,cpu,steal
3,206.0,VM10-1-9-207,02:26:37.374078,cpu,steal
0,6235687.0,VM10-1-9-207,02:26:37.374079,cpu,idle
1,6187438.0,VM10-1-9-207,02:26:37.374080,cpu,idle
2,6223136.0,VM10-1-9-207,02:26:37.374081,cpu,idle
3,6224703.0,VM10-1-9-207,02:26:37.374086,cpu,idle
0,198518.0,VM10-1-9-207,02:26:47.347211,cpu,user
1,243715.0,VM10-1-9-207,02:26:47.347316,cpu,user
2,195836.0,VM10-1-9-207,02:26:47.347330,cpu,user
3,207304.0,VM10-1-9-207,02:26:47.347349,cpu,user
0,6752.0,VM10-1-9-207,02:26:47.347361,cpu,system
1,8617.0,VM10-1-9-207,02:26:47.347369,cpu,system
2,8548.0,VM10-1-9-207,02:26:47.347398,cpu,system
3,7780.0,VM10-1-9-207,02:26:47.347400,cpu,system
0,3674.0,VM10-1-9-207,02:26:47.347402,cpu,wait
1,4496.0,VM10-1-9-207,02:26:47.347403,cpu,wait
2,4450.0,VM10-1-9-207,02:26:47.347404,cpu,wait
3,3866.0,VM10-1-9-207,02:26:47.347406,cpu,wait
0,32.0,VM10-1-9-207,02:26:47.347407,cpu,nice
1,0.0,VM10-1-9-207,02:26:47.347408,cpu,nice
2,7516.0,VM10-1-9-207,02:26:47.347409,cpu,nice
3,0.0,VM10-1-9-207,02:26:47.347410,cpu,nice
0,0.0,VM10-1-9-207,02:26:47.347412,cpu,interrupt
1,0.0,VM10-1-9-207,02:26:47.347413,cpu,interrupt
2,0.0,VM10-1-9-207,02:26:47.347415,cpu,interrupt
3,0.0,VM10-1-9-207,02:26:47.347416,cpu,interrupt
0,276.0,VM10-1-9-207,02:26:47.347417,cpu,softirq
1,140.0,VM10-1-9-207,02:26:47.347418,cpu,softirq
2,253.0,VM10-1-9-207,02:26:47.347420,cpu,softirq
3,261.0,VM10-1-9-207,02:26:47.347421,cpu,softirq
0,82.0,VM10-1-9-207,02:26:47.347422,cpu,steal
1,94.0,VM10-1-9-207,02:26:47.347423,cpu,steal
2,259.0,VM10-1-9-207,02:26:47.347424,cpu,steal
3,206.0,VM10-1-9-207,02:26:47.347425,cpu,steal
0,6236610.0,VM10-1-9-207,02:26:47.347427,cpu,idle
1,6188393.0,VM10-1-9-207,02:26:47.347428,cpu,idle
2,6224124.0,VM10-1-9-207,02:26:47.347433,cpu,idle
3,6224703.0,VM10-1-9-207,02:26:47.347434,cpu,idle
0,198518.0,VM10-1-9-207,02:26:57.347136,cpu,user
1,243716.0,VM10-1-9-207,02:26:57.347271,cpu,user
2,195837.0,VM10-1-9-207,02:26:57.347286,cpu,user
3,208302.0,VM10-1-9-207,02:26:57.347290,cpu,user
0,6753.0,VM10-1-9-207,02:26:57.347294,cpu,system
1,8618.0,VM10-1-9-207,02:26:57.347297,cpu,system
2,8549.0,VM10-1-9-207,02:26:57.347399,cpu,system
3,7782.0,VM10-1-9-207,02:26:57.347456,cpu,system
0,3674.0,VM10-1-9-207,02:26:57.347462,cpu,wait
1,4496.0,VM10-1-9-207,02:26:57.347472,cpu,wait
2,4450.0,VM10-1-9-207,02:26:57.347528,cpu,wait
3,3866.0,VM10-1-9-207,02:26:57.347538,cpu,wait
0,32.0,VM10-1-9-207,02:26:57.347552,cpu,nice
1,0.0,VM10-1-9-207,02:26:57.347570,cpu,nice
2,7516.0,VM10-1-9-207,02:26:57.347576,cpu,nice
3,0.0,VM10-1-9-207,02:26:57.350930,cpu,nice
0,0.0,VM10-1-9-207,02:26:57.350934,cpu,interrupt
1,0.0,VM10-1-9-207,02:26:57.350954,cpu,interrupt
2,0.0,VM10-1-9-207,02:26:57.350960,cpu,interrupt
3,0.0,VM10-1-9-207,02:26:57.350965,cpu,interrupt
0,276.0,VM10-1-9-207,02:26:57.351031,cpu,softirq
1,140.0,VM10-1-9-207,02:26:57.351041,cpu,softirq
2,253.0,VM10-1-9-207,02:26:57.351084,cpu,softirq
3,261.0,VM10-1-9-207,02:26:57.351095,cpu,softirq
0,82.0,VM10-1-9-207,02:26:57.351105,cpu,steal
1,94.0,VM10-1-9-207,02:26:57.351106,cpu,steal
2,259.0,VM10-1-9-207,02:26:57.351107,cpu,steal
3,206.0,VM10-1-9-207,02:26:57.351111,cpu,steal
0,6237608.0,VM10-1-9-207,02:26:57.351111,cpu,idle
1,6189390.0,VM10-1-9-207,02:26:57.351112,cpu,idle
2,6225122.0,VM10-1-9-207,02:26:57.351112,cpu,idle
3,6224703.0,VM10-1-9-207,02:26:57.351235,cpu,idle
0,198520.0,VM10-1-9-207,02:27:07.347116,cpu,user
1,243716.0,VM10-1-9-207,02:27:07.347140,cpu,user
2,195839.0,VM10-1-9-207,02:27:07.347144,cpu,user
3,209300.0,VM10-1-9-207,02:27:07.347215,cpu,user
0,6754.0,VM10-1-9-207,02:27:07.347220,cpu,system
1,8619.0,VM10-1-9-207,02:27:07.347233,cpu,system
2,8550.0,VM10-1-9-207,02:27:07.347277,cpu,system
3,7784.0,VM10-1-9-207,02:27:07.347284,cpu,system
0,3674.0,VM10-1-9-207,02:27:07.347296,cpu,wait
1,4496.0,VM10-1-9-207,02:27:07.347304,cpu,wait
2,4450.0,VM10-1-9-207,02:27:07.347337,cpu,wait
3,3866.0,VM10-1-9-207,02:27:07.347348,cpu,wait
0,32.0,VM10-1-9-207,02:27:07.347378,cpu,nice
1,0.0,VM10-1-9-207,02:27:07.347391,cpu,nice
2,7516.0,VM10-1-9-207,02:27:07.347396,cpu,nice
3,0.0,VM10-1-9-207,02:27:07.347404,cpu,nice
0,0.0,VM10-1-9-207,02:27:07.347406,cpu,interrupt
1,0.0,VM10-1-9-207,02:27:07.347407,cpu,interrupt
2,0.0,VM10-1-9-207,02:27:07.347407,cpu,interrupt
3,0.0,VM10-1-9-207,02:27:07.347409,cpu,interrupt
0,276.0,VM10-1-9-207,02:27:07.347409,cpu,softirq
1,140.0,VM10-1-9-207,02:27:07.347410,cpu,softirq
2,253.0,VM10-1-9-207,02:27:07.347411,cpu,softirq
3,261.0,VM10-1-9-207,02:27:07.347503,cpu,softirq
0,82.0,VM10-1-9-207,02:27:07.347511,cpu,steal
1,94.0,VM10-1-9-207,02:27:07.347525,cpu,steal
2,259.0,VM10-1-9-207,02:27:07.347556,cpu,steal
3,206.0,VM10-1-9-207,02:27:07.349158,cpu,steal
0,6238605.0,VM10-1-9-207,02:27:07.349168,cpu,idle
1,6190388.0,VM10-1-9-207,02:27:07.349326,cpu,idle
2,6226118.0,VM10-1-9-207,02:27:07.349331,cpu,idle
3,6224703.0,VM10-1-9-207,02:27:07.349339,cpu,idle
0,198521.0,VM10-1-9-207,02:27:17.347066,cpu,user
1,243717.0,VM10-1-9-207,02:27:17.347210,cpu,user
2,195840.0,VM10-1-9-207,02:27:17.347218,cpu,user
3,210300.0,VM10-1-9-207,02:27:17.347224,cpu,user
0,6755.0,VM10-1-9-207,02:27:17.347230,cpu,system
1,8619.0,VM10-1-9-207,02:27:17.347236,cpu,system
2,8551.0,VM10-1-9-207,02:27:17.348648,cpu,system
3,7784.0,VM10-1-9-207,02:27:17.348787,cpu,system
0,3675.0,VM10-1-9-207,02:27:17.348794,cpu,wait
1,4496.0,VM10-1-9-207,02:27:17.348806,cpu,wait
2,4452.0,VM10-1-9-207,02:27:17.348842,cpu,wait
3,3866.0,VM10-1-9-207,02:27:17.348852,cpu,wait
0,32.0,VM10-1-9-207,02:27:17.348932,cpu,nice
1,0.0,VM10-1-9-207,02:27:17.348998,cpu,nice
2,7516.0,VM10-1-9-207,02:27:17.349004,cpu,nice
3,0.0,VM10-1-9-207,02:27:17.349015,cpu,nice
0,0.0,VM10-1-9-207,02:27:17.349018,cpu,interrupt
1,0.0,VM10-1-9-207,02:27:17.349022,cpu,interrupt
2,0.0,VM10-1-9-207,02:27:17.349023,cpu,interrupt
3,0.0,VM10-1-9-207,02:27:17.349024,cpu,interrupt
0,276.0,VM10-1-9-207,02:27:17.349025,cpu,softirq
1,140.0,VM10-1-9-207,02:27:17.349025,cpu,softirq
2,253.0,VM10-1-9-207,02:27:17.349026,cpu,softirq
3,262.0,VM10-1-9-207,02:27:17.349736,cpu,softirq
0,82.0,VM10-1-9-207,02:27:17.349815,cpu,steal
1,94.0,VM10-1-9-207,02:27:17.349873,cpu,steal
2,259.0,VM10-1-9-207,02:27:17.349885,cpu,steal
3,206.0,VM10-1-9-207,02:27:17.349936,cpu,steal
0,6239603.0,VM10-1-9-207,02:27:17.349940,cpu,idle
1,6191387.0,VM10-1-9-207,02:27:17.349946,cpu,idle
2,6227112.0,VM10-1-9-207,02:27:17.349953,cpu,idle
3,6224703.0,VM10-1-9-207,02:27:17.349959,cpu,idle
0,198521.0,VM10-1-9-207,02:27:27.347276,cpu,user
1,243718.0,VM10-1-9-207,02:27:27.347293,cpu,user
2,195840.0,VM10-1-9-207,02:27:27.347308,cpu,user
3,211299.0,VM10-1-9-207,02:27:27.347317,cpu,user
0,6756.0,VM10-1-9-207,02:27:27.347323,cpu,system
1,8620.0,VM10-1-9-207,02:27:27.347332,cpu,system
2,8552.0,VM10-1-9-207,02:27:27.347334,cpu,system
3,7784.0,VM10-1-9-207,02:27:27.347335,cpu,system
0,3675.0,VM10-1-9-207,02:27:27.347336,cpu,wait
1,4496.0,VM10-1-9-207,02:27:27.347337,cpu,wait
2,4452.0,VM10-1-9-207,02:27:27.347338,cpu,wait
3,3866.0,VM10-1-9-207,02:27:27.347340,cpu,wait
0,32.0,VM10-1-9-207,02:27:27.347341,cpu,nice
1,0.0,VM10-1-9-207,02:27:27.347342,cpu,nice
2,7516.0,VM10-1-9-207,02:27:27.347343,cpu,nice
