host,time,type,value,type_instance
VM10-1-9-207,02:25:57.360937,memory,156205056.0,buffered
VM10-1-9-207,02:25:57.360937,memory,3775275008.0,cached
VM10-1-9-207,02:25:57.360937,memory,3868246016.0,free
VM10-1-9-207,02:25:57.360937,memory,326676480.0,slab_recl
VM10-1-9-207,02:25:57.360937,memory,37400576.0,slab_unrecl
VM10-1-9-207,02:25:57.360937,memory,211853312.0,used
VM10-1-9-207,02:26:07.348556,memory,156274688.0,buffered
VM10-1-9-207,02:26:07.348556,memory,3775242240.0,cached
VM10-1-9-207,02:26:07.348556,memory,3864014848.0,free
VM10-1-9-207,02:26:07.348556,memory,326754304.0,slab_recl
VM10-1-9-207,02:26:07.348556,memory,37613568.0,slab_unrecl
VM10-1-9-207,02:26:07.348556,memory,215756800.0,used
VM10-1-9-207,02:26:17.348533,memory,156295168.0,buffered
VM10-1-9-207,02:26:17.348533,memory,3775250432.0,cached
VM10-1-9-207,02:26:17.348533,memory,3864035328.0,free
VM10-1-9-207,02:26:17.348533,memory,326684672.0,slab_recl
VM10-1-9-207,02:26:17.348533,memory,37154816.0,slab_unrecl
VM10-1-9-207,02:26:17.348533,memory,216236032.0,used
VM10-1-9-207,02:26:27.348682,memory,156311552.0,buffered
VM10-1-9-207,02:26:27.348682,memory,3775254528.0,cached
VM10-1-9-207,02:26:27.348682,memory,3864223744.0,free
VM10-1-9-207,02:26:27.348682,memory,326668288.0,slab_recl
VM10-1-9-207,02:26:27.348682,memory,36888576.0,slab_unrecl
VM10-1-9-207,02:26:27.348682,memory,216309760.0,used
VM10-1-9-207,02:26:37.373884,memory,156487680.0,buffered
VM10-1-9-207,02:26:37.373884,memory,3719503872.0,cached
VM10-1-9-207,02:26:37.373884,memory,3880759296.0,free
VM10-1-9-207,02:26:37.373884,memory,327008256.0,slab_recl
VM10-1-9-207,02:26:37.373884,memory,38526976.0,slab_unrecl
VM10-1-9-207,02:26:37.373884,memory,253370368.0,used
VM10-1-9-207,02:26:47.348686,memory,156581888.0,buffered
VM10-1-9-207,02:26:47.348686,memory,3775275008.0,cached
VM10-1-9-207,02:26:47.348686,memory,3861868544.0,free
VM10-1-9-207,02:26:47.348686,memory,326967296.0,slab_recl
VM10-1-9-207,02:26:47.348686,memory,37588992.0,slab_unrecl
VM10-1-9-207,02:26:47.348686,memory,217374720.0,used
VM10-1-9-207,02:26:57.348755,memory,156585984.0,buffered
VM10-1-9-207,02:26:57.348755,memory,3775279104.0,cached
VM10-1-9-207,02:26:57.348755,memory,3861905408.0,free
VM10-1-9-207,02:26:57.348755,memory,326840320.0,slab_recl
VM10-1-9-207,02:26:57.348755,memory,37150720.0,slab_unrecl
VM10-1-9-207,02:26:57.348755,memory,217894912.0,used
VM10-1-9-207,02:27:07.348478,memory,156594176.0,buffered
VM10-1-9-207,02:27:07.348478,memory,3775287296.0,cached
VM10-1-9-207,02:27:07.348478,memory,3862130688.0,free
VM10-1-9-207,02:27:07.348478,memory,326832128.0,slab_recl
VM10-1-9-207,02:27:07.348478,memory,37007360.0,slab_unrecl
VM10-1-9-207,02:27:07.348478,memory,217804800.0,used
VM10-1-9-207,02:27:17.348589,memory,156606464.0,buffered
VM10-1-9-207,02:27:17.348589,memory,3775295488.0,cached
VM10-1-9-207,02:27:17.348589,memory,3861651456.0,free
VM10-1-9-207,02:27:17.348589,memory,326815744.0,slab_recl
VM10-1-9-207,02:27:17.348589,memory,37306368.0,slab_unrecl
VM10-1-9-207,02:27:17.348589,memory,217980928.0,used
VM10-1-9-207,02:27:27.348482,memory,156610560.0,buffered
VM10-1-9-207,02:27:27.348482,memory,3775303680.0,cached
VM10-1-9-207,02:27:27.348482,memory,3862130688.0,free
VM10-1-9-207,02:27:27.348482,memory,326811648.0,slab_recl
VM10-1-9-207,02:27:27.348482,memory,37154816.0,slab_unrecl
VM10-1-9-207,02:27:27.348482,memory,217645056.0,used
VM10-1-9-207,02:27:37.348489,memory,156614656.0,buffered
VM10-1-9-207,02:27:37.348489,memory,3775311872.0,cached
VM10-1-9-207,02:27:37.348489,memory,3862192128.0,free
VM10-1-9-207,02:27:37.348489,memory,326807552.0,slab_recl
VM10-1-9-207,02:27:37.348489,memory,36982784.0,slab_unrecl
VM10-1-9-207,02:27:37.348489,memory,217747456.0,used
VM10-1-9-207,02:27:47.349825,memory,156622848.0,buffered
VM10-1-9-207,02:27:47.349825,memory,3775320064.0,cached
VM10-1-9-207,02:27:47.349825,memory,3862323200.0,free
VM10-1-9-207,02:27:47.349825,memory,326807552.0,slab_recl
VM10-1-9-207,02:27:47.349825,memory,36900864.0,slab_unrecl
VM10-1-9-207,02:27:47.349825,memory,217681920.0,used
VM10-1-9-207,02:27:57.348619,memory,156631040.0,buffered
VM10-1-9-207,02:27:57.348619,memory,3775320064.0,cached
VM10-1-9-207,02:27:57.348619,memory,3861716992.0,free
VM10-1-9-207,02:27:57.348619,memory,326807552.0,slab_recl
VM10-1-9-207,02:27:57.348619,memory,37281792.0,slab_unrecl
VM10-1-9-207,02:27:57.348619,memory,217899008.0,used
VM10-1-9-207,02:28:07.348628,memory,156635136.0,buffered
VM10-1-9-207,02:28:07.348628,memory,3775336448.0,cached
VM10-1-9-207,02:28:07.348628,memory,3861688320.0,free
VM10-1-9-207,02:28:07.348628,memory,326803456.0,slab_recl
VM10-1-9-207,02:28:07.348628,memory,37113856.0,slab_unrecl
VM10-1-9-207,02:28:07.348628,memory,218079232.0,used
VM10-1-9-207,02:28:17.348593,memory,156635136.0,buffered
VM10-1-9-207,02:28:17.348593,memory,3775344640.0,cached
VM10-1-9-207,02:28:17.348593,memory,3861651456.0,free
VM10-1-9-207,02:28:17.348593,memory,326799360.0,slab_recl
VM10-1-9-207,02:28:17.348593,memory,36945920.0,slab_unrecl
VM10-1-9-207,02:28:17.348593,memory,218279936.0,used
VM10-1-9-207,02:28:27.348996,memory,156647424.0,buffered
VM10-1-9-207,02:28:27.348996,memory,3775348736.0,cached
VM10-1-9-207,02:28:27.348996,memory,3861749760.0,free
VM10-1-9-207,02:28:27.348996,memory,326803456.0,slab_recl
VM10-1-9-207,02:28:27.348996,memory,36859904.0,slab_unrecl
VM10-1-9-207,02:28:27.348996,memory,218247168.0,used
VM10-1-9-207,02:28:37.348599,memory,156651520.0,buffered
VM10-1-9-207,02:28:37.348599,memory,3775356928.0,cached
VM10-1-9-207,02:28:37.348599,memory,3861303296.0,free
VM10-1-9-207,02:28:37.348599,memory,326799360.0,slab_recl
VM10-1-9-207,02:28:37.348599,memory,37314560.0,slab_unrecl
VM10-1-9-207,02:28:37.348599,memory,218230784.0,used
VM10-1-9-207,02:28:47.348459,memory,156659712.0,buffered
VM10-1-9-207,02:28:47.348459,memory,3775365120.0,cached
VM10-1-9-207,02:28:47.348459,memory,3861434368.0,free
VM10-1-9-207,02:28:47.348459,memory,326803456.0,slab_recl
VM10-1-9-207,02:28:47.348459,memory,37236736.0,slab_unrecl
VM10-1-9-207,02:28:47.348459,memory,218157056.0,used
VM10-1-9-207,02:28:57.348482,memory,156659712.0,buffered
VM10-1-9-207,02:28:57.348482,memory,3775373312.0,cached
VM10-1-9-207,02:28:57.348482,memory,3861590016.0,free
VM10-1-9-207,02:28:57.348482,memory,326795264.0,slab_recl
VM10-1-9-207,02:28:57.348482,memory,37019648.0,slab_unrecl
VM10-1-9-207,02:28:57.348482,memory,218218496.0,used
VM10-1-9-207,02:29:07.348486,memory,156663808.0,buffered
VM10-1-9-207,02:29:07.348486,memory,3775381504.0,cached
VM10-1-9-207,02:29:07.348486,memory,3861688320.0,free
VM10-1-9-207,02:29:07.348486,memory,326795264.0,slab_recl
VM10-1-9-207,02:29:07.348486,memory,36937728.0,slab_unrecl
VM10-1-9-207,02:29:07.348486,memory,218189824.0,used
VM10-1-9-207,02:29:17.348509,memory,156676096.0,buffered
VM10-1-9-207,02:29:17.348509,memory,3775389696.0,cached
VM10-1-9-207,02:29:17.348509,memory,3861368832.0,free
VM10-1-9-207,02:29:17.348509,memory,326799360.0,slab_recl
VM10-1-9-207,02:29:17.348509,memory,37269504.0,slab_unrecl
VM10-1-9-207,02:29:17.348509,memory,218152960.0,used
VM10-1-9-207,02:29:27.348487,memory,156684288.0,buffered
VM10-1-9-207,02:29:27.348487,memory,3775393792.0,cached
VM10-1-9-207,02:29:27.348487,memory,3861262336.0,free
VM10-1-9-207,02:29:27.348487,memory,326807552.0,slab_recl
VM10-1-9-207,02:29:27.348487,memory,37097472.0,slab_unrecl
VM10-1-9-207,02:29:27.348487,memory,218411008.0,used
VM10-1-9-207,02:29:37.348484,memory,156692480.0,buffered
VM10-1-9-207,02:29:37.348484,memory,3775401984.0,cached
VM10-1-9-207,02:29:37.348484,memory,3861528576.0,free
VM10-1-9-207,02:29:37.348484,memory,326807552.0,slab_recl
VM10-1-9-207,02:29:37.348484,memory,36941824.0,slab_unrecl
VM10-1-9-207,02:29:37.348484,memory,218284032.0,used
VM10-1-9-207,02:29:47.348483,memory,156696576.0,buffered
VM10-1-9-207,02:29:47.348483,memory,3775414272.0,cached
VM10-1-9-207,02:29:47.348483,memory,3861430272.0,free
VM10-1-9-207,02:29:47.348483,memory,326799360.0,slab_recl
VM10-1-9-207,02:29:47.348483,memory,36872192.0,slab_unrecl
VM10-1-9-207,02:29:47.348483,memory,218443776.0,used
VM10-1-9-207,02:29:57.348435,memory,156704768.0,buffered
VM10-1-9-207,02:29:57.348435,memory,3775418368.0,cached
VM10-1-9-207,02:29:57.348435,memory,3861721088.0,free
VM10-1-9-207,02:29:57.348435,memory,326799360.0,slab_recl
