instance,value,host,time,type,type_instance
0,227183.0,VM10-1-9-207,02:57:01.409200,cpu,user
1,268436.0,VM10-1-9-207,02:57:01.409211,cpu,user
2,227829.0,VM10-1-9-207,02:57:01.409220,cpu,user
3,287394.0,VM10-1-9-207,02:57:01.409290,cpu,user
0,7105.0,VM10-1-9-207,02:57:01.409325,cpu,system
1,8922.0,VM10-1-9-207,02:57:01.409347,cpu,system
2,8912.0,VM10-1-9-207,02:57:01.409348,cpu,system
3,8060.0,VM10-1-9-207,02:57:01.409349,cpu,system
0,3811.0,VM10-1-9-207,02:57:01.409349,cpu,wait
1,4551.0,VM10-1-9-207,02:57:01.409350,cpu,wait
2,4560.0,VM10-1-9-207,02:57:01.409357,cpu,wait
3,3877.0,VM10-1-9-207,02:57:01.409358,cpu,wait
0,32.0,VM10-1-9-207,02:57:01.409358,cpu,nice
1,0.0,VM10-1-9-207,02:57:01.409359,cpu,nice
2,7516.0,VM10-1-9-207,02:57:01.409359,cpu,nice
3,0.0,VM10-1-9-207,02:57:01.409360,cpu,nice
0,0.0,VM10-1-9-207,02:57:01.409375,cpu,interrupt
1,0.0,VM10-1-9-207,02:57:01.409377,cpu,interrupt
2,0.0,VM10-1-9-207,02:57:01.409377,cpu,interrupt
3,0.0,VM10-1-9-207,02:57:01.409378,cpu,interrupt
0,291.0,VM10-1-9-207,02:57:01.409379,cpu,softirq
1,148.0,VM10-1-9-207,02:57:01.409384,cpu,softirq
2,262.0,VM10-1-9-207,02:57:01.409385,cpu,softirq
3,275.0,VM10-1-9-207,02:57:01.409386,cpu,softirq
0,88.0,VM10-1-9-207,02:57:01.409386,cpu,steal
1,100.0,VM10-1-9-207,02:57:01.409387,cpu,steal
2,267.0,VM10-1-9-207,02:57:01.409395,cpu,steal
3,225.0,VM10-1-9-207,02:57:01.409397,cpu,steal
0,6388748.0,VM10-1-9-207,02:57:01.409398,cpu,idle
1,6344585.0,VM10-1-9-207,02:57:01.409399,cpu,idle
2,6372856.0,VM10-1-9-207,02:57:01.409399,cpu,idle
3,6325601.0,VM10-1-9-207,02:57:01.409400,cpu,idle
0,228041.0,VM10-1-9-207,02:57:11.409208,cpu,user
1,268438.0,VM10-1-9-207,02:57:11.409228,cpu,user
2,227970.0,VM10-1-9-207,02:57:11.409297,cpu,user
3,287394.0,VM10-1-9-207,02:57:11.409307,cpu,user
0,7106.0,VM10-1-9-207,02:57:11.409317,cpu,system
1,8922.0,VM10-1-9-207,02:57:11.409369,cpu,system
2,8912.0,VM10-1-9-207,02:57:11.409369,cpu,system
3,8062.0,VM10-1-9-207,02:57:11.409410,cpu,system
0,3811.0,VM10-1-9-207,02:57:11.409428,cpu,wait
1,4551.0,VM10-1-9-207,02:57:11.409429,cpu,wait
2,4560.0,VM10-1-9-207,02:57:11.409430,cpu,wait
3,3877.0,VM10-1-9-207,02:57:11.409431,cpu,wait
0,32.0,VM10-1-9-207,02:57:11.409431,cpu,nice
1,0.0,VM10-1-9-207,02:57:11.409432,cpu,nice
2,7516.0,VM10-1-9-207,02:57:11.409433,cpu,nice
3,0.0,VM10-1-9-207,02:57:11.409434,cpu,nice
0,0.0,VM10-1-9-207,02:57:11.409434,cpu,interrupt
1,0.0,VM10-1-9-207,02:57:11.409435,cpu,interrupt
2,0.0,VM10-1-9-207,02:57:11.409436,cpu,interrupt
3,0.0,VM10-1-9-207,02:57:11.409437,cpu,interrupt
0,291.0,VM10-1-9-207,02:57:11.409438,cpu,softirq
1,148.0,VM10-1-9-207,02:57:11.409439,cpu,softirq
2,262.0,VM10-1-9-207,02:57:11.409439,cpu,softirq
3,275.0,VM10-1-9-207,02:57:11.409440,cpu,softirq
0,88.0,VM10-1-9-207,02:57:11.409441,cpu,steal
1,100.0,VM10-1-9-207,02:57:11.409442,cpu,steal
2,267.0,VM10-1-9-207,02:57:11.409443,cpu,steal
3,225.0,VM10-1-9-207,02:57:11.409444,cpu,steal
