host,time,type,value,type_instance
VM10-1-9-207,02:57:57.581229,memory,159973376.0,buffered
VM10-1-9-207,02:57:57.581229,memory,3790188544.0,cached
VM10-1-9-207,02:57:57.581229,memory,3836342272.0,free
VM10-1-9-207,02:57:57.581229,memory,329658368.0,slab_recl
VM10-1-9-207,02:57:57.581229,memory,39759872.0,slab_unrecl
VM10-1-9-207,02:57:57.581229,memory,219734016.0,used
VM10-1-9-207,02:58:07.569398,memory,160124928.0,buffered
VM10-1-9-207,02:58:07.569398,memory,3790331904.0,cached
VM10-1-9-207,02:58:07.569398,memory,3728449536.0,free
VM10-1-9-207,02:58:07.569398,memory,330125312.0,slab_recl
VM10-1-9-207,02:58:07.569398,memory,40275968.0,slab_unrecl
VM10-1-9-207,02:58:07.569398,memory,326348800.0,used
VM10-1-9-207,02:58:17.569733,memory,160169984.0,buffered
VM10-1-9-207,02:58:17.569733,memory,3791990784.0,cached
VM10-1-9-207,02:58:17.569733,memory,3721465856.0,free
VM10-1-9-207,02:58:17.569733,memory,330080256.0,slab_recl
VM10-1-9-207,02:58:17.569733,memory,39899136.0,slab_unrecl
VM10-1-9-207,02:58:17.569733,memory,332050432.0,used
VM10-1-9-207,02:58:27.569532,memory,160174080.0,buffered
VM10-1-9-207,02:58:27.569532,memory,3791998976.0,cached
VM10-1-9-207,02:58:27.569532,memory,3719753728.0,free
VM10-1-9-207,02:58:27.569532,memory,330010624.0,slab_recl
VM10-1-9-207,02:58:27.569532,memory,39563264.0,slab_unrecl
VM10-1-9-207,02:58:27.569532,memory,334155776.0,used
VM10-1-9-207,02:58:37.569263,memory,160186368.0,buffered
VM10-1-9-207,02:58:37.569263,memory,3792007168.0,cached
VM10-1-9-207,02:58:37.569263,memory,3717591040.0,free
VM10-1-9-207,02:58:37.569263,memory,330002432.0,slab_recl
VM10-1-9-207,02:58:37.569263,memory,39616512.0,slab_unrecl
VM10-1-9-207,02:58:37.569263,memory,336252928.0,used
VM10-1-9-207,02:58:47.569705,memory,160198656.0,buffered
VM10-1-9-207,02:58:47.569705,memory,3792015360.0,cached
VM10-1-9-207,02:58:47.569705,memory,3715395584.0,free
VM10-1-9-207,02:58:47.569705,memory,329994240.0,slab_recl
VM10-1-9-207,02:58:47.569705,memory,39387136.0,slab_unrecl
