instance,value,host,time,type,type_instance
0,213100.0,VM10-1-9-207,02:42:11.770269,cpu,user
1,247448.0,VM10-1-9-207,02:42:11.770275,cpu,user
2,199302.0,VM10-1-9-207,02:42:11.770288,cpu,user
3,268280.0,VM10-1-9-207,02:42:11.770294,cpu,user
0,6921.0,VM10-1-9-207,02:42:11.770304,cpu,system
1,8786.0,VM10-1-9-207,02:42:11.770308,cpu,system
2,8687.0,VM10-1-9-207,02:42:11.770309,cpu,system
3,7948.0,VM10-1-9-207,02:42:11.770310,cpu,system
0,3732.0,VM10-1-9-207,02:42:11.770322,cpu,wait
1,4522.0,VM10-1-9-207,02:42:11.770323,cpu,wait
2,4519.0,VM10-1-9-207,02:42:11.770323,cpu,wait
3,3872.0,VM10-1-9-207,02:42:11.770324,cpu,wait
0,32.0,VM10-1-9-207,02:42:11.770324,cpu,nice
1,0.0,VM10-1-9-207,02:42:11.770325,cpu,nice
2,7516.0,VM10-1-9-207,02:42:11.770326,cpu,nice
3,0.0,VM10-1-9-207,02:42:11.770327,cpu,nice
0,0.0,VM10-1-9-207,02:42:11.770327,cpu,interrupt
1,0.0,VM10-1-9-207,02:42:11.770331,cpu,interrupt
2,0.0,VM10-1-9-207,02:42:11.770338,cpu,interrupt
3,0.0,VM10-1-9-207,02:42:11.770339,cpu,interrupt
0,283.0,VM10-1-9-207,02:42:11.770340,cpu,softirq
1,142.0,VM10-1-9-207,02:42:11.770340,cpu,softirq
2,257.0,VM10-1-9-207,02:42:11.770341,cpu,softirq
3,266.0,VM10-1-9-207,02:42:11.770345,cpu,softirq
0,85.0,VM10-1-9-207,02:42:11.770346,cpu,steal
1,95.0,VM10-1-9-207,02:42:11.770346,cpu,steal
2,261.0,VM10-1-9-207,02:42:11.770346,cpu,steal
3,218.0,VM10-1-9-207,02:42:11.770347,cpu,steal
0,6314242.0,VM10-1-9-207,02:42:11.770348,cpu,idle
1,6276829.0,VM10-1-9-207,02:42:11.770351,cpu,idle
2,6312770.0,VM10-1-9-207,02:42:11.770352,cpu,idle
3,6255955.0,VM10-1-9-207,02:42:11.770353,cpu,idle
0,213101.0,VM10-1-9-207,02:42:21.770238,cpu,user
1,247625.0,VM10-1-9-207,02:42:21.770254,cpu,user
2,200125.0,VM10-1-9-207,02:42:21.770275,cpu,user
3,268280.0,VM10-1-9-207,02:42:21.770279,cpu,user
0,6923.0,VM10-1-9-207,02:42:21.770288,cpu,system
1,8790.0,VM10-1-9-207,02:42:21.770308,cpu,system
2,8688.0,VM10-1-9-207,02:42:21.770308,cpu,system
3,7948.0,VM10-1-9-207,02:42:21.770308,cpu,system
0,3734.0,VM10-1-9-207,02:42:21.770308,cpu,wait
1,4522.0,VM10-1-9-207,02:42:21.770309,cpu,wait
2,4519.0,VM10-1-9-207,02:42:21.770309,cpu,wait
3,3872.0,VM10-1-9-207,02:42:21.770310,cpu,wait
0,32.0,VM10-1-9-207,02:42:21.770310,cpu,nice
1,0.0,VM10-1-9-207,02:42:21.770311,cpu,nice
2,7516.0,VM10-1-9-207,02:42:21.770311,cpu,nice
3,0.0,VM10-1-9-207,02:42:21.770312,cpu,nice
0,0.0,VM10-1-9-207,02:42:21.770324,cpu,interrupt
1,0.0,VM10-1-9-207,02:42:21.770324,cpu,interrupt
2,0.0,VM10-1-9-207,02:42:21.770325,cpu,interrupt
3,0.0,VM10-1-9-207,02:42:21.770326,cpu,interrupt
0,284.0,VM10-1-9-207,02:42:21.770327,cpu,softirq
1,142.0,VM10-1-9-207,02:42:21.770327,cpu,softirq
2,257.0,VM10-1-9-207,02:42:21.770328,cpu,softirq
3,266.0,VM10-1-9-207,02:42:21.770328,cpu,softirq
0,85.0,VM10-1-9-207,02:42:21.770329,cpu,steal
1,96.0,VM10-1-9-207,02:42:21.770329,cpu,steal
2,261.0,VM10-1-9-207,02:42:21.770330,cpu,steal
3,218.0,VM10-1-9-207,02:42:21.770330,cpu,steal
0,6315236.0,VM10-1-9-207,02:42:21.770331,cpu,idle
1,6277649.0,VM10-1-9-207,02:42:21.770331,cpu,idle
2,6312946.0,VM10-1-9-207,02:42:21.770332,cpu,idle
3,6256954.0,VM10-1-9-207,02:42:21.770332,cpu,idle
0,213103.0,VM10-1-9-207,02:42:31.770294,cpu,user
1,247627.0,VM10-1-9-207,02:42:31.770374,cpu,user
2,200125.0,VM10-1-9-207,02:42:31.770402,cpu,user
3,269279.0,VM10-1-9-207,02:42:31.770428,cpu,user
