host,time,type,value,type_instance
VM10-1-9-207,02:40:43.550889,memory,157483008.0,buffered
VM10-1-9-207,02:40:43.550889,memory,3775832064.0,cached
VM10-1-9-207,02:40:43.550889,memory,3862073344.0,free
VM10-1-9-207,02:40:43.550889,memory,326873088.0,slab_recl
VM10-1-9-207,02:40:43.550889,memory,37281792.0,slab_unrecl
VM10-1-9-207,02:40:43.550889,memory,216113152.0,used
VM10-1-9-207,02:40:53.537079,memory,157655040.0,buffered
VM10-1-9-207,02:40:53.537079,memory,3776208896.0,cached
VM10-1-9-207,02:40:53.537079,memory,3826769920.0,free
VM10-1-9-207,02:40:53.537079,memory,327397376.0,slab_recl
VM10-1-9-207,02:40:53.537079,memory,38727680.0,slab_unrecl
VM10-1-9-207,02:40:53.537079,memory,248897536.0,used
