Architecture,Application,N,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time,Maximum resident set size (kbytes)
bare_metal,pi,5000,4.21,0.00,99%,0.04.22,10080
bare_metal,pi,10000,31.20,0.00,99%,0.31.23,10052
bare_metal,pi,15000,83.28,0.03,99%,1.23.39,10272
bare_metal,pi,20000,186.61,0.47,99%,3.07.27,10120
bare_metal,pi,25000,291.92,1.07,99%,4.53.20,10272
bare_metal,mm,500,0.36,0.05,99%,0.00.41,35840
bare_metal,mm,1000,3.58,0.02,99%,0.03.61,53380
bare_metal,mm,1500,61.40,0.06,99%,1.01.49,82800
bare_metal,mm,2000,150.58,0.06,99%,2.30.80,123732
bare_metal,mm,2500,303.62,0.08,99%,5.03.85,176476
docker,pi,5000,6.44,0.01,99%,0.06.46,10548
docker,pi,10000,45.72,0.02,99%,0.45.77,10564
docker,pi,15000,121.96,0.03,99%,2.02.06,10560
docker,pi,20000,270.42,0.35,99%,4.30.92,10556
docker,pi,25000,426.49,0.86,99%,7.07.83,10576
docker,mm,500,0.40,0.03,99%,0.00.43,34072
docker,mm,1000,3.66,0.08,99%,0.03.75,51628
docker,mm,1500,53.08,0.06,99%,0.53.21,80852
docker,mm,2000,131.18,0.11,99%,2.11.47,122132
docker,mm,2500,286.13,0.18,99%,4.46.64,174436
