type_instance,type,time,instance,host,value
steal,cpu,03:16:33.621077,2,VM10-1-9-207,282.0
steal,cpu,03:16:33.621084,3,VM10-1-9-207,237.0
user,cpu,03:16:46.143657,0,VM10-1-9-207,238286.0
user,cpu,03:16:46.143670,1,VM10-1-9-207,283862.0
user,cpu,03:16:46.143696,2,VM10-1-9-207,280484.0
user,cpu,03:16:46.143702,3,VM10-1-9-207,315295.0
system,cpu,03:16:46.143706,0,VM10-1-9-207,7270.0
system,cpu,03:16:46.143714,1,VM10-1-9-207,9068.0
system,cpu,03:16:46.143714,2,VM10-1-9-207,9168.0
system,cpu,03:16:46.143715,3,VM10-1-9-207,8220.0
wait,cpu,03:16:46.143715,0,VM10-1-9-207,3895.0
wait,cpu,03:16:46.143716,1,VM10-1-9-207,4598.0
wait,cpu,03:16:46.143716,2,VM10-1-9-207,4568.0
wait,cpu,03:16:46.143716,3,VM10-1-9-207,3903.0
nice,cpu,03:16:46.143717,0,VM10-1-9-207,32.0
nice,cpu,03:16:46.143718,1,VM10-1-9-207,0.0
nice,cpu,03:16:46.143718,2,VM10-1-9-207,7516.0
nice,cpu,03:16:46.143719,3,VM10-1-9-207,0.0
interrupt,cpu,03:16:46.143720,0,VM10-1-9-207,0.0
interrupt,cpu,03:16:46.143720,1,VM10-1-9-207,0.0
interrupt,cpu,03:16:46.143721,2,VM10-1-9-207,0.0
interrupt,cpu,03:16:46.143722,3,VM10-1-9-207,0.0
softirq,cpu,03:16:46.143722,0,VM10-1-9-207,304.0
softirq,cpu,03:16:46.143723,1,VM10-1-9-207,153.0
softirq,cpu,03:16:46.143723,2,VM10-1-9-207,267.0
softirq,cpu,03:16:46.143723,3,VM10-1-9-207,293.0
steal,cpu,03:16:46.143724,0,VM10-1-9-207,92.0
steal,cpu,03:16:46.143724,1,VM10-1-9-207,106.0
steal,cpu,03:16:46.143725,2,VM10-1-9-207,282.0
steal,cpu,03:16:46.143726,3,VM10-1-9-207,237.0
idle,cpu,03:16:46.143727,0,VM10-1-9-207,6495773.0
idle,cpu,03:16:46.143727,1,VM10-1-9-207,6447343.0
idle,cpu,03:16:46.143728,2,VM10-1-9-207,6438295.0
idle,cpu,03:16:46.143729,3,VM10-1-9-207,6415868.0
