type_instance,type,time,instance,host,value
steal,cpu,03:07:56.733028,3,VM10-1-9-207,232.0
idle,cpu,03:07:56.733116,0,VM10-1-9-207,6443492.0
idle,cpu,03:07:56.733155,1,VM10-1-9-207,6398316.0
idle,cpu,03:07:56.733162,2,VM10-1-9-207,6422475.0
idle,cpu,03:07:56.733236,3,VM10-1-9-207,6369894.0
user,cpu,03:08:12.425754,0,VM10-1-9-207,237798.0
user,cpu,03:08:12.425768,1,VM10-1-9-207,280054.0
user,cpu,03:08:12.425772,2,VM10-1-9-207,243949.0
user,cpu,03:08:12.425776,3,VM10-1-9-207,308456.0
system,cpu,03:08:12.425779,0,VM10-1-9-207,7208.0
system,cpu,03:08:12.425785,1,VM10-1-9-207,9019.0
system,cpu,03:08:12.425786,2,VM10-1-9-207,9012.0
system,cpu,03:08:12.425787,3,VM10-1-9-207,8154.0
wait,cpu,03:08:12.425788,0,VM10-1-9-207,3839.0
wait,cpu,03:08:12.425789,1,VM10-1-9-207,4593.0
wait,cpu,03:08:12.425789,2,VM10-1-9-207,4568.0
wait,cpu,03:08:12.425790,3,VM10-1-9-207,3901.0
nice,cpu,03:08:12.425790,0,VM10-1-9-207,32.0
nice,cpu,03:08:12.425791,1,VM10-1-9-207,0.0
nice,cpu,03:08:12.425792,2,VM10-1-9-207,7516.0
nice,cpu,03:08:12.425792,3,VM10-1-9-207,0.0
interrupt,cpu,03:08:12.425793,0,VM10-1-9-207,0.0
interrupt,cpu,03:08:12.425793,1,VM10-1-9-207,0.0
interrupt,cpu,03:08:12.425794,2,VM10-1-9-207,0.0
interrupt,cpu,03:08:12.425795,3,VM10-1-9-207,0.0
softirq,cpu,03:08:12.425798,0,VM10-1-9-207,300.0
softirq,cpu,03:08:12.425798,1,VM10-1-9-207,151.0
softirq,cpu,03:08:12.425799,2,VM10-1-9-207,265.0
softirq,cpu,03:08:12.425800,3,VM10-1-9-207,289.0
steal,cpu,03:08:12.425801,0,VM10-1-9-207,91.0
steal,cpu,03:08:12.425801,1,VM10-1-9-207,103.0
steal,cpu,03:08:12.425802,2,VM10-1-9-207,273.0
steal,cpu,03:08:12.425802,3,VM10-1-9-207,232.0
idle,cpu,03:08:12.425803,0,VM10-1-9-207,6445048.0
idle,cpu,03:08:12.425803,1,VM10-1-9-207,6399878.0
idle,cpu,03:08:12.425804,2,VM10-1-9-207,6423640.0
idle,cpu,03:08:12.425805,3,VM10-1-9-207,6371455.0
user,cpu,03:08:22.425855,0,VM10-1-9-207,237799.0
user,cpu,03:08:22.425881,1,VM10-1-9-207,280054.0
user,cpu,03:08:22.425885,2,VM10-1-9-207,244949.0
user,cpu,03:08:22.425889,3,VM10-1-9-207,308456.0
system,cpu,03:08:22.425892,0,VM10-1-9-207,7208.0
system,cpu,03:08:22.425899,1,VM10-1-9-207,9020.0
system,cpu,03:08:22.425900,2,VM10-1-9-207,9012.0
system,cpu,03:08:22.425900,3,VM10-1-9-207,8155.0
wait,cpu,03:08:22.425902,0,VM10-1-9-207,3840.0
wait,cpu,03:08:22.425902,1,VM10-1-9-207,4593.0
wait,cpu,03:08:22.425903,2,VM10-1-9-207,4568.0
wait,cpu,03:08:22.425904,3,VM10-1-9-207,3901.0
nice,cpu,03:08:22.425904,0,VM10-1-9-207,32.0
nice,cpu,03:08:22.425913,1,VM10-1-9-207,0.0
nice,cpu,03:08:22.425970,2,VM10-1-9-207,7516.0
nice,cpu,03:08:22.425972,3,VM10-1-9-207,0.0
interrupt,cpu,03:08:22.425972,0,VM10-1-9-207,0.0
interrupt,cpu,03:08:22.425973,1,VM10-1-9-207,0.0
interrupt,cpu,03:08:22.425973,2,VM10-1-9-207,0.0
interrupt,cpu,03:08:22.425974,3,VM10-1-9-207,0.0
softirq,cpu,03:08:22.425975,0,VM10-1-9-207,300.0
softirq,cpu,03:08:22.425982,1,VM10-1-9-207,151.0
softirq,cpu,03:08:22.426004,2,VM10-1-9-207,265.0
softirq,cpu,03:08:22.426004,3,VM10-1-9-207,289.0
steal,cpu,03:08:22.426005,0,VM10-1-9-207,91.0
steal,cpu,03:08:22.426006,1,VM10-1-9-207,103.0
steal,cpu,03:08:22.426006,2,VM10-1-9-207,273.0
steal,cpu,03:08:22.426011,3,VM10-1-9-207,232.0
idle,cpu,03:08:22.426012,0,VM10-1-9-207,6446046.0
idle,cpu,03:08:22.426013,1,VM10-1-9-207,6400876.0
idle,cpu,03:08:22.426013,2,VM10-1-9-207,6423640.0
idle,cpu,03:08:22.426014,3,VM10-1-9-207,6372452.0
user,cpu,03:08:32.425813,0,VM10-1-9-207,237800.0
user,cpu,03:08:32.425836,1,VM10-1-9-207,280055.0
user,cpu,03:08:32.425847,2,VM10-1-9-207,245948.0
user,cpu,03:08:32.425857,3,VM10-1-9-207,308456.0
system,cpu,03:08:32.425861,0,VM10-1-9-207,7209.0
system,cpu,03:08:32.425867,1,VM10-1-9-207,9021.0
system,cpu,03:08:32.425867,2,VM10-1-9-207,9013.0
system,cpu,03:08:32.425868,3,VM10-1-9-207,8155.0
wait,cpu,03:08:32.425869,0,VM10-1-9-207,3840.0
wait,cpu,03:08:32.425869,1,VM10-1-9-207,4593.0
wait,cpu,03:08:32.425870,2,VM10-1-9-207,4568.0
wait,cpu,03:08:32.425874,3,VM10-1-9-207,3902.0
nice,cpu,03:08:32.425874,0,VM10-1-9-207,32.0
nice,cpu,03:08:32.425875,1,VM10-1-9-207,0.0
nice,cpu,03:08:32.425876,2,VM10-1-9-207,7516.0
nice,cpu,03:08:32.425877,3,VM10-1-9-207,0.0
interrupt,cpu,03:08:32.425878,0,VM10-1-9-207,0.0
interrupt,cpu,03:08:32.425879,1,VM10-1-9-207,0.0
interrupt,cpu,03:08:32.425879,2,VM10-1-9-207,0.0
interrupt,cpu,03:08:32.425880,3,VM10-1-9-207,0.0
softirq,cpu,03:08:32.425881,0,VM10-1-9-207,300.0
softirq,cpu,03:08:32.425882,1,VM10-1-9-207,151.0
softirq,cpu,03:08:32.425882,2,VM10-1-9-207,265.0
softirq,cpu,03:08:32.425883,3,VM10-1-9-207,289.0
steal,cpu,03:08:32.425884,0,VM10-1-9-207,91.0
steal,cpu,03:08:32.425885,1,VM10-1-9-207,103.0
steal,cpu,03:08:32.425886,2,VM10-1-9-207,273.0
steal,cpu,03:08:32.425886,3,VM10-1-9-207,232.0
idle,cpu,03:08:32.425887,0,VM10-1-9-207,6447043.0
idle,cpu,03:08:32.425888,1,VM10-1-9-207,6401874.0
idle,cpu,03:08:32.425889,2,VM10-1-9-207,6423640.0
idle,cpu,03:08:32.425889,3,VM10-1-9-207,6373449.0
user,cpu,03:08:42.425772,0,VM10-1-9-207,237800.0
user,cpu,03:08:42.425786,1,VM10-1-9-207,280055.0
user,cpu,03:08:42.425794,2,VM10-1-9-207,246948.0
user,cpu,03:08:42.425798,3,VM10-1-9-207,308456.0
system,cpu,03:08:42.425805,0,VM10-1-9-207,7210.0
system,cpu,03:08:42.425811,1,VM10-1-9-207,9022.0
system,cpu,03:08:42.425812,2,VM10-1-9-207,9013.0
system,cpu,03:08:42.425813,3,VM10-1-9-207,8155.0
wait,cpu,03:08:42.425813,0,VM10-1-9-207,3841.0
wait,cpu,03:08:42.425814,1,VM10-1-9-207,4593.0
wait,cpu,03:08:42.425814,2,VM10-1-9-207,4568.0
wait,cpu,03:08:42.425815,3,VM10-1-9-207,3902.0
nice,cpu,03:08:42.425815,0,VM10-1-9-207,32.0
nice,cpu,03:08:42.425816,1,VM10-1-9-207,0.0
nice,cpu,03:08:42.425817,2,VM10-1-9-207,7516.0
nice,cpu,03:08:42.425817,3,VM10-1-9-207,0.0
interrupt,cpu,03:08:42.425818,0,VM10-1-9-207,0.0
interrupt,cpu,03:08:42.425818,1,VM10-1-9-207,0.0
interrupt,cpu,03:08:42.425819,2,VM10-1-9-207,0.0
interrupt,cpu,03:08:42.425820,3,VM10-1-9-207,0.0
softirq,cpu,03:08:42.425821,0,VM10-1-9-207,300.0
softirq,cpu,03:08:42.425822,1,VM10-1-9-207,151.0
softirq,cpu,03:08:42.425822,2,VM10-1-9-207,265.0
softirq,cpu,03:08:42.425823,3,VM10-1-9-207,289.0
steal,cpu,03:08:42.425824,0,VM10-1-9-207,91.0
steal,cpu,03:08:42.425824,1,VM10-1-9-207,103.0
steal,cpu,03:08:42.425825,2,VM10-1-9-207,273.0
steal,cpu,03:08:42.425829,3,VM10-1-9-207,232.0
idle,cpu,03:08:42.425830,0,VM10-1-9-207,6448040.0
idle,cpu,03:08:42.425831,1,VM10-1-9-207,6402872.0
idle,cpu,03:08:42.425831,2,VM10-1-9-207,6423640.0
idle,cpu,03:08:42.425833,3,VM10-1-9-207,6374447.0
user,cpu,03:08:52.425756,0,VM10-1-9-207,237801.0
user,cpu,03:08:52.425772,1,VM10-1-9-207,280056.0
user,cpu,03:08:52.425785,2,VM10-1-9-207,247948.0
user,cpu,03:08:52.425789,3,VM10-1-9-207,308456.0
system,cpu,03:08:52.425793,0,VM10-1-9-207,7210.0
system,cpu,03:08:52.425796,1,VM10-1-9-207,9022.0
system,cpu,03:08:52.425796,2,VM10-1-9-207,9013.0
system,cpu,03:08:52.425797,3,VM10-1-9-207,8155.0
wait,cpu,03:08:52.425797,0,VM10-1-9-207,3841.0
wait,cpu,03:08:52.425798,1,VM10-1-9-207,4594.0
wait,cpu,03:08:52.425799,2,VM10-1-9-207,4568.0
wait,cpu,03:08:52.425799,3,VM10-1-9-207,3902.0
nice,cpu,03:08:52.425800,0,VM10-1-9-207,32.0
nice,cpu,03:08:52.425801,1,VM10-1-9-207,0.0
nice,cpu,03:08:52.425807,2,VM10-1-9-207,7516.0
nice,cpu,03:08:52.425808,3,VM10-1-9-207,0.0
interrupt,cpu,03:08:52.425809,0,VM10-1-9-207,0.0
interrupt,cpu,03:08:52.425809,1,VM10-1-9-207,0.0
interrupt,cpu,03:08:52.425810,2,VM10-1-9-207,0.0
interrupt,cpu,03:08:52.425811,3,VM10-1-9-207,0.0
softirq,cpu,03:08:52.425812,0,VM10-1-9-207,300.0
softirq,cpu,03:08:52.425812,1,VM10-1-9-207,151.0
softirq,cpu,03:08:52.425812,2,VM10-1-9-207,265.0
softirq,cpu,03:08:52.425813,3,VM10-1-9-207,289.0
steal,cpu,03:08:52.425814,0,VM10-1-9-207,91.0
steal,cpu,03:08:52.425815,1,VM10-1-9-207,103.0
steal,cpu,03:08:52.425816,2,VM10-1-9-207,273.0
steal,cpu,03:08:52.425816,3,VM10-1-9-207,232.0
idle,cpu,03:08:52.425817,0,VM10-1-9-207,6449038.0
idle,cpu,03:08:52.425817,1,VM10-1-9-207,6403868.0
idle,cpu,03:08:52.425818,2,VM10-1-9-207,6423640.0
idle,cpu,03:08:52.425819,3,VM10-1-9-207,6375444.0
user,cpu,03:09:02.425793,0,VM10-1-9-207,237801.0
user,cpu,03:09:02.425873,1,VM10-1-9-207,280057.0
user,cpu,03:09:02.425911,2,VM10-1-9-207,248946.0
user,cpu,03:09:02.425938,3,VM10-1-9-207,308458.0
system,cpu,03:09:02.425966,0,VM10-1-9-207,7210.0
system,cpu,03:09:02.425970,1,VM10-1-9-207,9023.0
system,cpu,03:09:02.426028,2,VM10-1-9-207,9014.0
system,cpu,03:09:02.426053,3,VM10-1-9-207,8158.0
wait,cpu,03:09:02.426077,0,VM10-1-9-207,3842.0
wait,cpu,03:09:02.426102,1,VM10-1-9-207,4594.0
wait,cpu,03:09:02.426132,2,VM10-1-9-207,4568.0
wait,cpu,03:09:02.426692,3,VM10-1-9-207,3902.0
nice,cpu,03:09:02.426738,0,VM10-1-9-207,32.0
nice,cpu,03:09:02.426764,1,VM10-1-9-207,0.0
nice,cpu,03:09:02.426789,2,VM10-1-9-207,7516.0
nice,cpu,03:09:02.426793,3,VM10-1-9-207,0.0
interrupt,cpu,03:09:02.426812,0,VM10-1-9-207,0.0
