type_instance,type,value,host,time
buffered,memory,160972800.0,VM10-1-9-207,03:06:26.742547
cached,memory,3794583552.0,VM10-1-9-207,03:06:26.742547
free,memory,3836891136.0,VM10-1-9-207,03:06:26.742547
slab_recl,memory,329916416.0,VM10-1-9-207,03:06:26.742547
slab_unrecl,memory,39137280.0,VM10-1-9-207,03:06:26.742547
used,memory,214155264.0,VM10-1-9-207,03:06:26.742547
buffered,memory,161026048.0,VM10-1-9-207,03:06:36.730748
cached,memory,3794583552.0,VM10-1-9-207,03:06:36.730748
free,memory,3832369152.0,VM10-1-9-207,03:06:36.730748
slab_recl,memory,329965568.0,VM10-1-9-207,03:06:36.730748
slab_unrecl,memory,39198720.0,VM10-1-9-207,03:06:36.730748
used,memory,218513408.0,VM10-1-9-207,03:06:36.730748
buffered,memory,161058816.0,VM10-1-9-207,03:06:46.730925
cached,memory,3794591744.0,VM10-1-9-207,03:06:46.730925
free,memory,3832057856.0,VM10-1-9-207,03:06:46.730925
slab_recl,memory,329932800.0,VM10-1-9-207,03:06:46.730925
slab_unrecl,memory,38821888.0,VM10-1-9-207,03:06:46.730925
used,memory,219193344.0,VM10-1-9-207,03:06:46.730925
buffered,memory,161062912.0,VM10-1-9-207,03:06:56.730742
cached,memory,3794595840.0,VM10-1-9-207,03:06:56.730742
free,memory,3832094720.0,VM10-1-9-207,03:06:56.730742
slab_recl,memory,329928704.0,VM10-1-9-207,03:06:56.730742
slab_unrecl,memory,38912000.0,VM10-1-9-207,03:06:56.730742
used,memory,219062272.0,VM10-1-9-207,03:06:56.730742
buffered,memory,161079296.0,VM10-1-9-207,03:07:06.730426
cached,memory,3794604032.0,VM10-1-9-207,03:07:06.730426
free,memory,3831803904.0,VM10-1-9-207,03:07:06.730426
slab_recl,memory,329932800.0,VM10-1-9-207,03:07:06.730426
slab_unrecl,memory,38944768.0,VM10-1-9-207,03:07:06.730426
used,memory,219291648.0,VM10-1-9-207,03:07:06.730426
buffered,memory,161087488.0,VM10-1-9-207,03:07:16.730452
cached,memory,3794612224.0,VM10-1-9-207,03:07:16.730452
free,memory,3831869440.0,VM10-1-9-207,03:07:16.730452
slab_recl,memory,329932800.0,VM10-1-9-207,03:07:16.730452
slab_unrecl,memory,38629376.0,VM10-1-9-207,03:07:16.730452
used,memory,219525120.0,VM10-1-9-207,03:07:16.730452
buffered,memory,161099776.0,VM10-1-9-207,03:07:26.730885
cached,memory,3794620416.0,VM10-1-9-207,03:07:26.730885
free,memory,3831676928.0,VM10-1-9-207,03:07:26.730885
slab_recl,memory,329928704.0,VM10-1-9-207,03:07:26.730885
slab_unrecl,memory,38588416.0,VM10-1-9-207,03:07:26.730885
used,memory,219742208.0,VM10-1-9-207,03:07:26.730885
buffered,memory,161103872.0,VM10-1-9-207,03:07:36.730752
cached,memory,3794628608.0,VM10-1-9-207,03:07:36.730752
free,memory,3831046144.0,VM10-1-9-207,03:07:36.730752
slab_recl,memory,329928704.0,VM10-1-9-207,03:07:36.730752
slab_unrecl,memory,38998016.0,VM10-1-9-207,03:07:36.730752
used,memory,219951104.0,VM10-1-9-207,03:07:36.730752
buffered,memory,161103872.0,VM10-1-9-207,03:07:46.730366
cached,memory,3794636800.0,VM10-1-9-207,03:07:46.730366
free,memory,3830853632.0,VM10-1-9-207,03:07:46.730366
slab_recl,memory,329936896.0,VM10-1-9-207,03:07:46.730366
slab_unrecl,memory,38805504.0,VM10-1-9-207,03:07:46.730366
used,memory,220319744.0,VM10-1-9-207,03:07:46.730366
buffered,memory,161103872.0,VM10-1-9-207,03:07:56.730513
cached,memory,3794644992.0,VM10-1-9-207,03:07:56.730513
free,memory,3835031552.0,VM10-1-9-207,03:07:56.730513
slab_recl,memory,329945088.0,VM10-1-9-207,03:07:56.730513
slab_unrecl,memory,38924288.0,VM10-1-9-207,03:07:56.730513
used,memory,216006656.0,VM10-1-9-207,03:07:56.730513
