type_instance,type,time,instance,host,value
user,cpu,03:45:54.318148,0,VM10-1-9-207,302705.0
user,cpu,03:45:54.318165,1,VM10-1-9-207,292894.0
user,cpu,03:45:54.318196,2,VM10-1-9-207,298316.0
user,cpu,03:45:54.318276,3,VM10-1-9-207,383714.0
system,cpu,03:45:54.318311,0,VM10-1-9-207,7566.0
system,cpu,03:45:54.318346,1,VM10-1-9-207,9348.0
system,cpu,03:45:54.318357,2,VM10-1-9-207,9492.0
system,cpu,03:45:54.318786,3,VM10-1-9-207,8460.0
wait,cpu,03:45:54.318821,0,VM10-1-9-207,3960.0
wait,cpu,03:45:54.318866,1,VM10-1-9-207,4632.0
wait,cpu,03:45:54.318902,2,VM10-1-9-207,4684.0
wait,cpu,03:45:54.318933,3,VM10-1-9-207,3990.0
nice,cpu,03:45:54.318950,0,VM10-1-9-207,32.0
nice,cpu,03:45:54.318990,1,VM10-1-9-207,0.0
nice,cpu,03:45:54.319019,2,VM10-1-9-207,7516.0
nice,cpu,03:45:54.319057,3,VM10-1-9-207,0.0
interrupt,cpu,03:45:54.319095,0,VM10-1-9-207,0.0
interrupt,cpu,03:45:54.319129,1,VM10-1-9-207,0.0
interrupt,cpu,03:45:54.319166,2,VM10-1-9-207,0.0
interrupt,cpu,03:45:54.319195,3,VM10-1-9-207,0.0
softirq,cpu,03:45:54.319816,0,VM10-1-9-207,320.0
softirq,cpu,03:45:54.319824,1,VM10-1-9-207,176.0
softirq,cpu,03:45:54.319871,2,VM10-1-9-207,279.0
softirq,cpu,03:45:54.319901,3,VM10-1-9-207,308.0
steal,cpu,03:45:54.319930,0,VM10-1-9-207,103.0
steal,cpu,03:45:54.320329,1,VM10-1-9-207,110.0
steal,cpu,03:45:54.320364,2,VM10-1-9-207,287.0
steal,cpu,03:45:54.320393,3,VM10-1-9-207,255.0
idle,cpu,03:45:54.320449,0,VM10-1-9-207,6605688.0
idle,cpu,03:45:54.320457,1,VM10-1-9-207,6612707.0
idle,cpu,03:45:54.320499,2,VM10-1-9-207,6594659.0
idle,cpu,03:45:54.320528,3,VM10-1-9-207,6521777.0
user,cpu,03:46:05.600090,0,VM10-1-9-207,302712.0
user,cpu,03:46:05.600127,1,VM10-1-9-207,292899.0
user,cpu,03:46:05.600167,2,VM10-1-9-207,298664.0
user,cpu,03:46:05.600234,3,VM10-1-9-207,383724.0
system,cpu,03:46:05.600569,0,VM10-1-9-207,7570.0
system,cpu,03:46:05.600676,1,VM10-1-9-207,9354.0
system,cpu,03:46:05.600726,2,VM10-1-9-207,9513.0
system,cpu,03:46:05.600765,3,VM10-1-9-207,8475.0
wait,cpu,03:46:05.600903,0,VM10-1-9-207,3962.0
wait,cpu,03:46:05.600915,1,VM10-1-9-207,4632.0
wait,cpu,03:46:05.602174,2,VM10-1-9-207,4684.0
wait,cpu,03:46:05.602176,3,VM10-1-9-207,3995.0
nice,cpu,03:46:05.602178,0,VM10-1-9-207,32.0
nice,cpu,03:46:05.602179,1,VM10-1-9-207,0.0
nice,cpu,03:46:05.602180,2,VM10-1-9-207,7516.0
nice,cpu,03:46:05.602182,3,VM10-1-9-207,0.0
interrupt,cpu,03:46:05.602184,0,VM10-1-9-207,0.0
interrupt,cpu,03:46:05.603020,1,VM10-1-9-207,0.0
interrupt,cpu,03:46:05.603024,2,VM10-1-9-207,0.0
interrupt,cpu,03:46:05.603025,3,VM10-1-9-207,0.0
softirq,cpu,03:46:05.603027,0,VM10-1-9-207,320.0
softirq,cpu,03:46:05.603028,1,VM10-1-9-207,177.0
softirq,cpu,03:46:05.603029,2,VM10-1-9-207,279.0
softirq,cpu,03:46:05.603030,3,VM10-1-9-207,308.0
steal,cpu,03:46:05.605476,0,VM10-1-9-207,103.0
steal,cpu,03:46:05.605478,1,VM10-1-9-207,110.0
steal,cpu,03:46:05.605479,2,VM10-1-9-207,287.0
steal,cpu,03:46:05.605481,3,VM10-1-9-207,255.0
idle,cpu,03:46:05.605482,0,VM10-1-9-207,6606798.0
idle,cpu,03:46:05.605483,1,VM10-1-9-207,6613822.0
idle,cpu,03:46:05.605484,2,VM10-1-9-207,6595417.0
idle,cpu,03:46:05.605484,3,VM10-1-9-207,6522873.0
user,cpu,03:46:15.600115,0,VM10-1-9-207,302714.0
user,cpu,03:46:15.600134,1,VM10-1-9-207,292899.0
user,cpu,03:46:15.600139,2,VM10-1-9-207,299663.0
user,cpu,03:46:15.600155,3,VM10-1-9-207,383725.0
system,cpu,03:46:15.600193,0,VM10-1-9-207,7572.0
system,cpu,03:46:15.600209,1,VM10-1-9-207,9355.0
system,cpu,03:46:15.600210,2,VM10-1-9-207,9513.0
system,cpu,03:46:15.600211,3,VM10-1-9-207,8477.0
wait,cpu,03:46:15.600213,0,VM10-1-9-207,3964.0
wait,cpu,03:46:15.600214,1,VM10-1-9-207,4632.0
wait,cpu,03:46:15.600215,2,VM10-1-9-207,4684.0
wait,cpu,03:46:15.600217,3,VM10-1-9-207,3999.0
nice,cpu,03:46:15.600224,0,VM10-1-9-207,32.0
nice,cpu,03:46:15.600225,1,VM10-1-9-207,0.0
nice,cpu,03:46:15.600226,2,VM10-1-9-207,7516.0
nice,cpu,03:46:15.600227,3,VM10-1-9-207,0.0
interrupt,cpu,03:46:15.600229,0,VM10-1-9-207,0.0
interrupt,cpu,03:46:15.600230,1,VM10-1-9-207,0.0
