type_instance,type,value,host,time
buffered,memory,164212736.0,VM10-1-9-207,03:41:56.570953
cached,memory,3806044160.0,VM10-1-9-207,03:41:56.570953
free,memory,3807064064.0,VM10-1-9-207,03:41:56.570953
slab_recl,memory,332255232.0,VM10-1-9-207,03:41:56.570953
slab_unrecl,memory,41357312.0,VM10-1-9-207,03:41:56.570953
used,memory,224722944.0,VM10-1-9-207,03:41:56.570953
buffered,memory,164229120.0,VM10-1-9-207,03:42:00.053783
cached,memory,3805982720.0,VM10-1-9-207,03:42:00.053783
free,memory,3809148928.0,VM10-1-9-207,03:42:00.053783
slab_recl,memory,332296192.0,VM10-1-9-207,03:42:00.053783
slab_unrecl,memory,40890368.0,VM10-1-9-207,03:42:00.053783
used,memory,223109120.0,VM10-1-9-207,03:42:00.053783
buffered,memory,164392960.0,VM10-1-9-207,03:42:10.040322
cached,memory,3806216192.0,VM10-1-9-207,03:42:10.040322
free,memory,3742191616.0,VM10-1-9-207,03:42:10.040322
slab_recl,memory,332722176.0,VM10-1-9-207,03:42:10.040322
slab_unrecl,memory,41607168.0,VM10-1-9-207,03:42:10.040322
used,memory,288526336.0,VM10-1-9-207,03:42:10.040322
