type_instance,type,time,instance,host,value
user,cpu,03:26:14.094682,0,VM10-1-9-207,254495.0
user,cpu,03:26:14.094712,1,VM10-1-9-207,285289.0
user,cpu,03:26:14.094721,2,VM10-1-9-207,283548.0
user,cpu,03:26:14.094725,3,VM10-1-9-207,346609.0
system,cpu,03:26:14.094729,0,VM10-1-9-207,7313.0
system,cpu,03:26:14.094735,1,VM10-1-9-207,9136.0
system,cpu,03:26:14.094764,2,VM10-1-9-207,9230.0
system,cpu,03:26:14.094765,3,VM10-1-9-207,8284.0
wait,cpu,03:26:14.094765,0,VM10-1-9-207,3908.0
wait,cpu,03:26:14.094766,1,VM10-1-9-207,4619.0
wait,cpu,03:26:14.094766,2,VM10-1-9-207,4603.0
wait,cpu,03:26:14.094771,3,VM10-1-9-207,3914.0
nice,cpu,03:26:14.094771,0,VM10-1-9-207,32.0
nice,cpu,03:26:14.094772,1,VM10-1-9-207,0.0
nice,cpu,03:26:14.094773,2,VM10-1-9-207,7516.0
nice,cpu,03:26:14.094773,3,VM10-1-9-207,0.0
interrupt,cpu,03:26:14.094777,0,VM10-1-9-207,0.0
interrupt,cpu,03:26:14.094778,1,VM10-1-9-207,0.0
interrupt,cpu,03:26:14.094778,2,VM10-1-9-207,0.0
interrupt,cpu,03:26:14.094779,3,VM10-1-9-207,0.0
softirq,cpu,03:26:14.094779,0,VM10-1-9-207,313.0
softirq,cpu,03:26:14.094779,1,VM10-1-9-207,160.0
softirq,cpu,03:26:14.094784,2,VM10-1-9-207,268.0
softirq,cpu,03:26:14.094784,3,VM10-1-9-207,297.0
steal,cpu,03:26:14.094785,0,VM10-1-9-207,94.0
steal,cpu,03:26:14.094785,1,VM10-1-9-207,107.0
steal,cpu,03:26:14.094785,2,VM10-1-9-207,283.0
steal,cpu,03:26:14.094789,3,VM10-1-9-207,242.0
idle,cpu,03:26:14.094790,0,VM10-1-9-207,6536274.0
idle,cpu,03:26:14.094791,1,VM10-1-9-207,6502575.0
idle,cpu,03:26:14.094791,2,VM10-1-9-207,6491819.0
idle,cpu,03:26:14.094791,3,VM10-1-9-207,6441227.0
