type_instance,type,value,host,time
buffered,memory,162603008.0,VM10-1-9-207,03:26:23.644281
cached,memory,3797307392.0,VM10-1-9-207,03:26:23.644281
free,memory,3824467968.0,VM10-1-9-207,03:26:23.644281
slab_recl,memory,330596352.0,VM10-1-9-207,03:26:23.644281
slab_unrecl,memory,40587264.0,VM10-1-9-207,03:26:23.644281
used,memory,220094464.0,VM10-1-9-207,03:26:23.644281
buffered,memory,162754560.0,VM10-1-9-207,03:26:33.632381
cached,memory,3797762048.0,VM10-1-9-207,03:26:33.632381
free,memory,3789156352.0,VM10-1-9-207,03:26:33.632381
slab_recl,memory,330911744.0,VM10-1-9-207,03:26:33.632381
slab_unrecl,memory,40816640.0,VM10-1-9-207,03:26:33.632381
used,memory,254255104.0,VM10-1-9-207,03:26:33.632381
buffered,memory,162775040.0,VM10-1-9-207,03:26:43.632322
cached,memory,3799425024.0,VM10-1-9-207,03:26:43.632322
free,memory,3787096064.0,VM10-1-9-207,03:26:43.632322
slab_recl,memory,330919936.0,VM10-1-9-207,03:26:43.632322
slab_unrecl,memory,40124416.0,VM10-1-9-207,03:26:43.632322
used,memory,255315968.0,VM10-1-9-207,03:26:43.632322
buffered,memory,162775040.0,VM10-1-9-207,03:26:53.632304
cached,memory,3799433216.0,VM10-1-9-207,03:26:53.632304
free,memory,3787415552.0,VM10-1-9-207,03:26:53.632304
slab_recl,memory,330899456.0,VM10-1-9-207,03:26:53.632304
slab_unrecl,memory,40001536.0,VM10-1-9-207,03:26:53.632304
used,memory,255131648.0,VM10-1-9-207,03:26:53.632304
buffered,memory,162775040.0,VM10-1-9-207,03:27:03.632597
cached,memory,3799437312.0,VM10-1-9-207,03:27:03.632597
free,memory,3787743232.0,VM10-1-9-207,03:27:03.632597
slab_recl,memory,330874880.0,VM10-1-9-207,03:27:03.632597
slab_unrecl,memory,40026112.0,VM10-1-9-207,03:27:03.632597
used,memory,254799872.0,VM10-1-9-207,03:27:03.632597
buffered,memory,162779136.0,VM10-1-9-207,03:27:13.632551
free,memory,3787739136.0,VM10-1-9-207,03:27:13.632551
used,memory,254914560.0,VM10-1-9-207,03:27:13.632551
