type_instance,type,time,instance,host,value
user,cpu,03:17:02.201886,0,VM10-1-9-207,238290.0
user,cpu,03:17:02.201893,1,VM10-1-9-207,283864.0
user,cpu,03:17:02.201917,2,VM10-1-9-207,280488.0
user,cpu,03:17:02.201921,3,VM10-1-9-207,315693.0
system,cpu,03:17:02.201925,0,VM10-1-9-207,7274.0
system,cpu,03:17:02.201929,1,VM10-1-9-207,9072.0
system,cpu,03:17:02.201930,2,VM10-1-9-207,9169.0
system,cpu,03:17:02.201935,3,VM10-1-9-207,8226.0
wait,cpu,03:17:02.201935,0,VM10-1-9-207,3898.0
wait,cpu,03:17:02.201936,1,VM10-1-9-207,4600.0
wait,cpu,03:17:02.201936,2,VM10-1-9-207,4568.0
wait,cpu,03:17:02.201937,3,VM10-1-9-207,3903.0
nice,cpu,03:17:02.201941,0,VM10-1-9-207,32.0
nice,cpu,03:17:02.201941,1,VM10-1-9-207,0.0
nice,cpu,03:17:02.201942,2,VM10-1-9-207,7516.0
nice,cpu,03:17:02.201942,3,VM10-1-9-207,0.0
interrupt,cpu,03:17:02.201943,0,VM10-1-9-207,0.0
interrupt,cpu,03:17:02.201952,1,VM10-1-9-207,0.0
interrupt,cpu,03:17:02.201953,2,VM10-1-9-207,0.0
interrupt,cpu,03:17:02.201954,3,VM10-1-9-207,0.0
softirq,cpu,03:17:02.201954,0,VM10-1-9-207,305.0
softirq,cpu,03:17:02.201955,1,VM10-1-9-207,153.0
softirq,cpu,03:17:02.201955,2,VM10-1-9-207,267.0
softirq,cpu,03:17:02.201959,3,VM10-1-9-207,294.0
steal,cpu,03:17:02.201960,0,VM10-1-9-207,92.0
steal,cpu,03:17:02.201960,1,VM10-1-9-207,106.0
steal,cpu,03:17:02.201961,2,VM10-1-9-207,282.0
steal,cpu,03:17:02.201961,3,VM10-1-9-207,237.0
idle,cpu,03:17:02.201965,0,VM10-1-9-207,6497368.0
idle,cpu,03:17:02.201966,1,VM10-1-9-207,6448941.0
idle,cpu,03:17:02.201966,2,VM10-1-9-207,6439893.0
idle,cpu,03:17:02.201966,3,VM10-1-9-207,6417067.0
user,cpu,03:17:12.202052,0,VM10-1-9-207,238290.0
user,cpu,03:17:12.202078,1,VM10-1-9-207,283864.0
user,cpu,03:17:12.202090,2,VM10-1-9-207,280489.0
user,cpu,03:17:12.202111,3,VM10-1-9-207,316692.0
system,cpu,03:17:12.202121,0,VM10-1-9-207,7276.0
system,cpu,03:17:12.202133,1,VM10-1-9-207,9072.0
system,cpu,03:17:12.202142,2,VM10-1-9-207,9170.0
system,cpu,03:17:12.202154,3,VM10-1-9-207,8227.0
wait,cpu,03:17:12.202156,0,VM10-1-9-207,3899.0
wait,cpu,03:17:12.202157,1,VM10-1-9-207,4600.0
wait,cpu,03:17:12.202157,2,VM10-1-9-207,4569.0
wait,cpu,03:17:12.202158,3,VM10-1-9-207,3903.0
nice,cpu,03:17:12.202159,0,VM10-1-9-207,32.0
nice,cpu,03:17:12.202167,1,VM10-1-9-207,0.0
nice,cpu,03:17:12.202169,2,VM10-1-9-207,7516.0
nice,cpu,03:17:12.202170,3,VM10-1-9-207,0.0
interrupt,cpu,03:17:12.202171,0,VM10-1-9-207,0.0
interrupt,cpu,03:17:12.202172,1,VM10-1-9-207,0.0
interrupt,cpu,03:17:12.202180,2,VM10-1-9-207,0.0
interrupt,cpu,03:17:12.202182,3,VM10-1-9-207,0.0
softirq,cpu,03:17:12.202184,0,VM10-1-9-207,305.0
