type_instance,type,value,host,time
buffered,memory,161587200.0,VM10-1-9-207,03:16:22.715750
cached,memory,3794984960.0,VM10-1-9-207,03:16:22.715750
free,memory,3830693888.0,VM10-1-9-207,03:16:22.715750
slab_recl,memory,329953280.0,VM10-1-9-207,03:16:22.715750
slab_unrecl,memory,39079936.0,VM10-1-9-207,03:16:22.715750
used,memory,219357184.0,VM10-1-9-207,03:16:22.715750
buffered,memory,161591296.0,VM10-1-9-207,03:16:23.632636
cached,memory,3794866176.0,VM10-1-9-207,03:16:23.632636
free,memory,3830345728.0,VM10-1-9-207,03:16:23.632636
slab_recl,memory,329957376.0,VM10-1-9-207,03:16:23.632636
slab_unrecl,memory,39190528.0,VM10-1-9-207,03:16:23.632636
used,memory,219705344.0,VM10-1-9-207,03:16:23.632636
buffered,memory,161636352.0,VM10-1-9-207,03:16:33.620868
cached,memory,3794919424.0,VM10-1-9-207,03:16:33.620868
free,memory,3830046720.0,VM10-1-9-207,03:16:33.620868
slab_recl,memory,329994240.0,VM10-1-9-207,03:16:33.620868
slab_unrecl,memory,39071744.0,VM10-1-9-207,03:16:33.620868
used,memory,219987968.0,VM10-1-9-207,03:16:33.620868
