type_instance,type,time,instance,host,value
user,cpu,03:11:22.425742,0,VM10-1-9-207,237813.0
user,cpu,03:11:22.426499,1,VM10-1-9-207,280310.0
user,cpu,03:11:22.426535,2,VM10-1-9-207,261060.0
user,cpu,03:11:22.426556,3,VM10-1-9-207,309458.0
system,cpu,03:11:22.426568,0,VM10-1-9-207,7224.0
system,cpu,03:11:22.426570,1,VM10-1-9-207,9032.0
system,cpu,03:11:22.426572,2,VM10-1-9-207,9066.0
system,cpu,03:11:22.426573,3,VM10-1-9-207,8167.0
wait,cpu,03:11:22.426582,0,VM10-1-9-207,3854.0
wait,cpu,03:11:22.426584,1,VM10-1-9-207,4594.0
wait,cpu,03:11:22.426585,2,VM10-1-9-207,4568.0
wait,cpu,03:11:22.426586,3,VM10-1-9-207,3902.0
nice,cpu,03:11:22.426588,0,VM10-1-9-207,32.0
nice,cpu,03:11:22.426589,1,VM10-1-9-207,0.0
nice,cpu,03:11:22.426590,2,VM10-1-9-207,7516.0
nice,cpu,03:11:22.426591,3,VM10-1-9-207,0.0
interrupt,cpu,03:11:22.426593,0,VM10-1-9-207,0.0
interrupt,cpu,03:11:22.426594,1,VM10-1-9-207,0.0
interrupt,cpu,03:11:22.426595,2,VM10-1-9-207,0.0
interrupt,cpu,03:11:22.426596,3,VM10-1-9-207,0.0
softirq,cpu,03:11:22.426598,0,VM10-1-9-207,301.0
softirq,cpu,03:11:22.426599,1,VM10-1-9-207,151.0
softirq,cpu,03:11:22.426600,2,VM10-1-9-207,265.0
softirq,cpu,03:11:22.426601,3,VM10-1-9-207,290.0
steal,cpu,03:11:22.426603,0,VM10-1-9-207,91.0
steal,cpu,03:11:22.426604,1,VM10-1-9-207,103.0
steal,cpu,03:11:22.426605,2,VM10-1-9-207,278.0
steal,cpu,03:11:22.426606,3,VM10-1-9-207,233.0
idle,cpu,03:11:22.426607,0,VM10-1-9-207,6463986.0
idle,cpu,03:11:22.426609,1,VM10-1-9-207,6418586.0
idle,cpu,03:11:22.426610,2,VM10-1-9-207,6425468.0
idle,cpu,03:11:22.426611,3,VM10-1-9-207,6389418.0
user,cpu,03:11:32.713149,0,VM10-1-9-207,237816.0
user,cpu,03:11:32.713164,1,VM10-1-9-207,280315.0
user,cpu,03:11:32.713179,2,VM10-1-9-207,261063.0
user,cpu,03:11:32.713189,3,VM10-1-9-207,309855.0
system,cpu,03:11:32.713196,0,VM10-1-9-207,7229.0
system,cpu,03:11:32.713204,1,VM10-1-9-207,9036.0
system,cpu,03:11:32.713206,2,VM10-1-9-207,9070.0
system,cpu,03:11:32.713212,3,VM10-1-9-207,8170.0
wait,cpu,03:11:32.713213,0,VM10-1-9-207,3861.0
wait,cpu,03:11:32.713214,1,VM10-1-9-207,4594.0
wait,cpu,03:11:32.713215,2,VM10-1-9-207,4568.0
wait,cpu,03:11:32.713216,3,VM10-1-9-207,3902.0
nice,cpu,03:11:32.713216,0,VM10-1-9-207,32.0
nice,cpu,03:11:32.713223,1,VM10-1-9-207,0.0
nice,cpu,03:11:32.713224,2,VM10-1-9-207,7516.0
nice,cpu,03:11:32.713225,3,VM10-1-9-207,0.0
interrupt,cpu,03:11:32.713226,0,VM10-1-9-207,0.0
interrupt,cpu,03:11:32.713226,1,VM10-1-9-207,0.0
interrupt,cpu,03:11:32.713288,2,VM10-1-9-207,0.0
interrupt,cpu,03:11:32.713290,3,VM10-1-9-207,0.0
softirq,cpu,03:11:32.713291,0,VM10-1-9-207,302.0
softirq,cpu,03:11:32.713291,1,VM10-1-9-207,152.0
softirq,cpu,03:11:32.713293,2,VM10-1-9-207,265.0
softirq,cpu,03:11:32.713294,3,VM10-1-9-207,290.0
steal,cpu,03:11:32.713301,0,VM10-1-9-207,91.0
steal,cpu,03:11:32.713315,1,VM10-1-9-207,103.0
steal,cpu,03:11:32.713316,2,VM10-1-9-207,278.0
steal,cpu,03:11:32.713316,3,VM10-1-9-207,234.0
idle,cpu,03:11:32.713317,0,VM10-1-9-207,6465000.0
idle,cpu,03:11:32.713318,1,VM10-1-9-207,6419604.0
idle,cpu,03:11:32.713318,2,VM10-1-9-207,6426490.0
idle,cpu,03:11:32.713339,3,VM10-1-9-207,6390044.0
user,cpu,03:11:42.712966,0,VM10-1-9-207,237821.0
user,cpu,03:11:42.712994,1,VM10-1-9-207,281307.0
user,cpu,03:11:42.713006,2,VM10-1-9-207,261064.0
user,cpu,03:11:42.713015,3,VM10-1-9-207,309856.0
system,cpu,03:11:42.713018,0,VM10-1-9-207,7230.0
system,cpu,03:11:42.713024,1,VM10-1-9-207,9036.0
system,cpu,03:11:42.713025,2,VM10-1-9-207,9072.0
system,cpu,03:11:42.713025,3,VM10-1-9-207,8171.0
wait,cpu,03:11:42.713026,0,VM10-1-9-207,3861.0
wait,cpu,03:11:42.713026,1,VM10-1-9-207,4594.0
wait,cpu,03:11:42.713027,2,VM10-1-9-207,4568.0
wait,cpu,03:11:42.713027,3,VM10-1-9-207,3902.0
nice,cpu,03:11:42.713027,0,VM10-1-9-207,32.0
nice,cpu,03:11:42.713028,1,VM10-1-9-207,0.0
nice,cpu,03:11:42.713029,2,VM10-1-9-207,7516.0
nice,cpu,03:11:42.713029,3,VM10-1-9-207,0.0
interrupt,cpu,03:11:42.713030,0,VM10-1-9-207,0.0
interrupt,cpu,03:11:42.713031,1,VM10-1-9-207,0.0
interrupt,cpu,03:11:42.713031,2,VM10-1-9-207,0.0
interrupt,cpu,03:11:42.713032,3,VM10-1-9-207,0.0
softirq,cpu,03:11:42.713039,0,VM10-1-9-207,302.0
softirq,cpu,03:11:42.713039,1,VM10-1-9-207,152.0
softirq,cpu,03:11:42.713040,2,VM10-1-9-207,265.0
softirq,cpu,03:11:42.713051,3,VM10-1-9-207,290.0
steal,cpu,03:11:42.713053,0,VM10-1-9-207,91.0
steal,cpu,03:11:42.713053,1,VM10-1-9-207,105.0
steal,cpu,03:11:42.713053,2,VM10-1-9-207,278.0
steal,cpu,03:11:42.713054,3,VM10-1-9-207,234.0
idle,cpu,03:11:42.713054,0,VM10-1-9-207,6465993.0
idle,cpu,03:11:42.713059,1,VM10-1-9-207,6419609.0
idle,cpu,03:11:42.713060,2,VM10-1-9-207,6427486.0
idle,cpu,03:11:42.713060,3,VM10-1-9-207,6391042.0
user,cpu,03:11:52.713052,0,VM10-1-9-207,237822.0
user,cpu,03:11:52.713143,1,VM10-1-9-207,282304.0
user,cpu,03:11:52.713148,2,VM10-1-9-207,261067.0
user,cpu,03:11:52.713197,3,VM10-1-9-207,309856.0
system,cpu,03:11:52.713211,0,VM10-1-9-207,7230.0
system,cpu,03:11:52.713226,1,VM10-1-9-207,9039.0
system,cpu,03:11:52.713307,2,VM10-1-9-207,9075.0
system,cpu,03:11:52.713331,3,VM10-1-9-207,8171.0
wait,cpu,03:11:52.713333,0,VM10-1-9-207,3862.0
wait,cpu,03:11:52.713334,1,VM10-1-9-207,4594.0
wait,cpu,03:11:52.713335,2,VM10-1-9-207,4568.0
wait,cpu,03:11:52.713336,3,VM10-1-9-207,3902.0
nice,cpu,03:11:52.713342,0,VM10-1-9-207,32.0
nice,cpu,03:11:52.713343,1,VM10-1-9-207,0.0
nice,cpu,03:11:52.713344,2,VM10-1-9-207,7516.0
nice,cpu,03:11:52.714443,3,VM10-1-9-207,0.0
interrupt,cpu,03:11:52.714513,0,VM10-1-9-207,0.0
interrupt,cpu,03:11:52.714515,1,VM10-1-9-207,0.0
interrupt,cpu,03:11:52.714516,2,VM10-1-9-207,0.0
interrupt,cpu,03:11:52.714517,3,VM10-1-9-207,0.0
softirq,cpu,03:11:52.714518,0,VM10-1-9-207,303.0
softirq,cpu,03:11:52.714519,1,VM10-1-9-207,152.0
softirq,cpu,03:11:52.714520,2,VM10-1-9-207,265.0
softirq,cpu,03:11:52.714694,3,VM10-1-9-207,290.0
steal,cpu,03:11:52.714708,0,VM10-1-9-207,91.0
steal,cpu,03:11:52.714728,1,VM10-1-9-207,105.0
steal,cpu,03:11:52.714756,2,VM10-1-9-207,278.0
steal,cpu,03:11:52.714777,3,VM10-1-9-207,234.0
idle,cpu,03:11:52.714807,0,VM10-1-9-207,6466991.0
idle,cpu,03:11:52.714888,1,VM10-1-9-207,6419609.0
idle,cpu,03:11:52.714931,2,VM10-1-9-207,6428480.0
idle,cpu,03:11:52.714943,3,VM10-1-9-207,6392040.0
user,cpu,03:12:02.713009,0,VM10-1-9-207,237823.0
user,cpu,03:12:02.713019,1,VM10-1-9-207,283302.0
user,cpu,03:12:02.713032,2,VM10-1-9-207,261068.0
user,cpu,03:12:02.713039,3,VM10-1-9-207,309857.0
system,cpu,03:12:02.713043,0,VM10-1-9-207,7231.0
system,cpu,03:12:02.713131,1,VM10-1-9-207,9041.0
system,cpu,03:12:02.713131,2,VM10-1-9-207,9076.0
system,cpu,03:12:02.713132,3,VM10-1-9-207,8174.0
wait,cpu,03:12:02.713144,0,VM10-1-9-207,3862.0
wait,cpu,03:12:02.713181,1,VM10-1-9-207,4594.0
wait,cpu,03:12:02.713204,2,VM10-1-9-207,4568.0
wait,cpu,03:12:02.713227,3,VM10-1-9-207,3902.0
nice,cpu,03:12:02.713263,0,VM10-1-9-207,32.0
nice,cpu,03:12:02.713269,1,VM10-1-9-207,0.0
nice,cpu,03:12:02.713281,2,VM10-1-9-207,7516.0
nice,cpu,03:12:02.713299,3,VM10-1-9-207,0.0
interrupt,cpu,03:12:02.713323,0,VM10-1-9-207,0.0
interrupt,cpu,03:12:02.713567,1,VM10-1-9-207,0.0
interrupt,cpu,03:12:02.713581,2,VM10-1-9-207,0.0
interrupt,cpu,03:12:02.713607,3,VM10-1-9-207,0.0
softirq,cpu,03:12:02.713613,0,VM10-1-9-207,303.0
softirq,cpu,03:12:02.713620,1,VM10-1-9-207,152.0
softirq,cpu,03:12:02.713643,2,VM10-1-9-207,265.0
softirq,cpu,03:12:02.713655,3,VM10-1-9-207,290.0
steal,cpu,03:12:02.713677,0,VM10-1-9-207,91.0
steal,cpu,03:12:02.713688,1,VM10-1-9-207,105.0
steal,cpu,03:12:02.713711,2,VM10-1-9-207,278.0
steal,cpu,03:12:02.713723,3,VM10-1-9-207,234.0
idle,cpu,03:12:02.713745,0,VM10-1-9-207,6467989.0
idle,cpu,03:12:02.713756,1,VM10-1-9-207,6419609.0
idle,cpu,03:12:02.713777,2,VM10-1-9-207,6429476.0
idle,cpu,03:12:02.713789,3,VM10-1-9-207,6393036.0
user,cpu,03:12:12.712929,0,VM10-1-9-207,237824.0
user,cpu,03:12:12.713012,1,VM10-1-9-207,283303.0
user,cpu,03:12:12.713015,2,VM10-1-9-207,261068.0
user,cpu,03:12:12.713022,3,VM10-1-9-207,310852.0
system,cpu,03:12:12.713061,0,VM10-1-9-207,7232.0
system,cpu,03:12:12.713102,1,VM10-1-9-207,9042.0
system,cpu,03:12:12.713126,2,VM10-1-9-207,9078.0
system,cpu,03:12:12.713138,3,VM10-1-9-207,8175.0
wait,cpu,03:12:12.713177,0,VM10-1-9-207,3865.0
wait,cpu,03:12:12.713190,1,VM10-1-9-207,4594.0
wait,cpu,03:12:12.713210,2,VM10-1-9-207,4568.0
wait,cpu,03:12:12.713216,3,VM10-1-9-207,3902.0
nice,cpu,03:12:12.713265,0,VM10-1-9-207,32.0
nice,cpu,03:12:12.713271,1,VM10-1-9-207,0.0
nice,cpu,03:12:12.713272,2,VM10-1-9-207,7516.0
nice,cpu,03:12:12.713273,3,VM10-1-9-207,0.0
interrupt,cpu,03:12:12.713274,0,VM10-1-9-207,0.0
interrupt,cpu,03:12:12.713275,1,VM10-1-9-207,0.0
interrupt,cpu,03:12:12.713275,2,VM10-1-9-207,0.0
interrupt,cpu,03:12:12.713276,3,VM10-1-9-207,0.0
softirq,cpu,03:12:12.713277,0,VM10-1-9-207,303.0
softirq,cpu,03:12:12.713277,1,VM10-1-9-207,152.0
softirq,cpu,03:12:12.713278,2,VM10-1-9-207,265.0
softirq,cpu,03:12:12.713279,3,VM10-1-9-207,292.0
steal,cpu,03:12:12.713280,0,VM10-1-9-207,91.0
steal,cpu,03:12:12.713280,1,VM10-1-9-207,105.0
steal,cpu,03:12:12.713431,2,VM10-1-9-207,278.0
steal,cpu,03:12:12.713437,3,VM10-1-9-207,234.0
idle,cpu,03:12:12.713481,0,VM10-1-9-207,6468984.0
idle,cpu,03:12:12.713487,1,VM10-1-9-207,6420607.0
idle,cpu,03:12:12.713493,2,VM10-1-9-207,6430473.0
idle,cpu,03:12:12.713504,3,VM10-1-9-207,6393036.0
user,cpu,03:12:22.713074,0,VM10-1-9-207,237825.0
user,cpu,03:12:22.713104,1,VM10-1-9-207,283303.0
user,cpu,03:12:22.713114,2,VM10-1-9-207,261068.0
user,cpu,03:12:22.713121,3,VM10-1-9-207,311851.0
system,cpu,03:12:22.713136,0,VM10-1-9-207,7233.0
system,cpu,03:12:22.713141,1,VM10-1-9-207,9043.0
system,cpu,03:12:22.713143,2,VM10-1-9-207,9079.0
system,cpu,03:12:22.713143,3,VM10-1-9-207,8176.0
wait,cpu,03:12:22.713144,0,VM10-1-9-207,3866.0
wait,cpu,03:12:22.713145,1,VM10-1-9-207,4594.0
wait,cpu,03:12:22.713146,2,VM10-1-9-207,4568.0
wait,cpu,03:12:22.713147,3,VM10-1-9-207,3902.0
nice,cpu,03:12:22.713147,0,VM10-1-9-207,32.0
nice,cpu,03:12:22.713148,1,VM10-1-9-207,0.0
nice,cpu,03:12:22.713149,2,VM10-1-9-207,7516.0
nice,cpu,03:12:22.713150,3,VM10-1-9-207,0.0
interrupt,cpu,03:12:22.713151,0,VM10-1-9-207,0.0
interrupt,cpu,03:12:22.713152,1,VM10-1-9-207,0.0
interrupt,cpu,03:12:22.713153,2,VM10-1-9-207,0.0
interrupt,cpu,03:12:22.713154,3,VM10-1-9-207,0.0
softirq,cpu,03:12:22.713155,0,VM10-1-9-207,303.0
softirq,cpu,03:12:22.713156,1,VM10-1-9-207,152.0
