type_instance,type,value,host,time
buffered,memory,161300480.0,VM10-1-9-207,03:11:22.428104
cached,memory,3794796544.0,VM10-1-9-207,03:11:22.428104
free,memory,3832700928.0,VM10-1-9-207,03:11:22.428104
slab_recl,memory,329912320.0,VM10-1-9-207,03:11:22.428104
slab_unrecl,memory,38547456.0,VM10-1-9-207,03:11:22.428104
used,memory,218398720.0,VM10-1-9-207,03:11:22.428104
buffered,memory,161312768.0,VM10-1-9-207,03:11:22.728735
cached,memory,3794796544.0,VM10-1-9-207,03:11:22.728735
free,memory,3831447552.0,VM10-1-9-207,03:11:22.728735
slab_recl,memory,329932800.0,VM10-1-9-207,03:11:22.728735
slab_unrecl,memory,38678528.0,VM10-1-9-207,03:11:22.728735
used,memory,219488256.0,VM10-1-9-207,03:11:22.728735
buffered,memory,161374208.0,VM10-1-9-207,03:11:32.715194
cached,memory,3794755584.0,VM10-1-9-207,03:11:32.715194
free,memory,3827359744.0,VM10-1-9-207,03:11:32.715194
slab_recl,memory,329961472.0,VM10-1-9-207,03:11:32.715194
slab_unrecl,memory,39206912.0,VM10-1-9-207,03:11:32.715194
used,memory,222998528.0,VM10-1-9-207,03:11:32.715194
buffered,memory,161374208.0,VM10-1-9-207,03:11:42.715169
cached,memory,3794763776.0,VM10-1-9-207,03:11:42.715169
free,memory,3827073024.0,VM10-1-9-207,03:11:42.715169
slab_recl,memory,329949184.0,VM10-1-9-207,03:11:42.715169
slab_unrecl,memory,38854656.0,VM10-1-9-207,03:11:42.715169
used,memory,223641600.0,VM10-1-9-207,03:11:42.715169
buffered,memory,161378304.0,VM10-1-9-207,03:11:52.715182
cached,memory,3794776064.0,VM10-1-9-207,03:11:52.715182
free,memory,3827077120.0,VM10-1-9-207,03:11:52.715182
slab_recl,memory,329945088.0,VM10-1-9-207,03:11:52.715182
slab_unrecl,memory,38748160.0,VM10-1-9-207,03:11:52.715182
used,memory,223731712.0,VM10-1-9-207,03:11:52.715182
buffered,memory,161382400.0,VM10-1-9-207,03:12:02.715216
cached,memory,3794784256.0,VM10-1-9-207,03:12:02.715216
free,memory,3827171328.0,VM10-1-9-207,03:12:02.715216
slab_recl,memory,329949184.0,VM10-1-9-207,03:12:02.715216
slab_unrecl,memory,38617088.0,VM10-1-9-207,03:12:02.715216
used,memory,223752192.0,VM10-1-9-207,03:12:02.715216
buffered,memory,161390592.0,VM10-1-9-207,03:12:12.715215
cached,memory,3794788352.0,VM10-1-9-207,03:12:12.715215
free,memory,3826630656.0,VM10-1-9-207,03:12:12.715215
slab_recl,memory,329957376.0,VM10-1-9-207,03:12:12.715215
slab_unrecl,memory,39079936.0,VM10-1-9-207,03:12:12.715215
used,memory,223809536.0,VM10-1-9-207,03:12:12.715215
buffered,memory,161398784.0,VM10-1-9-207,03:12:22.715251
cached,memory,3794796544.0,VM10-1-9-207,03:12:22.715251
free,memory,3826565120.0,VM10-1-9-207,03:12:22.715251
slab_recl,memory,329953280.0,VM10-1-9-207,03:12:22.715251
slab_unrecl,memory,38793216.0,VM10-1-9-207,03:12:22.715251
used,memory,224149504.0,VM10-1-9-207,03:12:22.715251
buffered,memory,161411072.0,VM10-1-9-207,03:12:32.715185
cached,memory,3794804736.0,VM10-1-9-207,03:12:32.715185
free,memory,3826536448.0,VM10-1-9-207,03:12:32.715185
slab_recl,memory,329965568.0,VM10-1-9-207,03:12:32.715185
slab_unrecl,memory,39059456.0,VM10-1-9-207,03:12:32.715185
used,memory,223879168.0,VM10-1-9-207,03:12:32.715185
buffered,memory,161415168.0,VM10-1-9-207,03:12:42.715189
cached,memory,3794812928.0,VM10-1-9-207,03:12:42.715189
free,memory,3826470912.0,VM10-1-9-207,03:12:42.715189
slab_recl,memory,329953280.0,VM10-1-9-207,03:12:42.715189
slab_unrecl,memory,38899712.0,VM10-1-9-207,03:12:42.715189
used,memory,224104448.0,VM10-1-9-207,03:12:42.715189
buffered,memory,161415168.0,VM10-1-9-207,03:12:52.715220
cached,memory,3794821120.0,VM10-1-9-207,03:12:52.715220
free,memory,3826601984.0,VM10-1-9-207,03:12:52.715220
slab_recl,memory,329953280.0,VM10-1-9-207,03:12:52.715220
slab_unrecl,memory,38719488.0,VM10-1-9-207,03:12:52.715220
used,memory,224145408.0,VM10-1-9-207,03:12:52.715220
buffered,memory,161419264.0,VM10-1-9-207,03:13:02.715174
cached,memory,3794829312.0,VM10-1-9-207,03:13:02.715174
free,memory,3826470912.0,VM10-1-9-207,03:13:02.715174
slab_recl,memory,329953280.0,VM10-1-9-207,03:13:02.715174
slab_unrecl,memory,38629376.0,VM10-1-9-207,03:13:02.715174
used,memory,224354304.0,VM10-1-9-207,03:13:02.715174
buffered,memory,161427456.0,VM10-1-9-207,03:13:12.715193
cached,memory,3794833408.0,VM10-1-9-207,03:13:12.715193
free,memory,3826323456.0,VM10-1-9-207,03:13:12.715193
slab_recl,memory,329940992.0,VM10-1-9-207,03:13:12.715193
slab_unrecl,memory,39034880.0,VM10-1-9-207,03:13:12.715193
used,memory,224096256.0,VM10-1-9-207,03:13:12.715193
buffered,memory,161431552.0,VM10-1-9-207,03:13:22.715173
cached,memory,3794841600.0,VM10-1-9-207,03:13:22.715173
free,memory,3826384896.0,VM10-1-9-207,03:13:22.715173
slab_recl,memory,329936896.0,VM10-1-9-207,03:13:22.715173
slab_unrecl,memory,38916096.0,VM10-1-9-207,03:13:22.715173
used,memory,224145408.0,VM10-1-9-207,03:13:22.715173
buffered,memory,161431552.0,VM10-1-9-207,03:13:32.715349
cached,memory,3794853888.0,VM10-1-9-207,03:13:32.715349
free,memory,3826413568.0,VM10-1-9-207,03:13:32.715349
slab_recl,memory,329932800.0,VM10-1-9-207,03:13:32.715349
slab_unrecl,memory,38748160.0,VM10-1-9-207,03:13:32.715349
used,memory,224276480.0,VM10-1-9-207,03:13:32.715349
buffered,memory,161435648.0,VM10-1-9-207,03:13:42.715223
cached,memory,3794857984.0,VM10-1-9-207,03:13:42.715223
free,memory,3826671616.0,VM10-1-9-207,03:13:42.715223
slab_recl,memory,329936896.0,VM10-1-9-207,03:13:42.715223
slab_unrecl,memory,38658048.0,VM10-1-9-207,03:13:42.715223
used,memory,224096256.0,VM10-1-9-207,03:13:42.715223
buffered,memory,161443840.0,VM10-1-9-207,03:13:52.715286
cached,memory,3794866176.0,VM10-1-9-207,03:13:52.715286
free,memory,3826225152.0,VM10-1-9-207,03:13:52.715286
slab_recl,memory,329936896.0,VM10-1-9-207,03:13:52.715286
slab_unrecl,memory,39059456.0,VM10-1-9-207,03:13:52.715286
used,memory,224124928.0,VM10-1-9-207,03:13:52.715286
buffered,memory,161460224.0,VM10-1-9-207,03:14:02.715196
cached,memory,3794874368.0,VM10-1-9-207,03:14:02.715196
free,memory,3826356224.0,VM10-1-9-207,03:14:02.715196
slab_recl,memory,329936896.0,VM10-1-9-207,03:14:02.715196
slab_unrecl,memory,38928384.0,VM10-1-9-207,03:14:02.715196
used,memory,224100352.0,VM10-1-9-207,03:14:02.715196
buffered,memory,161468416.0,VM10-1-9-207,03:14:12.715187
cached,memory,3794882560.0,VM10-1-9-207,03:14:12.715187
free,memory,3826384896.0,VM10-1-9-207,03:14:12.715187
slab_recl,memory,329945088.0,VM10-1-9-207,03:14:12.715187
slab_unrecl,memory,38821888.0,VM10-1-9-207,03:14:12.715187
used,memory,224153600.0,VM10-1-9-207,03:14:12.715187
buffered,memory,161476608.0,VM10-1-9-207,03:14:22.715171
cached,memory,3794890752.0,VM10-1-9-207,03:14:22.715171
free,memory,3826577408.0,VM10-1-9-207,03:14:22.715171
slab_recl,memory,329945088.0,VM10-1-9-207,03:14:22.715171
slab_unrecl,memory,38653952.0,VM10-1-9-207,03:14:22.715171
used,memory,224112640.0,VM10-1-9-207,03:14:22.715171
buffered,memory,161484800.0,VM10-1-9-207,03:14:32.715752
cached,memory,3794898944.0,VM10-1-9-207,03:14:32.715752
free,memory,3825971200.0,VM10-1-9-207,03:14:32.715752
slab_recl,memory,329957376.0,VM10-1-9-207,03:14:32.715752
slab_unrecl,memory,39079936.0,VM10-1-9-207,03:14:32.715752
used,memory,224264192.0,VM10-1-9-207,03:14:32.715752
buffered,memory,161497088.0,VM10-1-9-207,03:14:42.715170
cached,memory,3794907136.0,VM10-1-9-207,03:14:42.715170
free,memory,3826069504.0,VM10-1-9-207,03:14:42.715170
slab_recl,memory,329953280.0,VM10-1-9-207,03:14:42.715170
slab_unrecl,memory,38973440.0,VM10-1-9-207,03:14:42.715170
used,memory,224256000.0,VM10-1-9-207,03:14:42.715170
buffered,memory,161509376.0,VM10-1-9-207,03:14:52.715171
cached,memory,3794911232.0,VM10-1-9-207,03:14:52.715171
free,memory,3826003968.0,VM10-1-9-207,03:14:52.715171
slab_recl,memory,329957376.0,VM10-1-9-207,03:14:52.715171
slab_unrecl,memory,38862848.0,VM10-1-9-207,03:14:52.715171
used,memory,224411648.0,VM10-1-9-207,03:14:52.715171
buffered,memory,161521664.0,VM10-1-9-207,03:15:02.715129
cached,memory,3794923520.0,VM10-1-9-207,03:15:02.715129
free,memory,3825651712.0,VM10-1-9-207,03:15:02.715129
slab_recl,memory,329945088.0,VM10-1-9-207,03:15:02.715129
slab_unrecl,memory,39079936.0,VM10-1-9-207,03:15:02.715129
used,memory,224534528.0,VM10-1-9-207,03:15:02.715129
buffered,memory,161525760.0,VM10-1-9-207,03:15:12.715174
cached,memory,3794931712.0,VM10-1-9-207,03:15:12.715174
free,memory,3826003968.0,VM10-1-9-207,03:15:12.715174
slab_recl,memory,329953280.0,VM10-1-9-207,03:15:12.715174
slab_unrecl,memory,38936576.0,VM10-1-9-207,03:15:12.715174
used,memory,224305152.0,VM10-1-9-207,03:15:12.715174
buffered,memory,161533952.0,VM10-1-9-207,03:15:22.715211
cached,memory,3794935808.0,VM10-1-9-207,03:15:22.715211
free,memory,3826024448.0,VM10-1-9-207,03:15:22.715211
slab_recl,memory,329957376.0,VM10-1-9-207,03:15:22.715211
slab_unrecl,memory,38760448.0,VM10-1-9-207,03:15:22.715211
used,memory,224444416.0,VM10-1-9-207,03:15:22.715211
buffered,memory,161542144.0,VM10-1-9-207,03:15:32.715168
cached,memory,3794944000.0,VM10-1-9-207,03:15:32.715168
free,memory,3826257920.0,VM10-1-9-207,03:15:32.715168
slab_recl,memory,329953280.0,VM10-1-9-207,03:15:32.715168
slab_unrecl,memory,38674432.0,VM10-1-9-207,03:15:32.715168
used,memory,224284672.0,VM10-1-9-207,03:15:32.715168
buffered,memory,161554432.0,VM10-1-9-207,03:15:42.715206
cached,memory,3794952192.0,VM10-1-9-207,03:15:42.715206
free,memory,3826159616.0,VM10-1-9-207,03:15:42.715206
slab_recl,memory,329949184.0,VM10-1-9-207,03:15:42.715206
slab_unrecl,memory,39112704.0,VM10-1-9-207,03:15:42.715206
used,memory,223928320.0,VM10-1-9-207,03:15:42.715206
buffered,memory,161566720.0,VM10-1-9-207,03:15:52.715186
cached,memory,3794960384.0,VM10-1-9-207,03:15:52.715186
free,memory,3826417664.0,VM10-1-9-207,03:15:52.715186
slab_recl,memory,329953280.0,VM10-1-9-207,03:15:52.715186
slab_unrecl,memory,38936576.0,VM10-1-9-207,03:15:52.715186
used,memory,223821824.0,VM10-1-9-207,03:15:52.715186
buffered,memory,161574912.0,VM10-1-9-207,03:16:02.715172
cached,memory,3794968576.0,VM10-1-9-207,03:16:02.715172
free,memory,3826446336.0,VM10-1-9-207,03:16:02.715172
slab_recl,memory,329949184.0,VM10-1-9-207,03:16:02.715172
slab_unrecl,memory,38731776.0,VM10-1-9-207,03:16:02.715172
used,memory,223985664.0,VM10-1-9-207,03:16:02.715172
buffered,memory,161574912.0,VM10-1-9-207,03:16:12.715189
cached,memory,3794976768.0,VM10-1-9-207,03:16:12.715189
free,memory,3826450432.0,VM10-1-9-207,03:16:12.715189
slab_recl,memory,329953280.0,VM10-1-9-207,03:16:12.715189
slab_unrecl,memory,38649856.0,VM10-1-9-207,03:16:12.715189
used,memory,224051200.0,VM10-1-9-207,03:16:12.715189
