type_instance,type,time,instance,host,value
user,cpu,03:41:46.298815,0,VM10-1-9-207,298758.0
user,cpu,03:41:46.298830,1,VM10-1-9-207,287489.0
user,cpu,03:41:46.298839,2,VM10-1-9-207,290090.0
user,cpu,03:41:46.298842,3,VM10-1-9-207,381372.0
system,cpu,03:41:46.298845,0,VM10-1-9-207,7484.0
system,cpu,03:41:46.298851,1,VM10-1-9-207,9281.0
system,cpu,03:41:46.298851,2,VM10-1-9-207,9410.0
system,cpu,03:41:46.298852,3,VM10-1-9-207,8392.0
wait,cpu,03:41:46.298853,0,VM10-1-9-207,3948.0
wait,cpu,03:41:46.298853,1,VM10-1-9-207,4629.0
wait,cpu,03:41:46.298853,2,VM10-1-9-207,4662.0
wait,cpu,03:41:46.298854,3,VM10-1-9-207,3955.0
nice,cpu,03:41:46.298854,0,VM10-1-9-207,32.0
nice,cpu,03:41:46.298855,1,VM10-1-9-207,0.0
nice,cpu,03:41:46.298856,2,VM10-1-9-207,7516.0
nice,cpu,03:41:46.298856,3,VM10-1-9-207,0.0
interrupt,cpu,03:41:46.298857,0,VM10-1-9-207,0.0
interrupt,cpu,03:41:46.298858,1,VM10-1-9-207,0.0
interrupt,cpu,03:41:46.298859,2,VM10-1-9-207,0.0
interrupt,cpu,03:41:46.298859,3,VM10-1-9-207,0.0
softirq,cpu,03:41:46.298860,0,VM10-1-9-207,316.0
softirq,cpu,03:41:46.298861,1,VM10-1-9-207,175.0
softirq,cpu,03:41:46.298861,2,VM10-1-9-207,276.0
softirq,cpu,03:41:46.298862,3,VM10-1-9-207,305.0
steal,cpu,03:41:46.298863,0,VM10-1-9-207,102.0
steal,cpu,03:41:46.298864,1,VM10-1-9-207,108.0
steal,cpu,03:41:46.298864,2,VM10-1-9-207,286.0
steal,cpu,03:41:46.298865,3,VM10-1-9-207,253.0
idle,cpu,03:41:46.298865,0,VM10-1-9-207,6584944.0
idle,cpu,03:41:46.298866,1,VM10-1-9-207,6593392.0
idle,cpu,03:41:46.298867,2,VM10-1-9-207,6578212.0
idle,cpu,03:41:46.298868,3,VM10-1-9-207,6499448.0
user,cpu,03:41:56.569563,0,VM10-1-9-207,298774.0
user,cpu,03:41:56.569580,1,VM10-1-9-207,287497.0
user,cpu,03:41:56.569584,2,VM10-1-9-207,290100.0
user,cpu,03:41:56.569588,3,VM10-1-9-207,381421.0
system,cpu,03:41:56.569592,0,VM10-1-9-207,7500.0
system,cpu,03:41:56.569596,1,VM10-1-9-207,9288.0
system,cpu,03:41:56.569597,2,VM10-1-9-207,9424.0
system,cpu,03:41:56.569597,3,VM10-1-9-207,8404.0
wait,cpu,03:41:56.569598,0,VM10-1-9-207,3949.0
wait,cpu,03:41:56.569598,1,VM10-1-9-207,4630.0
wait,cpu,03:41:56.569599,2,VM10-1-9-207,4667.0
wait,cpu,03:41:56.569599,3,VM10-1-9-207,3969.0
nice,cpu,03:41:56.569600,0,VM10-1-9-207,32.0
nice,cpu,03:41:56.569601,1,VM10-1-9-207,0.0
nice,cpu,03:41:56.569601,2,VM10-1-9-207,7516.0
nice,cpu,03:41:56.569602,3,VM10-1-9-207,0.0
interrupt,cpu,03:41:56.569602,0,VM10-1-9-207,0.0
interrupt,cpu,03:41:56.569603,1,VM10-1-9-207,0.0
interrupt,cpu,03:41:56.569610,2,VM10-1-9-207,0.0
interrupt,cpu,03:41:56.569611,3,VM10-1-9-207,0.0
softirq,cpu,03:41:56.569612,0,VM10-1-9-207,316.0
softirq,cpu,03:41:56.569612,1,VM10-1-9-207,175.0
softirq,cpu,03:41:56.569613,2,VM10-1-9-207,276.0
softirq,cpu,03:41:56.569617,3,VM10-1-9-207,306.0
steal,cpu,03:41:56.569618,0,VM10-1-9-207,102.0
steal,cpu,03:41:56.569618,1,VM10-1-9-207,108.0
steal,cpu,03:41:56.569619,2,VM10-1-9-207,286.0
steal,cpu,03:41:56.569619,3,VM10-1-9-207,254.0
idle,cpu,03:41:56.569620,0,VM10-1-9-207,6585937.0
idle,cpu,03:41:56.569624,1,VM10-1-9-207,6594398.0
idle,cpu,03:41:56.569625,2,VM10-1-9-207,6579208.0
idle,cpu,03:41:56.569625,3,VM10-1-9-207,6500396.0
