type_instance,type,value,host,time
buffered,memory,164966400.0,VM10-1-9-207,03:45:44.319839
cached,memory,3811553280.0,VM10-1-9-207,03:45:44.319839
free,memory,3662958592.0,VM10-1-9-207,03:45:44.319839
slab_recl,memory,333033472.0,VM10-1-9-207,03:45:44.319839
slab_unrecl,memory,40751104.0,VM10-1-9-207,03:45:44.319839
used,memory,362393600.0,VM10-1-9-207,03:45:44.319839
buffered,memory,164970496.0,VM10-1-9-207,03:45:54.319526
cached,memory,3811495936.0,VM10-1-9-207,03:45:54.319526
free,memory,3799552000.0,VM10-1-9-207,03:45:54.319526
slab_recl,memory,332877824.0,VM10-1-9-207,03:45:54.319526
slab_unrecl,memory,40710144.0,VM10-1-9-207,03:45:54.319526
used,memory,226050048.0,VM10-1-9-207,03:45:54.319526
buffered,memory,164974592.0,VM10-1-9-207,03:45:55.613219
cached,memory,3811491840.0,VM10-1-9-207,03:45:55.613219
free,memory,3801538560.0,VM10-1-9-207,03:45:55.613219
slab_recl,memory,332898304.0,VM10-1-9-207,03:45:55.613219
slab_unrecl,memory,40890368.0,VM10-1-9-207,03:45:55.613219
used,memory,223862784.0,VM10-1-9-207,03:45:55.613219
buffered,memory,165109760.0,VM10-1-9-207,03:46:05.601410
cached,memory,3811631104.0,VM10-1-9-207,03:46:05.601410
free,memory,3657437184.0,VM10-1-9-207,03:46:05.601410
slab_recl,memory,333434880.0,VM10-1-9-207,03:46:05.601410
slab_unrecl,memory,41701376.0,VM10-1-9-207,03:46:05.601410
used,memory,366342144.0,VM10-1-9-207,03:46:05.601410
buffered,memory,165117952.0,VM10-1-9-207,03:46:15.601359
cached,memory,3813289984.0,VM10-1-9-207,03:46:15.601359
free,memory,3653312512.0,VM10-1-9-207,03:46:15.601359
slab_recl,memory,333422592.0,VM10-1-9-207,03:46:15.601359
slab_unrecl,memory,41459712.0,VM10-1-9-207,03:46:15.601359
used,memory,369053696.0,VM10-1-9-207,03:46:15.601359
buffered,memory,165122048.0,VM10-1-9-207,03:46:25.601401
cached,memory,3813302272.0,VM10-1-9-207,03:46:25.601401
free,memory,3651792896.0,VM10-1-9-207,03:46:25.601401
slab_recl,memory,333352960.0,VM10-1-9-207,03:46:25.601401
slab_unrecl,memory,41021440.0,VM10-1-9-207,03:46:25.601401
used,memory,371064832.0,VM10-1-9-207,03:46:25.601401
buffered,memory,165134336.0,VM10-1-9-207,03:46:35.602054
cached,memory,3813310464.0,VM10-1-9-207,03:46:35.602054
free,memory,3649630208.0,VM10-1-9-207,03:46:35.602054
slab_recl,memory,333352960.0,VM10-1-9-207,03:46:35.602054
slab_unrecl,memory,40841216.0,VM10-1-9-207,03:46:35.602054
used,memory,373387264.0,VM10-1-9-207,03:46:35.602054
buffered,memory,165150720.0,VM10-1-9-207,03:46:45.601392
cached,memory,3813318656.0,VM10-1-9-207,03:46:45.601392
free,memory,3647631360.0,VM10-1-9-207,03:46:45.601392
slab_recl,memory,333348864.0,VM10-1-9-207,03:46:45.601392
slab_unrecl,memory,40747008.0,VM10-1-9-207,03:46:45.601392
used,memory,375459840.0,VM10-1-9-207,03:46:45.601392
buffered,memory,165163008.0,VM10-1-9-207,03:46:55.601408
cached,memory,3813322752.0,VM10-1-9-207,03:46:55.601408
free,memory,3647533056.0,VM10-1-9-207,03:46:55.601408
slab_recl,memory,333340672.0,VM10-1-9-207,03:46:55.601408
slab_unrecl,memory,41140224.0,VM10-1-9-207,03:46:55.601408
used,memory,375156736.0,VM10-1-9-207,03:46:55.601408
buffered,memory,165167104.0,VM10-1-9-207,03:47:05.601386
cached,memory,3813330944.0,VM10-1-9-207,03:47:05.601386
free,memory,3645788160.0,VM10-1-9-207,03:47:05.601386
slab_recl,memory,333328384.0,VM10-1-9-207,03:47:05.601386
slab_unrecl,memory,40890368.0,VM10-1-9-207,03:47:05.601386
used,memory,377151488.0,VM10-1-9-207,03:47:05.601386
buffered,memory,165171200.0,VM10-1-9-207,03:47:15.601422
cached,memory,3813343232.0,VM10-1-9-207,03:47:15.601422
free,memory,3643559936.0,VM10-1-9-207,03:47:15.601422
slab_recl,memory,333324288.0,VM10-1-9-207,03:47:15.601422
slab_unrecl,memory,40812544.0,VM10-1-9-207,03:47:15.601422
used,memory,379445248.0,VM10-1-9-207,03:47:15.601422
buffered,memory,165175296.0,VM10-1-9-207,03:47:25.601738
cached,memory,3813347328.0,VM10-1-9-207,03:47:25.601738
free,memory,3641466880.0,VM10-1-9-207,03:47:25.601738
slab_recl,memory,333324288.0,VM10-1-9-207,03:47:25.601738
slab_unrecl,memory,41140224.0,VM10-1-9-207,03:47:25.601738
used,memory,381202432.0,VM10-1-9-207,03:47:25.601738
buffered,memory,165175296.0,VM10-1-9-207,03:47:35.601385
cached,memory,3813355520.0,VM10-1-9-207,03:47:35.601385
free,memory,3639304192.0,VM10-1-9-207,03:47:35.601385
slab_recl,memory,333320192.0,VM10-1-9-207,03:47:35.601385
slab_unrecl,memory,41009152.0,VM10-1-9-207,03:47:35.601385
used,memory,383492096.0,VM10-1-9-207,03:47:35.601385
buffered,memory,165175296.0,VM10-1-9-207,03:47:45.601716
cached,memory,3813363712.0,VM10-1-9-207,03:47:45.601716
free,memory,3637432320.0,VM10-1-9-207,03:47:45.601716
slab_recl,memory,333312000.0,VM10-1-9-207,03:47:45.601716
slab_unrecl,memory,40902656.0,VM10-1-9-207,03:47:45.601716
used,memory,385470464.0,VM10-1-9-207,03:47:45.601716
buffered,memory,165175296.0,VM10-1-9-207,03:47:55.601705
cached,memory,3813371904.0,VM10-1-9-207,03:47:55.601705
free,memory,3637366784.0,VM10-1-9-207,03:47:55.601705
slab_recl,memory,333312000.0,VM10-1-9-207,03:47:55.601705
slab_unrecl,memory,40800256.0,VM10-1-9-207,03:47:55.601705
used,memory,385630208.0,VM10-1-9-207,03:47:55.601705
buffered,memory,165175296.0,VM10-1-9-207,03:48:05.601457
cached,memory,3813384192.0,VM10-1-9-207,03:48:05.601457
free,memory,3634954240.0,VM10-1-9-207,03:48:05.601457
slab_recl,memory,333307904.0,VM10-1-9-207,03:48:05.601457
slab_unrecl,memory,41082880.0,VM10-1-9-207,03:48:05.601457
used,memory,387751936.0,VM10-1-9-207,03:48:05.601457
buffered,memory,165175296.0,VM10-1-9-207,03:48:15.601435
cached,memory,3813388288.0,VM10-1-9-207,03:48:15.601435
free,memory,3632504832.0,VM10-1-9-207,03:48:15.601435
slab_recl,memory,333312000.0,VM10-1-9-207,03:48:15.601435
slab_unrecl,memory,40898560.0,VM10-1-9-207,03:48:15.601435
used,memory,390377472.0,VM10-1-9-207,03:48:15.601435
buffered,memory,165175296.0,VM10-1-9-207,03:48:25.601404
cached,memory,3813396480.0,VM10-1-9-207,03:48:25.601404
free,memory,3630411776.0,VM10-1-9-207,03:48:25.601404
slab_recl,memory,333307904.0,VM10-1-9-207,03:48:25.601404
slab_unrecl,memory,41185280.0,VM10-1-9-207,03:48:25.601404
used,memory,392179712.0,VM10-1-9-207,03:48:25.601404
buffered,memory,165187584.0,VM10-1-9-207,03:48:35.601382
cached,memory,3813404672.0,VM10-1-9-207,03:48:35.601382
free,memory,3628376064.0,VM10-1-9-207,03:48:35.601382
slab_recl,memory,333312000.0,VM10-1-9-207,03:48:35.601382
slab_unrecl,memory,40845312.0,VM10-1-9-207,03:48:35.601382
used,memory,394530816.0,VM10-1-9-207,03:48:35.601382
buffered,memory,165187584.0,VM10-1-9-207,03:48:45.601390
cached,memory,3813416960.0,VM10-1-9-207,03:48:45.601390
free,memory,3626180608.0,VM10-1-9-207,03:48:45.601390
slab_recl,memory,333307904.0,VM10-1-9-207,03:48:45.601390
slab_unrecl,memory,40771584.0,VM10-1-9-207,03:48:45.601390
