type_instance,type,time,instance,host,value
interrupt,cpu,03:29:33.049990,3,VM10-1-9-207,0.0
user,cpu,03:29:47.902848,0,VM10-1-9-207,254868.0
user,cpu,03:29:47.902859,1,VM10-1-9-207,286616.0
user,cpu,03:29:47.902865,2,VM10-1-9-207,287364.0
user,cpu,03:29:47.902872,3,VM10-1-9-207,358742.0
system,cpu,03:29:47.902883,0,VM10-1-9-207,7362.0
system,cpu,03:29:47.902926,1,VM10-1-9-207,9193.0
system,cpu,03:29:47.902927,2,VM10-1-9-207,9288.0
system,cpu,03:29:47.902928,3,VM10-1-9-207,8325.0
wait,cpu,03:29:47.902929,0,VM10-1-9-207,3932.0
wait,cpu,03:29:47.902930,1,VM10-1-9-207,4625.0
wait,cpu,03:29:47.902930,2,VM10-1-9-207,4614.0
wait,cpu,03:29:47.902931,3,VM10-1-9-207,3921.0
nice,cpu,03:29:47.902940,0,VM10-1-9-207,32.0
nice,cpu,03:29:47.902941,1,VM10-1-9-207,0.0
nice,cpu,03:29:47.902941,2,VM10-1-9-207,7516.0
nice,cpu,03:29:47.902941,3,VM10-1-9-207,0.0
interrupt,cpu,03:29:47.902942,0,VM10-1-9-207,0.0
interrupt,cpu,03:29:47.902947,1,VM10-1-9-207,0.0
interrupt,cpu,03:29:47.902948,2,VM10-1-9-207,0.0
interrupt,cpu,03:29:47.902948,3,VM10-1-9-207,0.0
softirq,cpu,03:29:47.902949,0,VM10-1-9-207,316.0
softirq,cpu,03:29:47.902949,1,VM10-1-9-207,169.0
softirq,cpu,03:29:47.902949,2,VM10-1-9-207,268.0
softirq,cpu,03:29:47.902954,3,VM10-1-9-207,298.0
steal,cpu,03:29:47.902955,0,VM10-1-9-207,95.0
steal,cpu,03:29:47.902955,1,VM10-1-9-207,107.0
steal,cpu,03:29:47.902956,2,VM10-1-9-207,284.0
steal,cpu,03:29:47.902956,3,VM10-1-9-207,245.0
idle,cpu,03:29:47.902960,0,VM10-1-9-207,6557189.0
idle,cpu,03:29:47.902961,1,VM10-1-9-207,6522544.0
idle,cpu,03:29:47.902961,2,VM10-1-9-207,6509278.0
idle,cpu,03:29:47.902962,3,VM10-1-9-207,6450407.0
user,cpu,03:29:57.902890,0,VM10-1-9-207,254871.0
user,cpu,03:29:57.902897,1,VM10-1-9-207,286617.0
user,cpu,03:29:57.902901,2,VM10-1-9-207,287364.0
user,cpu,03:29:57.902906,3,VM10-1-9-207,359741.0
system,cpu,03:29:57.902922,0,VM10-1-9-207,7364.0
system,cpu,03:29:57.902926,1,VM10-1-9-207,9194.0
system,cpu,03:29:57.902927,2,VM10-1-9-207,9288.0
system,cpu,03:29:57.902927,3,VM10-1-9-207,8325.0
wait,cpu,03:29:57.902928,0,VM10-1-9-207,3935.0
wait,cpu,03:29:57.902929,1,VM10-1-9-207,4625.0
wait,cpu,03:29:57.902929,2,VM10-1-9-207,4615.0
wait,cpu,03:29:57.902930,3,VM10-1-9-207,3921.0
nice,cpu,03:29:57.902930,0,VM10-1-9-207,32.0
nice,cpu,03:29:57.902931,1,VM10-1-9-207,0.0
nice,cpu,03:29:57.902932,2,VM10-1-9-207,7516.0
nice,cpu,03:29:57.902932,3,VM10-1-9-207,0.0
interrupt,cpu,03:29:57.902934,0,VM10-1-9-207,0.0
interrupt,cpu,03:29:57.902934,1,VM10-1-9-207,0.0
interrupt,cpu,03:29:57.902935,2,VM10-1-9-207,0.0
interrupt,cpu,03:29:57.902936,3,VM10-1-9-207,0.0
softirq,cpu,03:29:57.902936,0,VM10-1-9-207,316.0
softirq,cpu,03:29:57.902937,1,VM10-1-9-207,169.0
softirq,cpu,03:29:57.902938,2,VM10-1-9-207,270.0
softirq,cpu,03:29:57.902939,3,VM10-1-9-207,299.0
steal,cpu,03:29:57.902939,0,VM10-1-9-207,95.0
steal,cpu,03:29:57.902940,1,VM10-1-9-207,107.0
steal,cpu,03:29:57.902941,2,VM10-1-9-207,284.0
steal,cpu,03:29:57.902941,3,VM10-1-9-207,246.0
idle,cpu,03:29:57.902942,0,VM10-1-9-207,6558181.0
idle,cpu,03:29:57.902943,1,VM10-1-9-207,6523540.0
idle,cpu,03:29:57.902943,2,VM10-1-9-207,6510274.0
idle,cpu,03:29:57.902944,3,VM10-1-9-207,6450407.0
user,cpu,03:30:07.902817,0,VM10-1-9-207,254872.0
user,cpu,03:30:07.902826,1,VM10-1-9-207,286618.0
user,cpu,03:30:07.902831,2,VM10-1-9-207,287364.0
user,cpu,03:30:07.902835,3,VM10-1-9-207,360741.0
system,cpu,03:30:07.902839,0,VM10-1-9-207,7366.0
system,cpu,03:30:07.902843,1,VM10-1-9-207,9195.0
system,cpu,03:30:07.902844,2,VM10-1-9-207,9288.0
system,cpu,03:30:07.902844,3,VM10-1-9-207,8325.0
wait,cpu,03:30:07.902845,0,VM10-1-9-207,3936.0
wait,cpu,03:30:07.902845,1,VM10-1-9-207,4625.0
wait,cpu,03:30:07.902846,2,VM10-1-9-207,4615.0
wait,cpu,03:30:07.902846,3,VM10-1-9-207,3921.0
nice,cpu,03:30:07.902847,0,VM10-1-9-207,32.0
nice,cpu,03:30:07.902848,1,VM10-1-9-207,0.0
nice,cpu,03:30:07.902848,2,VM10-1-9-207,7516.0
nice,cpu,03:30:07.902849,3,VM10-1-9-207,0.0
interrupt,cpu,03:30:07.902850,0,VM10-1-9-207,0.0
interrupt,cpu,03:30:07.902850,1,VM10-1-9-207,0.0
interrupt,cpu,03:30:07.902858,2,VM10-1-9-207,0.0
interrupt,cpu,03:30:07.902859,3,VM10-1-9-207,0.0
softirq,cpu,03:30:07.902860,0,VM10-1-9-207,316.0
softirq,cpu,03:30:07.902860,1,VM10-1-9-207,169.0
softirq,cpu,03:30:07.902861,2,VM10-1-9-207,270.0
softirq,cpu,03:30:07.902865,3,VM10-1-9-207,299.0
steal,cpu,03:30:07.902866,0,VM10-1-9-207,95.0
steal,cpu,03:30:07.902867,1,VM10-1-9-207,107.0
steal,cpu,03:30:07.902867,2,VM10-1-9-207,284.0
steal,cpu,03:30:07.902868,3,VM10-1-9-207,246.0
idle,cpu,03:30:07.902868,0,VM10-1-9-207,6559176.0
idle,cpu,03:30:07.902873,1,VM10-1-9-207,6524538.0
idle,cpu,03:30:07.902874,2,VM10-1-9-207,6511272.0
idle,cpu,03:30:07.902874,3,VM10-1-9-207,6450407.0
user,cpu,03:30:17.902789,0,VM10-1-9-207,254873.0
user,cpu,03:30:17.902796,1,VM10-1-9-207,286618.0
user,cpu,03:30:17.902801,2,VM10-1-9-207,287364.0
user,cpu,03:30:17.902806,3,VM10-1-9-207,361741.0
system,cpu,03:30:17.902824,0,VM10-1-9-207,7367.0
system,cpu,03:30:17.902828,1,VM10-1-9-207,9195.0
system,cpu,03:30:17.902829,2,VM10-1-9-207,9289.0
system,cpu,03:30:17.902830,3,VM10-1-9-207,8326.0
wait,cpu,03:30:17.902831,0,VM10-1-9-207,3936.0
wait,cpu,03:30:17.902832,1,VM10-1-9-207,4625.0
wait,cpu,03:30:17.902832,2,VM10-1-9-207,4615.0
wait,cpu,03:30:17.902833,3,VM10-1-9-207,3921.0
nice,cpu,03:30:17.902833,0,VM10-1-9-207,32.0
nice,cpu,03:30:17.902834,1,VM10-1-9-207,0.0
nice,cpu,03:30:17.902835,2,VM10-1-9-207,7516.0
nice,cpu,03:30:17.902836,3,VM10-1-9-207,0.0
interrupt,cpu,03:30:17.902837,0,VM10-1-9-207,0.0
interrupt,cpu,03:30:17.902837,1,VM10-1-9-207,0.0
interrupt,cpu,03:30:17.902838,2,VM10-1-9-207,0.0
interrupt,cpu,03:30:17.902838,3,VM10-1-9-207,0.0
softirq,cpu,03:30:17.902839,0,VM10-1-9-207,316.0
softirq,cpu,03:30:17.902840,1,VM10-1-9-207,170.0
softirq,cpu,03:30:17.902840,2,VM10-1-9-207,270.0
softirq,cpu,03:30:17.902841,3,VM10-1-9-207,299.0
steal,cpu,03:30:17.902842,0,VM10-1-9-207,95.0
steal,cpu,03:30:17.902842,1,VM10-1-9-207,107.0
steal,cpu,03:30:17.902843,2,VM10-1-9-207,284.0
steal,cpu,03:30:17.902843,3,VM10-1-9-207,246.0
idle,cpu,03:30:17.902844,0,VM10-1-9-207,6560172.0
idle,cpu,03:30:17.902845,1,VM10-1-9-207,6525536.0
idle,cpu,03:30:17.902845,2,VM10-1-9-207,6512270.0
idle,cpu,03:30:17.902846,3,VM10-1-9-207,6450407.0
user,cpu,03:30:27.902858,0,VM10-1-9-207,254874.0
user,cpu,03:30:27.902864,1,VM10-1-9-207,286618.0
user,cpu,03:30:27.902868,2,VM10-1-9-207,287364.0
user,cpu,03:30:27.902872,3,VM10-1-9-207,362741.0
system,cpu,03:30:27.902876,0,VM10-1-9-207,7368.0
system,cpu,03:30:27.902880,1,VM10-1-9-207,9195.0
system,cpu,03:30:27.902880,2,VM10-1-9-207,9291.0
system,cpu,03:30:27.902881,3,VM10-1-9-207,8326.0
wait,cpu,03:30:27.902882,0,VM10-1-9-207,3938.0
wait,cpu,03:30:27.902883,1,VM10-1-9-207,4625.0
wait,cpu,03:30:27.902883,2,VM10-1-9-207,4615.0
wait,cpu,03:30:27.902884,3,VM10-1-9-207,3921.0
nice,cpu,03:30:27.902885,0,VM10-1-9-207,32.0
nice,cpu,03:30:27.902885,1,VM10-1-9-207,0.0
nice,cpu,03:30:27.902886,2,VM10-1-9-207,7516.0
nice,cpu,03:30:27.902886,3,VM10-1-9-207,0.0
interrupt,cpu,03:30:27.902887,0,VM10-1-9-207,0.0
interrupt,cpu,03:30:27.902888,1,VM10-1-9-207,0.0
interrupt,cpu,03:30:27.902889,2,VM10-1-9-207,0.0
interrupt,cpu,03:30:27.902889,3,VM10-1-9-207,0.0
softirq,cpu,03:30:27.902890,0,VM10-1-9-207,316.0
softirq,cpu,03:30:27.902890,1,VM10-1-9-207,170.0
softirq,cpu,03:30:27.902891,2,VM10-1-9-207,270.0
softirq,cpu,03:30:27.902892,3,VM10-1-9-207,299.0
steal,cpu,03:30:27.902892,0,VM10-1-9-207,95.0
steal,cpu,03:30:27.902893,1,VM10-1-9-207,107.0
steal,cpu,03:30:27.902893,2,VM10-1-9-207,284.0
steal,cpu,03:30:27.902894,3,VM10-1-9-207,246.0
idle,cpu,03:30:27.902894,0,VM10-1-9-207,6561166.0
idle,cpu,03:30:27.902895,1,VM10-1-9-207,6526535.0
idle,cpu,03:30:27.902896,2,VM10-1-9-207,6513266.0
idle,cpu,03:30:27.902896,3,VM10-1-9-207,6450407.0
user,cpu,03:30:37.902872,0,VM10-1-9-207,254876.0
user,cpu,03:30:37.902880,1,VM10-1-9-207,286619.0
user,cpu,03:30:37.902892,2,VM10-1-9-207,287365.0
user,cpu,03:30:37.902897,3,VM10-1-9-207,363739.0
system,cpu,03:30:37.902901,0,VM10-1-9-207,7369.0
system,cpu,03:30:37.902904,1,VM10-1-9-207,9196.0
system,cpu,03:30:37.902917,2,VM10-1-9-207,9292.0
system,cpu,03:30:37.902917,3,VM10-1-9-207,8326.0
wait,cpu,03:30:37.902918,0,VM10-1-9-207,3939.0
wait,cpu,03:30:37.902919,1,VM10-1-9-207,4625.0
wait,cpu,03:30:37.902920,2,VM10-1-9-207,4618.0
wait,cpu,03:30:37.902920,3,VM10-1-9-207,3921.0
nice,cpu,03:30:37.902921,0,VM10-1-9-207,32.0
nice,cpu,03:30:37.902921,1,VM10-1-9-207,0.0
nice,cpu,03:30:37.902922,2,VM10-1-9-207,7516.0
nice,cpu,03:30:37.902923,3,VM10-1-9-207,0.0
interrupt,cpu,03:30:37.902924,0,VM10-1-9-207,0.0
interrupt,cpu,03:30:37.902924,1,VM10-1-9-207,0.0
interrupt,cpu,03:30:37.902925,2,VM10-1-9-207,0.0
interrupt,cpu,03:30:37.902926,3,VM10-1-9-207,0.0
softirq,cpu,03:30:37.902926,0,VM10-1-9-207,316.0
softirq,cpu,03:30:37.902927,1,VM10-1-9-207,170.0
softirq,cpu,03:30:37.902928,2,VM10-1-9-207,271.0
softirq,cpu,03:30:37.902928,3,VM10-1-9-207,299.0
steal,cpu,03:30:37.902929,0,VM10-1-9-207,95.0
steal,cpu,03:30:37.902930,1,VM10-1-9-207,107.0
steal,cpu,03:30:37.902931,2,VM10-1-9-207,284.0
steal,cpu,03:30:37.902931,3,VM10-1-9-207,247.0
idle,cpu,03:30:37.902931,0,VM10-1-9-207,6562158.0
idle,cpu,03:30:37.902932,1,VM10-1-9-207,6527531.0
idle,cpu,03:30:37.902933,2,VM10-1-9-207,6514261.0
idle,cpu,03:30:37.902934,3,VM10-1-9-207,6450407.0
user,cpu,03:30:47.902875,0,VM10-1-9-207,254876.0
user,cpu,03:30:47.902886,1,VM10-1-9-207,286620.0
user,cpu,03:30:47.902897,2,VM10-1-9-207,287365.0
user,cpu,03:30:47.902904,3,VM10-1-9-207,364739.0
system,cpu,03:30:47.902945,0,VM10-1-9-207,7371.0
system,cpu,03:30:47.902952,1,VM10-1-9-207,9198.0
system,cpu,03:30:47.902953,2,VM10-1-9-207,9292.0
system,cpu,03:30:47.902955,3,VM10-1-9-207,8326.0
wait,cpu,03:30:47.902956,0,VM10-1-9-207,3939.0
wait,cpu,03:30:47.902958,1,VM10-1-9-207,4625.0
wait,cpu,03:30:47.902959,2,VM10-1-9-207,4618.0
wait,cpu,03:30:47.902960,3,VM10-1-9-207,3921.0
nice,cpu,03:30:47.902961,0,VM10-1-9-207,32.0
nice,cpu,03:30:47.902962,1,VM10-1-9-207,0.0
nice,cpu,03:30:47.902963,2,VM10-1-9-207,7516.0
nice,cpu,03:30:47.902965,3,VM10-1-9-207,0.0
interrupt,cpu,03:30:47.902966,0,VM10-1-9-207,0.0
interrupt,cpu,03:30:47.902967,1,VM10-1-9-207,0.0
interrupt,cpu,03:30:47.902969,2,VM10-1-9-207,0.0
interrupt,cpu,03:30:47.902970,3,VM10-1-9-207,0.0
softirq,cpu,03:30:47.902971,0,VM10-1-9-207,316.0
softirq,cpu,03:30:47.902972,1,VM10-1-9-207,170.0
softirq,cpu,03:30:47.902973,2,VM10-1-9-207,271.0
softirq,cpu,03:30:47.902974,3,VM10-1-9-207,299.0
steal,cpu,03:30:47.902976,0,VM10-1-9-207,95.0
steal,cpu,03:30:47.902977,1,VM10-1-9-207,107.0
steal,cpu,03:30:47.902978,2,VM10-1-9-207,284.0
steal,cpu,03:30:47.902979,3,VM10-1-9-207,247.0
idle,cpu,03:30:47.902980,0,VM10-1-9-207,6563154.0
idle,cpu,03:30:47.902981,1,VM10-1-9-207,6528528.0
idle,cpu,03:30:47.902982,2,VM10-1-9-207,6515259.0
idle,cpu,03:30:47.902983,3,VM10-1-9-207,6450407.0
user,cpu,03:30:57.902828,0,VM10-1-9-207,254878.0
user,cpu,03:30:57.902838,1,VM10-1-9-207,286620.0
user,cpu,03:30:57.902844,2,VM10-1-9-207,287366.0
user,cpu,03:30:57.902850,3,VM10-1-9-207,365739.0
system,cpu,03:30:57.902857,0,VM10-1-9-207,7372.0
system,cpu,03:30:57.902863,1,VM10-1-9-207,9200.0
system,cpu,03:30:57.902865,2,VM10-1-9-207,9292.0
system,cpu,03:30:57.902866,3,VM10-1-9-207,8326.0
