type_instance,type,value,host,time
buffered,memory,162357248.0,VM10-1-9-207,03:26:04.111101
cached,memory,3795197952.0,VM10-1-9-207,03:26:04.111101
free,memory,3827060736.0,VM10-1-9-207,03:26:04.111101
slab_recl,memory,330027008.0,VM10-1-9-207,03:26:04.111101
slab_unrecl,memory,39456768.0,VM10-1-9-207,03:26:04.111101
used,memory,221556736.0,VM10-1-9-207,03:26:04.111101
buffered,memory,162537472.0,VM10-1-9-207,03:26:14.096873
cached,memory,3795709952.0,VM10-1-9-207,03:26:14.096873
free,memory,3790860288.0,VM10-1-9-207,03:26:14.096873
slab_recl,memory,330555392.0,VM10-1-9-207,03:26:14.096873
slab_unrecl,memory,40968192.0,VM10-1-9-207,03:26:14.096873
used,memory,255025152.0,VM10-1-9-207,03:26:14.096873
