Architecture,Application,N,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time,Maximum resident set size (kbytes)
bare_metal,pi,5000,0.0811418511004032,0.004898979485566357,0.0%,0:00:00.008649,22.992172581119863
bare_metal,pi,10000,0.5243662841945498,0.0074833147735478825,0.0%,0:00:00.723486,96.01999791710058
bare_metal,pi,15000,0.13084341787037143,0.0116619037896906,0.0%,0:00:00.013963,34.74248120097354
bare_metal,pi,20000,1.3672015213566713,0.03072458299147444,0.0%,0:00:01.464180,106.4030074762927
bare_metal,pi,25000,2.0447728480200498,0.048744230427815775,0.0%,0:00:02.092231,60.663003552412405
bare_metal,mm,500,0.015999999999999993,0.02097617696340303,0.4%,0:00:00.001789,84.17125400040088
bare_metal,mm,1000,0.8257263469213031,0.01414213562373095,0.0%,0:00:00.800532,85.46905872887568
bare_metal,mm,1500,3.686360807083321,0.023151673805580454,0.0%,0:00:03.587056,71.77743377970545
bare_metal,mm,2000,3.822928720235307,0.03187475490101845,0.0%,0:00:03.670695,92.32984349602245
bare_metal,mm,2500,4.576040209613541,0.033466401061363026,0.0%,0:00:04.341715,130.61332244453473
docker,pi,5000,0.07359347797189636,0.00894427190999916,0.0%,0:00:00.007626,32.239106687375816
docker,pi,10000,0.26522443326360556,0.0116619037896906,0.0%,0:00:00.468418,16.079800993793427
docker,pi,15000,0.3419590618772965,0.0132664991614216,0.0%,0:00:00.462812,34.07286310247497
docker,pi,20000,1.533445792977355,0.03720215047547655,0.0%,0:00:01.703300,16.4730082255792
docker,pi,25000,1.0174006093963148,0.04381780460041329,0.0%,0:00:00.981232,40.7450610503899
docker,mm,500,0.011661903789690588,0.008,0.4%,0:00:00.001939,110.89165883870618
docker,mm,1000,0.0819756061276768,0.019390719429665318,0.0%,0:00:00.009683,142.24710893371437
docker,mm,1500,1.249681559438245,0.014696938456699072,0.0%,0:00:01.109006,78.84770129813552
docker,mm,2000,3.6175715611443007,0.0116619037896906,0.0%,0:00:03.559227,168.50590494104355
docker,mm,2500,3.0504229214979337,0.031999999999999994,0.0%,0:00:02.995611,59.70594610254493
